22419062 | @DISEASE_Aneurysm | Aneurysm | 70 | 8 | Disease | disease | aneurysm
36146874 | @DISEASE_Death | Death | 1306 | 5 | Disease | disease | death
34153417 | @DISEASE_COVID_19 | COVID-19 | 131 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 224 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 464 | 21 | Disease | disease | coronavirus infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 510 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 599 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 739 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 1032 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @GENE_IL18R1 | IL18R1 | 1054 | 17 | Gene | gene | Cytokine receptor
34153417 | @DISEASE_COVID_19 | COVID-19 | 1297 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @GENE_MIR340 | MIR340 | 1393 | 8 | Gene | gene | miR-340-
34153417 | @GENE_MIR652 | MIR652 | 1409 | 7 | Gene | gene | miR-652
34153417 | @GENE_MIR4772 | MIR4772 | 1425 | 8 | Gene | gene | miR-4772
34153417 | @GENE_MIR192 | MIR192 | 1442 | 7 | Gene | gene | miR-192
34153417 | @GENE_TP53INP2 | TP53INP2 | 1454 | 8 | Gene | gene | TP53INP2
34153417 | @GENE_CCR2 | CCR2 | 1468 | 4 | Gene | gene | CCR2
34153417 | @DISEASE_COVID_19 | COVID-19 | 1520 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @GENE_MIR1291 | MIR1291 | 1568 | 12 | Gene | gene | hsa-miR-1291
34153417 | @GENE_CXCR4 | CXCR4 | 1585 | 5 | Gene | gene | CXCR4
34153417 | @DISEASE_COVID_19 | COVID-19 | 1673 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 1799 | 20 | Disease | disease | SARS-CoV-2 infection
34153417 | @DISEASE_COVID_19 | COVID-19 | 1914 | 20 | Disease | disease | SARS-CoV-2 infection
33345622 | @DISEASE_COVID_19 | COVID-19 | 109 | 23 | Disease | disease | critically ill COVID-19
33345622 | @DISEASE_COVID_19 | COVID-19 | 155 | 8 | Disease | disease | COVID-19
33345622 | @DISEASE_Infections | Infections | 189 | 8 | Disease | disease | infected
33345622 | @GENE_HIF1A | HIF1A | 315 | 9 | Gene | gene | HIF1alpha
33345622 | @CHEMICAL_Oxygen | Oxygen | 395 | 6 | Chemical | chemical | oxygen
33345622 | @DISEASE_COVID_19 | COVID-19 | 456 | 8 | Disease | disease | COVID-19
33345622 | @DISEASE_COVID_19 | COVID-19 | 544 | 23 | Disease | disease | critically ill COVID-19
33345622 | @GENE_HIF1A | HIF1A | 613 | 30 | Gene | gene | hypoxia-inducible factor1alpha
33345622 | @DISEASE_COVID_19 | COVID-19 | 759 | 8 | Disease | disease | COVID-19
33345622 | @DISEASE_COVID_19 | COVID-19 | 800 | 23 | Disease | disease | Critically-ill COVID-19
33345622 | @GENE_HIF1A | HIF1A | 1242 | 9 | Gene | gene | HIF1alpha
33345622 | @DISEASE_Inflammation | Inflammation | 1297 | 12 | Disease | disease | inflammation
33345622 | @GENE_CXCL8 | CXCL8 | 1311 | 5 | Gene | gene | CXCL8
33345622 | @GENE_CXCR1 | CXCR1 | 1318 | 5 | Gene | gene | CXCR1
33345622 | @GENE_CXCR2 | CXCR2 | 1325 | 5 | Gene | gene | CXCR2
33345622 | @GENE_CXCR4 | CXCR4 | 1336 | 5 | Gene | gene | CXCR4
33345622 | @GENE_TLR2 | TLR2 | 1360 | 4 | Gene | gene | TLR2
33345622 | @GENE_TLR4 | TLR4 | 1369 | 4 | Gene | gene | TLR4
33345622 | @GENE_SLC2A3 | SLC2A3 | 1392 | 6 | Gene | gene | SLC2A3
33345622 | @GENE_PFKFB3 | PFKFB3 | 1400 | 6 | Gene | gene | PFKFB3
33345622 | @GENE_PGK1 | PGK1 | 1408 | 4 | Gene | gene | PGK1
33345622 | @GENE_GAPDH | GAPDH | 1414 | 5 | Gene | gene | GAPDH
33345622 | @GENE_SOD2 | SOD2 | 1424 | 4 | Gene | gene | SOD2
33345622 | @GENE_HIF1A | HIF1A | 1483 | 9 | Gene | gene | HIF1alpha
33345622 | @DISEASE_Inflammation | Inflammation | 1511 | 12 | Disease | disease | inflammation
33345622 | @DISEASE_COVID_19 | COVID-19 | 1592 | 8 | Disease | disease | COVID-19
33345622 | @DISEASE_COVID_19 | COVID-19 | 1701 | 23 | Disease | disease | Critically ill COVID-19
33345622 | @GENE_HIF1A | HIF1A | 1763 | 9 | Gene | gene | HIF1alpha
