38153635 | @GENE_CCT5 | Cct5 | 22 | 4 | Gene | gene | Cct5
38153635 | @GENE_TCP1 | Tcp1 | 204 | 4 | Gene | gene | TRiC
38153635 | @GENE_TCP1 | Tcp1 | 209 | 3 | Gene | gene | CCT
38153635 | @GENE_CCT6A | Cct6a | 214 | 27 | Gene | gene | chaperonin-containing TCP-1
38153635 | @GENE_CCT5 | Cct5 | 440 | 4 | Gene | gene | Cct5
38153635 | @GENE_CCT5 | Cct5 | 594 | 4 | Gene | gene | Cct5
38153635 | @GENE_TCP1 | Tcp1 | 720 | 4 | Gene | gene | TRiC
38153635 | @GENE_TCP1 | Tcp1 | 725 | 3 | Gene | gene | CCT
38153635 | @GENE_CCT5 | Cct5 | 976 | 4 | Gene | gene | Cct5
38153635 | @GENE_CCT5 | Cct5 | 1051 | 4 | Gene | gene | Cct5
38153635 | @GENE_MYC | Myc | 1069 | 3 | Gene | gene | MYC
38153635 | @GENE_PIAS1 | Pias1 | 1074 | 5 | Gene | gene | PIAS1
38153635 | @GENE_TRP53 | Trp53 | 1081 | 4 | Gene | gene | TP53
38153635 | @GENE_ESR1 | Esr1 | 1087 | 4 | Gene | gene | ESR1
38153635 | @GENE_HOXA1 | Hoxa1 | 1093 | 5 | Gene | gene | HOXA1
38153635 | @GENE_TCP1 | Tcp1 | 1299 | 4 | Gene | gene | TRiC
38153635 | @GENE_TCP1 | Tcp1 | 1304 | 3 | Gene | gene | CCT
17623776 | @GENE_PIAS2 | Pias2 | 0 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_SP7 | Sp7 | 32 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 286 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_PIAS2 | Pias2 | 317 | 5 | Gene | gene | Pias2
17623776 | @GENE_SP7 | Sp7 | 546 | 7 | Gene | gene | osterix
17623776 | @GENE_RUNX2 | Runx2 | 577 | 5 | Gene | gene | Runx2
17623776 | @GENE_RUNX2 | Runx2 | 599 | 5 | Gene | gene | Runx2
17623776 | @GENE_SP7 | Sp7 | 609 | 7 | Gene | gene | osterix
17623776 | @GENE_RUNX2 | Runx2 | 690 | 5 | Gene | gene | Runx2
17623776 | @GENE_SP7 | Sp7 | 714 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 745 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_PIAS2 | Pias2 | 900 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_PIAS2 | Pias2 | 959 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_RUNX2 | Runx2 | 987 | 5 | Gene | gene | Runx2
17623776 | @GENE_SP7 | Sp7 | 1057 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 1133 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_NFATC1 | Nfatc1 | 1188 | 6 | Gene | gene | NFATc1
17623776 | @GENE_NFATC3 | Nfatc3 | 1199 | 6 | Gene | gene | NFATc3
17623776 | @GENE_SP7 | Sp7 | 1229 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 1287 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_SP7 | Sp7 | 1306 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 1398 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_PIAS2 | Pias2 | 1525 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_RUNX2 | Runx2 | 1662 | 5 | Gene | gene | Runx2
17623776 | @GENE_SP7 | Sp7 | 1672 | 7 | Gene | gene | osterix
37523265 | @GENE_CXCR4 | CXCR4 | 18 | 5 | Gene | gene | CXCR4
37523265 | @GENE_CCR2 | CCR2 | 28 | 4 | Gene | gene | CCR2
37523265 | @DISEASE_Inflammation | Inflammation | 415 | 12 | Disease | disease | inflammation
37523265 | @GENE_CXCR4 | CXCR4 | 537 | 5 | Gene | gene | CXCR4
37523265 | @GENE_CCR2 | CCR2 | 779 | 4 | Gene | gene | CCR2
37523265 | @GENE_CCR2 | CCR2 | 793 | 4 | Gene | gene | CCR2
37523265 | @DISEASE_Infections | Infections | 889 | 9 | Disease | disease | infection
38015971 | @CHEMICAL_Polysaccharides | Polysaccharides | 22 | 15 | Chemical | chemical | polysaccharides
38015971 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 69 | 3 | Chemical | chemical | LPS
38015971 | @CHEMICAL_Polysaccharides | Polysaccharides | 103 | 15 | Chemical | chemical | Polysaccharides
38015971 | @DISEASE_Inflammation | Inflammation | 224 | 12 | Disease | disease | inflammatory
38015971 | @DISEASE_Neoplasms | Neoplasms | 243 | 6 | Disease | disease | cancer
38015971 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 260 | 8 | Disease | disease | diabetic
38015971 | @DISEASE_Inflammation | Inflammation | 317 | 12 | Disease | disease | inflammatory
38015971 | @DISEASE_Inflammation | Inflammation | 403 | 12 | Disease | disease | inflammatory
38015971 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 518 | 10 | Disease | disease | toxicities
38015971 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 672 | 3 | Chemical | chemical | LPS
38015971 | @DISEASE_Inflammation | Inflammation | 711 | 12 | Disease | disease | inflammatory
