38613931 | @DISEASE_COVID_19 | COVID-19 | 28 | 5 | Disease | disease | COVID
38613931 | @DISEASE_COVID_19 | COVID-19 | 208 | 8 | Disease | disease | COVID-19
38613931 | @DISEASE_COVID_19 | COVID-19 | 267 | 8 | Disease | disease | COVID-19
38613931 | @DISEASE_COVID_19 | COVID-19 | 1403 | 8 | Disease | disease | COVID-19
23225974 | @DISEASE_Typhoid_Fever | Typhoid Fever | 129 | 13 | Disease | disease | typhoid fever
23225974 | @DISEASE_Typhoid_Fever | Typhoid Fever | 156 | 7 | Disease | disease | Typhoid
23225974 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 474 | 17 | Disease | disease | allergic reaction
23225974 | @CHEMICAL_Polysaccharides | Polysaccharides | 541 | 14 | Chemical | chemical | polysaccharide
38584000 | @CHEMICAL_juglone | juglone | 20 | 7 | Chemical | chemical | juglone
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 39 | 31 | Disease | disease | acute graft-versus-host disease
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 96 | 22 | Disease | disease | graft-versus-leukaemia
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 161 | 31 | Disease | disease | Acute graft-versus-host disease
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 194 | 4 | Disease | disease | GVHD
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 315 | 4 | Disease | disease | GVHD
38584000 | @DISEASE_Inflammation | Inflammation | 363 | 12 | Disease | disease | inflammatory
38584000 | @CHEMICAL_juglone | juglone | 394 | 7 | Chemical | chemical | Juglone
38584000 | @DISEASE_Inflammation | Inflammation | 472 | 12 | Disease | disease | inflammatory
38584000 | @DISEASE_Colitis | Colitis | 506 | 7 | Disease | disease | colitis
38584000 | @DISEASE_Inflammatory_Bowel_Diseases | Inflammatory Bowel Diseases | 518 | 26 | Disease | disease | inflammatory bowel disease
38584000 | @DISEASE_Inflammation | Inflammation | 668 | 12 | Disease | disease | inflammation
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 684 | 4 | Disease | disease | GVHD
38584000 | @CHEMICAL_juglone | juglone | 751 | 7 | Chemical | chemical | juglone
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 787 | 4 | Disease | disease | GVHD
38584000 | @CHEMICAL_juglone | juglone | 869 | 7 | Chemical | chemical | juglone
38584000 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 936 | 4 | Disease | disease | GVHD
38584000 | @CHEMICAL_juglone | juglone | 986 | 7 | Chemical | chemical | juglone
38584000 | @CHEMICAL_juglone | juglone | 1123 | 7 | Chemical | chemical | Juglone
38584000 | @GENE_CD4 | Cd4 | 1223 | 3 | Gene | gene | CD4
38584000 | @GENE_CD4 | Cd4 | 1335 | 3 | Gene | gene | CD4
38584000 | @GENE_CTLA4 | Ctla4 | 1385 | 6 | Gene | gene | CTLA-4
