8995695 | @GENE_CCR5 | CCR5 | 81 | 7 | Gene | gene | CC-CKR5
8995695 | @GENE_CCR5 | CCR5 | 516 | 7 | Gene | gene | CC-CKR5
8995695 | @GENE_CD4 | CD4 | 783 | 3 | Gene | gene | CD4
8995695 | @GENE_CCR5 | CCR5 | 911 | 7 | Gene | gene | CC-CKR5
8995695 | @GENE_CCR5 | CCR5 | 995 | 7 | Gene | gene | CC-CKR5
38128681 | @DISEASE_Bacterial_Infections | Bacterial Infections | 93 | 28 | Disease | disease | Bacterial cold-water disease
38128681 | @DISEASE_Bacterial_Infections | Bacterial Infections | 123 | 4 | Disease | disease | BCWD
38128681 | @DISEASE_Bacterial_Infections | Bacterial Infections | 195 | 18 | Disease | disease | bacterial diseases
38128681 | @DISEASE_Infections | Infections | 758 | 9 | Disease | disease | infection
38128681 | @DISEASE_Inflammation | Inflammation | 785 | 12 | Disease | disease | inflammatory
38128681 | @DISEASE_Infections | Infections | 942 | 9 | Disease | disease | infection
38128681 | @DISEASE_Inflammation | Inflammation | 1027 | 12 | Disease | disease | inflammatory
38128681 | @DISEASE_Infections | Infections | 1080 | 9 | Disease | disease | infection
38128681 | @GENE_LOC100136024 | LOC100136024 | 1169 | 7 | Gene | gene | il1beta
38128681 | @GENE_IL_6 | il-6 | 1178 | 3 | Gene | gene | il6
38128681 | @GENE_LOC100136285 | LOC100136285 | 1183 | 3 | Gene | gene | cd4
38128681 | @GENE_LOC100136222 | LOC100136222 | 1194 | 4 | Gene | gene | cd8b
38128681 | @GENE_NOS2 | nos2 | 1220 | 4 | Gene | gene | inos
38128681 | @GENE_IL4/13A | il4/13a | 1317 | 7 | Gene | gene | il4/13a
38128681 | @GENE_GATA3 | gata3 | 1326 | 5 | Gene | gene | gata3
38128681 | @GENE_TNF_ALPHA | tnf-alpha | 1371 | 8 | Gene | gene | tnfalpha
38128681 | @GENE_TBX21 | tbx21 | 1381 | 5 | Gene | gene | t-bet
38128681 | @DISEASE_Infections | Infections | 1479 | 9 | Disease | disease | infection
38482010 | @GENE_TLR5 | Tlr5 | 0 | 4 | Gene | gene | TLR5
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 65 | 19 | Disease | disease | autoimmune diabetes
38482010 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 139 | 18 | Disease | disease | autoimmune disease
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 159 | 15 | Disease | disease | type 1 diabetes
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 176 | 3 | Disease | disease | T1D
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 315 | 4 | Disease | disease | T1D.
38482010 | @GENE_TLR5 | TLR5 | 320 | 20 | Gene | gene | Toll-like receptor 5
38482010 | @GENE_TLR5 | TLR5 | 342 | 4 | Gene | gene | TLR5
38482010 | @GENE_TLR5 | TLR5 | 501 | 4 | Gene | gene | TLR5
38482010 | @DISEASE_Obesity | Obesity | 534 | 7 | Disease | disease | obesity
38482010 | @GENE_TLR5 | Tlr5 | 628 | 4 | Gene | gene | TLR5
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 670 | 4 | Disease | disease | T1D.
38482010 | @GENE_TLR5 | Tlr5 | 727 | 4 | Gene | gene | TLR5
38482010 | @DISEASE_Obesity | Obesity | 746 | 14 | Disease | disease | obese diabetic
38482010 | @DISEASE_Obesity | Obesity | 762 | 3 | Disease | disease | NOD
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 799 | 3 | Disease | disease | T1D
38482010 | @GENE_TLR5 | Tlr5 | 838 | 4 | Gene | gene | TLR5
38482010 | @GENE_ITGAX | Itgax | 876 | 5 | Gene | gene | CD11c
38482010 | @GENE_ITGAE | Itgae | 1043 | 5 | Gene | gene | CD103
38482010 | @GENE_CD8A | Cd8a | 1066 | 8 | Gene | gene | CD8alpha
38482010 | @GENE_TLR5 | Tlr5 | 1209 | 4 | Gene | gene | TLR5
38482010 | @GENE_CD4 | Cd4 | 1287 | 3 | Gene | gene | CD4
38482010 | @GENE_TLR5 | Tlr5 | 1379 | 4 | Gene | gene | TLR5
38482010 | @DISEASE_Obesity | Obesity | 1394 | 3 | Disease | disease | NOD
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 1448 | 3 | Disease | disease | T1D
38482010 | @GENE_TLR5 | Tlr5 | 1523 | 4 | Gene | gene | TLR5
38482010 | @GENE_CD4 | Cd4 | 1602 | 3 | Gene | gene | CD4
38482010 | @GENE_TLR5 | Tlr5 | 1664 | 4 | Gene | gene | TLR5
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 1691 | 19 | Disease | disease | autoimmune diabetes
38482010 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 1765 | 15 | Disease | disease | Type 1 diabetes
38234717 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 61 | 18 | Disease | disease | autoimmune disease
38234717 | @DISEASE_Neoplasms | Neoplasms | 84 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 150 | 5 | Disease | disease | tumor
38234717 | @GENE_CTLA4 | CTLA4 | 253 | 5 | Gene | gene | CTLA4
38234717 | @GENE_CD200 | CD200 | 260 | 5 | Gene | gene | CD200
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 287 | 35 | Disease | disease | autoimmune/autoinflammatory disease
38234717 | @DISEASE_Neoplasms | Neoplasms | 327 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 498 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Prostatitis | Prostatitis | 674 | 49 | Disease | disease | breast, prostate, ovarian and endometrial cancers
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 767 | 36 | Disease | disease | autoimmune/autoinflammatory diseases
38234717 | @DISEASE_Neoplasms | Neoplasms | 927 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 938 | 35 | Disease | disease | autoimmune/autoinflammatory disease
38234717 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1017 | 10 | Disease | disease | autoimmune
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1028 | 16 | Disease | disease | autoinflammatory
38234717 | @DISEASE_Neoplasms | Neoplasms | 1258 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1302 | 36 | Disease | disease | autoimmune/autoinflammatory diseases
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1402 | 35 | Disease | disease | autoimmune/autoinflammatory disease
38234717 | @DISEASE_Neoplasms | Neoplasms | 1462 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 1647 | 5 | Disease | disease | Tumor
38234717 | @DISEASE_Neoplasms | Neoplasms | 1692 | 5 | Disease | disease | tumor
38234717 | @GENE_IRF1 | IRF1 | 1724 | 4 | Gene | gene | IRF1
38234717 | @GENE_IKZF1 | IKZF1 | 1730 | 5 | Gene | gene | IKZF1
38234717 | @GENE_SPI1 | SPI1 | 1737 | 4 | Gene | gene | SPI1
38234717 | @GENE_SH2B3 | SH2B3 | 1743 | 5 | Gene | gene | SH2B3
38234717 | @GENE_LAT | LAT | 1750 | 3 | Gene | gene | LAT
38234717 | @DISEASE_Neoplasms | Neoplasms | 1830 | 5 | Disease | disease | tumor
38234717 | @GENE_CD4 | CD4 | 1872 | 3 | Gene | gene | CD4
38234717 | @GENE_CD8A | CD8A | 1877 | 4 | Gene | gene | CD8A
38234717 | @GENE_ITGAM | ITGAM | 1883 | 5 | Gene | gene | CD11B
38234717 | @GENE_PTPRC | PTPRC | 1890 | 4 | Gene | gene | CD45
38234717 | @DISEASE_Neoplasms | Neoplasms | 1916 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 1930 | 5 | Disease | disease | Tumor
38234717 | @DISEASE_Neoplasms | Neoplasms | 1970 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 2052 | 5 | Disease | disease | tumor
38234717 | @GENE_IRF1 | IRF1 | 2473 | 4 | Gene | gene | IRF1
38234717 | @GENE_IKZF1 | IKZF1 | 2479 | 5 | Gene | gene | IKZF1
38234717 | @GENE_SPI1 | SPI1 | 2486 | 4 | Gene | gene | SPI1
38234717 | @GENE_SH2B3 | SH2B3 | 2492 | 5 | Gene | gene | SH2B3
38234717 | @GENE_LAT | LAT | 2503 | 3 | Gene | gene | LAT
38234717 | @DISEASE_Neoplasms | Neoplasms | 2531 | 6 | Disease | disease | cancer
31681580 | @GENE_C1QBP | C1QBP | 23 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 29 | 3 | Gene | gene | p32
31681580 | @GENE_C1QBP | C1QBP | 33 | 5 | Gene | gene | HABP1
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 60 | 30 | Disease | disease | Malignant Pleural Mesothelioma
31681580 | @GENE_C1QBP | C1QBP | 218 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 224 | 3 | Gene | gene | p32
31681580 | @GENE_C1QBP | C1QBP | 228 | 5 | Gene | gene | HABP1
31681580 | @DISEASE_Neoplasms | Neoplasms | 268 | 7 | Disease | disease | cancers
31681580 | @DISEASE_Adenocarcinoma | Adenocarcinoma | 290 | 15 | Disease | disease | adenocarcinomas
31681580 | @GENE_C1QBP | C1QBP | 331 | 5 | Gene | gene | gC1qR
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 351 | 30 | Disease | disease | malignant pleural mesothelioma
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 383 | 3 | Disease | disease | MPM
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 546 | 3 | Disease | disease | MPM
31681580 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 588 | 11 | Disease | disease | sarcomatoid
31681580 | @GENE_C1QBP | C1QBP | 658 | 5 | Gene | gene | gC1qR
