33047584 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 54 | 12 | Disease | disease | colon cancer
33047584 | @CHEMICAL_Mitomycin | Mitomycin | 147 | 11 | Chemical | chemical | mitomycin C
33047584 | @DISEASE_Neoplasms | Neoplasms | 176 | 22 | Disease | disease | intraperitoneal cancer
33047584 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 233 | 12 | Disease | disease | colon cancer
33047584 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 337 | 12 | Disease | disease | colon cancer
33047584 | @CHEMICAL_Mitomycin | Mitomycin | 540 | 12 | Chemical | chemical | mitomycin C.
33047584 | @GENE_PROM1 | PROM1 | 640 | 5 | Gene | gene | CD133
33047584 | @GENE_CD24 | CD24 | 647 | 4 | Gene | gene | CD24
33047584 | @GENE_DPP4 | DPP4 | 653 | 4 | Gene | gene | CD26
33047584 | @GENE_CD44 | CD44 | 659 | 4 | Gene | gene | CD44
33047584 | @GENE_CXCR4 | CXCR4 | 665 | 5 | Gene | gene | CD184
33047584 | @GENE_PROM1 | PROM1 | 778 | 5 | Gene | gene | CD133
33047584 | @GENE_CD24 | CD24 | 796 | 4 | Gene | gene | CD24
33047584 | @GENE_CD44 | CD44 | 816 | 4 | Gene | gene | CD44
33047584 | @GENE_CXCR4 | CXCR4 | 882 | 5 | Gene | gene | CD184
33047584 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 983 | 12 | Disease | disease | colon cancer
33047584 | @DISEASE_Neoplasms | Neoplasms | 1058 | 6 | Disease | disease | cancer
3160777 | @GENE_CD8A | CD8A | 135 | 5 | Gene | gene | Leu-2
3160777 | @GENE_TRIM13 | TRIM13 | 155 | 9 | Gene | gene | Leu-5/T11
3160777 | @GENE_ITGAL | ITGAL | 166 | 5 | Gene | gene | LFA-1
3160777 | @GENE_CD8A | CD8A | 249 | 5 | Gene | gene | Leu-2
3160777 | @GENE_HLA_A | HLA-A | 474 | 7 | Gene | gene | HLA-A,B
3160777 | @GENE_CD8A | CD8A | 550 | 5 | Gene | gene | Leu-2
3160777 | @GENE_CD8A | CD8A | 666 | 5 | Gene | gene | Leu-2
3160777 | @GENE_CD8A | CD8A | 733 | 5 | Gene | gene | Leu-2
3160777 | @GENE_CD8A | CD8A | 966 | 5 | Gene | gene | Leu-2
3160777 | @GENE_CD8A | CD8A | 976 | 4 | Gene | gene | CD-8
3160777 | @GENE_ITGAL | ITGAL | 986 | 40 | Gene | gene | lymphocyte function-associated antigen-1
3160777 | @GENE_ITGAL | ITGAL | 1028 | 5 | Gene | gene | LFA-1
3160777 | @GENE_CD8A | CD8A | 1122 | 5 | Gene | gene | Leu-2
3160777 | @GENE_TRIM13 | TRIM13 | 1176 | 9 | Gene | gene | Leu-5/T11
3160777 | @GENE_CD2 | CD2 | 1187 | 4 | Gene | gene | CD-2
3160777 | @GENE_CD5 | CD5 | 1436 | 8 | Gene | gene | Leu-1/T1
3160777 | @GENE_CD5 | CD5 | 1446 | 4 | Gene | gene | CD-5
3160777 | @GENE_CD4 | CD4 | 1463 | 4 | Gene | gene | CD-4
3160777 | @GENE_CD58 | CD58 | 1470 | 5 | Gene | gene | LFA-3
3160777 | @GENE_HLA_A | HLA-A | 1490 | 9 | Gene | gene | HLA-A,B,C
3160777 | @GENE_CD8A | CD8A | 1681 | 5 | Gene | gene | Leu-2
3160777 | @GENE_CD8A | CD8A | 1691 | 4 | Gene | gene | CD-8
3160777 | @GENE_TRIM13 | TRIM13 | 1715 | 9 | Gene | gene | Leu-5/T11
3160777 | @GENE_CD2 | CD2 | 1726 | 4 | Gene | gene | CD-2
3160777 | @GENE_ITGAL | ITGAL | 1737 | 5 | Gene | gene | LFA-1
3160777 | @GENE_CD8A | CD8A | 1781 | 5 | Gene | gene | Leu-2
38496688 | @DISEASE_Neoplasms | Neoplasms | 31 | 5 | Disease | disease | tumor
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 101 | 22 | Disease | disease | small cell lung cancer
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 202 | 22 | Disease | disease | small-cell lung cancer
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 226 | 4 | Disease | disease | SCLC
38496688 | @DISEASE_Neoplasms | Neoplasms | 280 | 5 | Disease | disease | tumor
38496688 | @DISEASE_Neoplasms | Neoplasms | 322 | 5 | Disease | disease | tumor
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 512 | 16 | Disease | disease | stage I-III SCLC
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 853 | 4 | Disease | disease | SCLC
38496688 | @GENE_CD274 | CD274 | 875 | 32 | Gene | gene | programmed cell death 1 ligand 1
38496688 | @GENE_CD274 | CD274 | 909 | 5 | Gene | gene | PD-L1
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 1169 | 4 | Disease | disease | SCLC
38496688 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 1317 | 4 | Disease | disease | SCLC
38496688 | @DISEASE_Neoplasms | Neoplasms | 1350 | 5 | Disease | disease | tumor
38496688 | @GENE_CD8A | CD8A | 1479 | 3 | Gene | gene | CD8
38496688 | @GENE_CD274 | CD274 | 1498 | 5 | Gene | gene | PD-L1
38496688 | @GENE_CD8A | CD8A | 1518 | 3 | Gene | gene | CD8
38496688 | @GENE_CD4 | CD4 | 1534 | 3 | Gene | gene | CD4
