26106076 | @GENE_MIC | mic | 50 | 3 | Gene | gene | MIC
26106076 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 128 | 29 | Disease | disease | Primary and Metastatic Tumors
26106076 | @DISEASE_Neoplasms | Neoplasms | 178 | 5 | Disease | disease | tumor
26106076 | @DISEASE_Neoplasms | Neoplasms | 268 | 6 | Disease | disease | cancer
26106076 | @GENE_MIC | mic | 460 | 3 | Gene | gene | MIC
26106076 | @GENE_MIC | mic | 657 | 3 | Gene | gene | MIC
26106076 | @GENE_MIC | mic | 690 | 3 | Gene | gene | MIC
26106076 | @GENE_MIC | mic | 781 | 3 | Gene | gene | MIC
26106076 | @GENE_MIC | mic | 900 | 3 | Gene | gene | MIC
26106076 | @DISEASE_Neoplasms | Neoplasms | 950 | 6 | Disease | disease | tumors
26106076 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 972 | 10 | Disease | disease | metastasis
26106076 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1009 | 8 | Disease | disease | toxicity
26106076 | @GENE_MIC | mic | 1211 | 3 | Gene | gene | MIC
26106076 | @DISEASE_Neoplasms | Neoplasms | 1218 | 5 | Disease | disease | tumor
26106076 | @GENE_CD4 | Cd4 | 1324 | 3 | Gene | gene | CD4
26106076 | @DISEASE_Neoplasms | Neoplasms | 1419 | 5 | Disease | disease | tumor
26106076 | @GENE_MIC | mic | 1533 | 3 | Gene | gene | MIC
26106076 | @GENE_MIC | mic | 1600 | 3 | Gene | gene | MIC
26106076 | @DISEASE_Neoplasms | Neoplasms | 1607 | 6 | Disease | disease | tumors
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 0 | 15 | Disease | disease | Oral candidosis
16792726 | @DISEASE_Leukoplakia_Hairy | Leukoplakia Hairy | 20 | 22 | Disease | disease | oral hairy leukoplakia
16792726 | @DISEASE_HIV_Infections | HIV Infections | 87 | 12 | Disease | disease | HIV-infected
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 124 | 15 | Disease | disease | Oral candidosis
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 141 | 2 | Disease | disease | OC
16792726 | @DISEASE_Leukoplakia_Hairy | Leukoplakia Hairy | 149 | 17 | Disease | disease | hairy leukoplakia
16792726 | @DISEASE_HIV_Infections | HIV Infections | 198 | 44 | Disease | disease | Human Immunodeficiency Virus (HIV) infection
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 285 | 2 | Disease | disease | OC
16792726 | @DISEASE_Renal_Insufficiency | Renal Insufficiency | 354 | 17 | Disease | disease | virologic failure
16792726 | @DISEASE_HIV_Infections | HIV Infections | 375 | 12 | Disease | disease | HIV-infected
16792726 | @DISEASE_HIV_Infections | HIV Infections | 475 | 12 | Disease | disease | HIV-infected
16792726 | @GENE_CD4 | CD4 | 620 | 3 | Gene | gene | CD4
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 743 | 2 | Disease | disease | OC
16792726 | @DISEASE_Mouth_Diseases | Mouth Diseases | 860 | 12 | Disease | disease | oral lesions
16792726 | @GENE_CD4 | CD4 | 955 | 3 | Gene | gene | CD4
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 1216 | 2 | Disease | disease | OC
16792726 | @DISEASE_Renal_Insufficiency | Renal Insufficiency | 1255 | 17 | Disease | disease | virologic failure
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 1373 | 2 | Disease | disease | OC
16792726 | @GENE_CD4 | CD4 | 1394 | 3 | Gene | gene | CD4
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 1475 | 2 | Disease | disease | OC
16792726 | @DISEASE_Renal_Insufficiency | Renal Insufficiency | 1495 | 14 | Disease | disease | immune failure
16792726 | @DISEASE_Renal_Insufficiency | Renal Insufficiency | 1534 | 17 | Disease | disease | virologic failure
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 1617 | 2 | Disease | disease | OC
16792726 | @GENE_CD4 | CD4 | 1653 | 3 | Gene | gene | CD4
16792726 | @DISEASE_Dyskinesias | Dyskinesias | 1681 | 2 | Disease | disease | OC
16792726 | @DISEASE_Renal_Insufficiency | Renal Insufficiency | 1729 | 17 | Disease | disease | virologic failure
16406081 | @DISEASE_Mouth_Diseases | Mouth Diseases | 0 | 12 | Disease | disease | Oral lesions
16406081 | @DISEASE_HIV_Infections | HIV Infections | 26 | 12 | Disease | disease | HIV-infected
16406081 | @DISEASE_HIV_Infections | HIV Infections | 217 | 43 | Disease | disease | human immunodeficiency virus (HIV) infected
16406081 | @DISEASE_Mouth_Diseases | Mouth Diseases | 449 | 12 | Disease | disease | oral lesions
16406081 | @DISEASE_HIV_Infections | HIV Infections | 484 | 12 | Disease | disease | HIV-infected
16406081 | @DISEASE_HIV_Infections | HIV Infections | 625 | 13 | Disease | disease | HIV infection
16406081 | @DISEASE_Acquired_Immunodeficiency_Syndrome | Acquired Immunodeficiency Syndrome | 676 | 4 | Disease | disease | AIDS
16406081 | @DISEASE_Mouth_Diseases | Mouth Diseases | 1118 | 11 | Disease | disease | oral lesion
16406081 | @GENE_CD4 | CD4 | 1158 | 3 | Gene | gene | CD4
16406081 | @DISEASE_Mouth_Diseases | Mouth Diseases | 1323 | 12 | Disease | disease | oral lesions
16406081 | @DISEASE_Mouth_Diseases | Mouth Diseases | 1449 | 12 | Disease | disease | oral lesions
16406081 | @DISEASE_Leukoplakia_Hairy | Leukoplakia Hairy | 1483 | 17 | Disease | disease | hairy leukoplakia
16406081 | @GENE_CD4 | CD4 | 1626 | 3 | Gene | gene | CD4
16406081 | @DISEASE_Mouth_Diseases | Mouth Diseases | 1744 | 12 | Disease | disease | oral lesions
16406081 | @DISEASE_HIV_Infections | HIV Infections | 1760 | 12 | Disease | disease | HIV-infected
38519850 | @DISEASE_Depressive_Disorder | Depressive Disorder | 0 | 10 | Disease | disease | Depression
38519850 | @DISEASE_Anxiety | Anxiety | 15 | 7 | Disease | disease | anxiety
38519850 | @DISEASE_COVID_19 | COVID-19 | 47 | 8 | Disease | disease | COVID-19
38519850 | @DISEASE_Depressive_Disorder | Depressive Disorder | 170 | 10 | Disease | disease | depression
38519850 | @DISEASE_Anxiety | Anxiety | 185 | 19 | Disease | disease | generalised anxiety
