38541797 | @DISEASE_COVID_19 | COVID-19 | 32 | 8 | Disease | disease | COVID-19
38541797 | @DISEASE_Infections | Infections | 54 | 10 | Disease | disease | Infections
38541797 | @DISEASE_COVID_19 | COVID-19 | 183 | 8 | Disease | disease | COVID-19
38541797 | @DISEASE_Infections | Infections | 205 | 10 | Disease | disease | infections
38541797 | @DISEASE_Infections | Infections | 353 | 10 | Disease | disease | infections
38541797 | @DISEASE_Infections | Infections | 541 | 8 | Disease | disease | infected
38541797 | @DISEASE_Infections | Infections | 693 | 10 | Disease | disease | infections
38541797 | @DISEASE_Infections | Infections | 861 | 10 | Disease | disease | infections
38541797 | @DISEASE_Infections | Infections | 959 | 10 | Disease | disease | infections
38541797 | @DISEASE_Infections | Infections | 1029 | 10 | Disease | disease | infections
38541797 | @DISEASE_Cardiovascular_Diseases | Cardiovascular Diseases | 1222 | 22 | Disease | disease | cardiovascular disease
38541797 | @DISEASE_Infections | Infections | 1448 | 10 | Disease | disease | infections
38541797 | @DISEASE_Infections | Infections | 1616 | 10 | Disease | disease | infections
24625024 | @GENE_STAT3 | STAT3 | 1697 | 5 | Gene | gene | STAT3
24625024 | @GENE_IL6 | IL6 | 1764 | 13 | Gene | gene | interleukin-6
33643791 | @GENE_NID1 | Nid1 | 0 | 9 | Gene | gene | Nidogen-1
33643791 | @DISEASE_Ischemia | Ischemia | 20 | 8 | Disease | disease | Ischemia
33643791 | @DISEASE_Ischemia | Ischemia | 76 | 8 | Disease | disease | Ischemia
33643791 | @DISEASE_Ischemia | Ischemia | 190 | 8 | Disease | disease | Ischemia
33643791 | @DISEASE_Infarction | Infarction | 324 | 15 | Disease | disease | infarcted heart
33643791 | @DISEASE_Brain_Ischemia | Brain Ischemia | 440 | 8 | Disease | disease | ischemic
33643791 | @GENE_NID1 | Nid1 | 524 | 9 | Gene | gene | nidogen-1
33643791 | @DISEASE_Hypoxia | Hypoxia | 569 | 7 | Disease | disease | hypoxia
33643791 | @GENE_NID1 | Nid1 | 721 | 9 | Gene | gene | nidogen-1
33643791 | @DISEASE_Fibrosis | Fibrosis | 803 | 8 | Disease | disease | fibrosis
33643791 | @DISEASE_Infarction | Infarction | 839 | 10 | Disease | disease | infarction
33643791 | @GENE_NID1 | Nid1 | 928 | 9 | Gene | gene | nidogen-1
33643791 | @DISEASE_Brain_Ischemia | Brain Ischemia | 941 | 8 | Disease | disease | ischemic
38289898 | @DISEASE_Infertility | Infertility | 330 | 11 | Disease | disease | infertility
38289898 | @DISEASE_Hemorrhagic_Disorders | Hemorrhagic Disorders | 374 | 18 | Disease | disease | bleeding diathesis
38289898 | @DISEASE_Fever | Fever | 394 | 5 | Disease | disease | fever
38289898 | @DISEASE_Diarrhea | Diarrhea | 401 | 8 | Disease | disease | diarrhea
38289898 | @DISEASE_Dysentery | Dysentery | 411 | 9 | Disease | disease | dysentery
38289898 | @DISEASE_Tuberculosis | Tuberculosis | 433 | 12 | Disease | disease | tuberculosis
38289898 | @CHEMICAL_Oils | Oils | 986 | 3 | Chemical | chemical | oil
33726611 | @DISEASE_COVID_19 | COVID-19 | 151 | 8 | Disease | disease | COVID-19
33726611 | @DISEASE_COVID_19 | COVID-19 | 589 | 8 | Disease | disease | COVID-19
33726611 | @CHEMICAL_Carbon | Carbon | 1013 | 6 | Chemical | chemical | carbon
33726611 | @CHEMICAL_Carbon | Carbon | 1493 | 6 | Chemical | chemical | carbon
33726611 | @CHEMICAL_Carbon | Carbon | 1665 | 6 | Chemical | chemical | carbon
37353464 | @DISEASE_Tooth_Loss | Tooth Loss | 850 | 4 | Disease | disease | loss
31714156 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 31 | 11 | Disease | disease | lung cancer
31714156 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 58 | 11 | Disease | disease | Lung cancer
31714156 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 172 | 12 | Disease | disease | lung cancers
31714156 | @DISEASE_Neoplasms | Neoplasms | 494 | 6 | Disease | disease | cancer
31714156 | @DISEASE_Neoplasms | Neoplasms | 618 | 5 | Disease | disease | tumor
31714156 | @DISEASE_Neoplasms | Neoplasms | 734 | 5 | Disease | disease | tumor
31714156 | @GENE_KIR2DL4 | KIR2DL4 | 889 | 3 | Gene | gene | KIR
31714156 | @GENE_CXADRP1 | CXADRP1 | 907 | 3 | Gene | gene | CAR
