38331062 | @GENE_S | S | 320 | 5 | Gene | gene | SPIKE
38331062 | @DISEASE_Neoplasms | Neoplasms | 556 | 5 | Disease | disease | tumor
38331062 | @GENE_S | S | 798 | 5 | Gene | gene | SPIKE
38331062 | @GENE_S | S | 1379 | 5 | Gene | gene | SPIKE
38331062 | @GENE_S | S | 1519 | 5 | Gene | gene | SPIKE
38486464 | @CHEMICAL_recoflavone | recoflavone | 0 | 7 | Chemical | chemical | DA-6034
38486464 | @DISEASE_Fatty_Liver | Fatty Liver | 20 | 17 | Disease | disease | hepatic steatosis
38486464 | @DISEASE_Inflammation | Inflammation | 42 | 12 | Disease | disease | inflammation
38486464 | @DISEASE_Obesity | Obesity | 80 | 5 | Disease | disease | obese
38486464 | @DISEASE_Non_alcoholic_Fatty_Liver_Disease | Non-alcoholic Fatty Liver Disease | 104 | 32 | Disease | disease | Nonalcoholic fatty liver disease
38486464 | @DISEASE_Non_alcoholic_Fatty_Liver_Disease | Non-alcoholic Fatty Liver Disease | 138 | 5 | Disease | disease | NAFLD
38486464 | @CHEMICAL_Triglycerides | Triglycerides | 188 | 12 | Chemical | chemical | triglyceride
38486464 | @DISEASE_Inflammation | Inflammation | 223 | 12 | Disease | disease | inflammatory
38486464 | @CHEMICAL_recoflavone | recoflavone | 331 | 7 | Chemical | chemical | DA-6034
38486464 | @CHEMICAL_recoflavone | recoflavone | 340 | 45 | Chemical | chemical | 7-carboxymethyloxy-3',4',5-trimethoxy flavone
38486464 | @CHEMICAL_eupatilin | eupatilin | 417 | 9 | Chemical | chemical | eupatilin
38486464 | @DISEASE_Inflammation | Inflammation | 446 | 12 | Disease | disease | inflammatory
38486464 | @DISEASE_Inflammatory_Bowel_Diseases | Inflammatory Bowel Diseases | 471 | 26 | Disease | disease | inflammatory bowel disease
38486464 | @CHEMICAL_recoflavone | recoflavone | 522 | 7 | Chemical | chemical | DA-6034
38486464 | @DISEASE_Inflammation | Inflammation | 537 | 12 | Disease | disease | inflammatory
38486464 | @DISEASE_Non_alcoholic_Fatty_Liver_Disease | Non-alcoholic Fatty Liver Disease | 562 | 5 | Disease | disease | NAFLD
38486464 | @CHEMICAL_recoflavone | recoflavone | 639 | 7 | Chemical | chemical | DA-6034
38486464 | @DISEASE_Fatty_Liver | Fatty Liver | 650 | 17 | Disease | disease | hepatic steatosis
38486464 | @DISEASE_Inflammation | Inflammation | 672 | 12 | Disease | disease | inflammation
38486464 | @CHEMICAL_recoflavone | recoflavone | 800 | 7 | Chemical | chemical | DA-6034
38486464 | @CHEMICAL_recoflavone | recoflavone | 851 | 7 | Chemical | chemical | DA-6034
38486464 | @CHEMICAL_recoflavone | recoflavone | 944 | 7 | Chemical | chemical | DA-6034
38486464 | @CHEMICAL_recoflavone | recoflavone | 1012 | 7 | Chemical | chemical | DA-6034
38486464 | @CHEMICAL_Triglycerides | Triglycerides | 1045 | 12 | Chemical | chemical | triglyceride
38486464 | @CHEMICAL_Lipids | Lipids | 1069 | 5 | Chemical | chemical | lipid
38486464 | @CHEMICAL_recoflavone | recoflavone | 1226 | 7 | Chemical | chemical | DA-6034
38486464 | @CHEMICAL_recoflavone | recoflavone | 1297 | 7 | Chemical | chemical | DA-6034
38486464 | @GENE_CCR5 | Ccr5 | 1318 | 4 | Gene | gene | CCR5
38486464 | @GENE_CCR2 | Ccr2 | 1403 | 4 | Gene | gene | CCR2
38486464 | @GENE_CCR4 | Ccr4 | 1419 | 4 | Gene | gene | CCR4
38486464 | @CHEMICAL_recoflavone | recoflavone | 1500 | 7 | Chemical | chemical | DA-6034
38486464 | @DISEASE_Fatty_Liver | Fatty Liver | 1519 | 17 | Disease | disease | hepatic steatosis
38486464 | @DISEASE_Inflammation | Inflammation | 1541 | 12 | Disease | disease | inflammation
38486464 | @DISEASE_Obesity | Obesity | 1557 | 7 | Disease | disease | obesity
38486464 | @GENE_CCR5 | Ccr5 | 1579 | 4 | Gene | gene | CCR5
37863157 | @DISEASE_Neoplasms | Neoplasms | 8 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 42 | 15 | Disease | disease | bone metastases
37863157 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 61 | 13 | Disease | disease | breast Cancer
37863157 | @DISEASE_Neoplasms | Neoplasms | 160 | 6 | Disease | disease | cancer
37863157 | @DISEASE_Neoplasms | Neoplasms | 254 | 6 | Disease | disease | tumors
37863157 | @DISEASE_Neoplasms | Neoplasms | 312 | 6 | Disease | disease | tumors
37863157 | @DISEASE_Neoplasms | Neoplasms | 346 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasms | Neoplasms | 392 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasms | Neoplasms | 448 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 541 | 13 | Disease | disease | breast cancer
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 555 | 15 | Disease | disease | bone metastases
37863157 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 657 | 13 | Disease | disease | breast tumors
37863157 | @DISEASE_Neoplasms | Neoplasms | 684 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 760 | 15 | Disease | disease | bone metastases
37863157 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 785 | 13 | Disease | disease | breast cancer
37863157 | @DISEASE_Neoplasms | Neoplasms | 919 | 6 | Disease | disease | tumors
37863157 | @DISEASE_Neoplasms | Neoplasms | 976 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1175 | 15 | Disease | disease | bone metastases
37863157 | @DISEASE_Neoplasms | Neoplasms | 1268 | 6 | Disease | disease | tumors
37863157 | @DISEASE_Neoplasms | Neoplasms | 1288 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1316 | 15 | Disease | disease | bone metastases
37863157 | @GENE_CD8A | Cd8a | 1443 | 8 | Gene | gene | CD8alpha
37863157 | @DISEASE_Neoplasms | Neoplasms | 1488 | 5 | Disease | disease | tumor
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1516 | 15 | Disease | disease | bone metastases
37863157 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1610 | 13 | Disease | disease | breast tumors
37863157 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1652 | 13 | Disease | disease | breast cancer
37863157 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1666 | 15 | Disease | disease | bone metastases
3145195 | @GENE_CD8A | CD8A | 20 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8A | CD8A | 162 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8B | CD8B | 238 | 4 | Gene | gene | Lyt3
3145195 | @GENE_CD8A | CD8A | 325 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8B | CD8B | 424 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 452 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8A | CD8A | 500 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8B | CD8B | 569 | 9 | Gene | gene | CD8 beta-
3145195 | @GENE_CD8B | CD8B | 928 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 979 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8A | CD8A | 1038 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8A | CD8A | 1152 | 9 | Gene | gene | CD8 alpha
3145195 | @GENE_CD8B | CD8B | 1166 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8A | CD8A | 1209 | 9 | Gene | gene | CD8 alpha
3145195 | @GENE_CD8B | CD8B | 1280 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 1328 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 1404 | 8 | Gene | gene | CD8 beta
3145196 | @GENE_CD8B | CD8B | 10 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8A | CD8A | 34 | 3 | Gene | gene | CD8
3145196 | @GENE_CD8A | CD8A | 167 | 3 | Gene | gene | CD8
3145196 | @GENE_CD8A | CD8A | 263 | 3 | Gene | gene | CD8
3145196 | @GENE_CD8B | CD8B | 380 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 480 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 623 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 716 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 882 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 21 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 180 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B | CD8B | 312 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8A | CD8A | 422 | 5 | Gene | gene | Leu-2
3035575 | @GENE_CD8A | CD8A | 432 | 3 | Gene | gene | CD8
3035575 | @GENE_CD8B1 | Cd8b1 | 582 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 702 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 1048 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 1286 | 5 | Gene | gene | Lyt-3
3036833 | @GENE_HSP90B1 | Hsp90b1 | 0 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90AA1 | HSP90AA1 | 121 | 5 | Gene | gene | hsp90
3036833 | @GENE_HSP90B1 | HSP90B1 | 136 | 32 | Gene | gene | 94-kDa glucose regulated protein
3036833 | @GENE_HSP90B1 | HSP90B1 | 170 | 5 | Gene | gene | GRP94
3036833 | @GENE_HSP90B1 | Hsp90b1 | 249 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90B1 | Hsp90b1 | 345 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90B1 | Hsp90b1 | 644 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90B1 | Hsp90b1 | 704 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90B1 | Hsp90b1 | 955 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90B1 | Hsp90b1 | 1018 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP82 | HSP82 | 1111 | 5 | Gene | gene | hsp90
3036833 | @GENE_HSP90B1 | Hsp90b1 | 1218 | 5 | Gene | gene | ERp99
3036833 | @GENE_HSP90B1 | HSP90B1 | 1252 | 32 | Gene | gene | 94-kDa glucose regulated protein
3036833 | @GENE_HSP90B1 | HSP90B1 | 1286 | 5 | Gene | gene | GRP94
26177202 | @GENE_ASZ1 | ASZ1 | 58 | 4 | Gene | gene | ORF3
26177202 | @DISEASE_Chemical_and_Drug_Induced_Liver_Injury | Chemical and Drug Induced Liver Injury | 188 | 9 | Disease | disease | hepatitis
26177202 | @DISEASE_Infections | Infections | 281 | 9 | Disease | disease | infection
26177202 | @DISEASE_Liver_Diseases | Liver Diseases | 404 | 13 | Disease | disease | liver disease
26177202 | @GENE_ASZ1 | ASZ1 | 663 | 4 | Gene | gene | ORF3
26177202 | @GENE_ASZ1 | ASZ1 | 754 | 4 | Gene | gene | ORF3
26177202 | @GENE_ASZ1 | ASZ1 | 894 | 4 | Gene | gene | ORF3
26177202 | @GENE_ASZ1 | ASZ1 | 925 | 4 | Gene | gene | ORF3
26177202 | @GENE_ASZ1 | ASZ1 | 1472 | 4 | Gene | gene | ORF3
9784381 | @GENE_PPP1R10 | PPP1R10 | 23 | 4 | Gene | gene | FB19
9784381 | @GENE_PPP1R10 | PPP1R10 | 76 | 4 | Gene | gene | FB19
9784381 | @GENE_PRR3 | PRR3 | 463 | 5 | Gene | gene | CAT56
9784381 | @GENE_PPP1R10 | PPP1R10 | 722 | 4 | Gene | gene | FB19
36070233 | @GENE_HLA_A | HLA-A | 33 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 65 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 455 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 654 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 748 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 810 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 932 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 1487 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 1648 | 3 | Gene | gene | HLA
36070233 | @GENE_HLA_A | HLA-A | 1716 | 3 | Gene | gene | HLA
37099813 | @GENE_IL15 | IL15 | 877 | 14 | Gene | gene | interleukin-15
37099813 | @DISEASE_Neoplasms | Neoplasms | 1220 | 5 | Disease | disease | tumor
38168677 | @GENE_CD8A | CD8A | 20 | 3 | Gene | gene | CD8
38168677 | @GENE_IFNAR1 | Ifnar1 | 78 | 6 | Gene | gene | Ifnar1
38168677 | @DISEASE_Zika_Virus_Infection | Zika Virus Infection | 94 | 27 | Disease | disease | Zika virus (ZIKV) infection
38168677 | @DISEASE_Central_Nervous_System_Diseases | Central Nervous System Diseases | 129 | 26 | Disease | disease | neurological complications
38168677 | @DISEASE_Infertility_Male | Infertility Male | 160 | 16 | Disease | disease | male infertility
38168677 | @GENE_IFNAR1 | Ifnar1 | 429 | 6 | Gene | gene | Ifnar1
38168677 | @GENE_CD8A | CD8A | 553 | 3 | Gene | gene | CD8
38168677 | @GENE_CD8A | CD8A | 745 | 3 | Gene | gene | CD8
38168677 | @GENE_TRAV9N_3 | Trav9n-3 | 968 | 8 | Gene | gene | TRAV9N-3
38168677 | @GENE_H2_AB1 | H2-Ab1 | 1028 | 9 | Gene | gene | alphabeta
38168677 | @DISEASE_Infections | Infections | 1078 | 9 | Disease | disease | infection
38168677 | @GENE_CCR2 | Ccr2 | 1119 | 4 | Gene | gene | Ccr2
38168677 | @GENE_CCR5 | Ccr5 | 1128 | 4 | Gene | gene | Ccr5
38168677 | @GENE_CD8A | CD8A | 1186 | 3 | Gene | gene | CD8
38168677 | @GENE_CD8A | CD8A | 1285 | 3 | Gene | gene | CD8
38168677 | @DISEASE_Infections | Infections | 1304 | 9 | Disease | disease | infection
38168677 | @GENE_CD8A | CD8A | 1379 | 3 | Gene | gene | CD8
38168677 | @DISEASE_Zika_Virus_Infection | Zika Virus Infection | 1430 | 14 | Disease | disease | ZIKV infection
38168677 | @DISEASE_Inflammation | Inflammation | 1578 | 12 | Disease | disease | inflammation
38168677 | @DISEASE_Zika_Virus_Infection | Zika Virus Infection | 1597 | 27 | Disease | disease | Zika virus (ZIKV) infection
38168677 | @GENE_CD8A | CD8A | 1642 | 3 | Gene | gene | CD8
38168677 | @GENE_CD8A | CD8A | 1675 | 3 | Gene | gene | CD8
38168677 | @DISEASE_Zika_Virus_Infection | Zika Virus Infection | 1928 | 14 | Disease | disease | ZIKV infection
38168677 | @GENE_TRAV9N_3 | Trav9n-3 | 2029 | 8 | Gene | gene | TRAV9N-3
38168677 | @GENE_CCR2 | CCR2 | 2098 | 4 | Gene | gene | Ccr2
38168677 | @GENE_CCR5 | CCR5 | 2107 | 4 | Gene | gene | Ccr5
38168677 | @GENE_CD8A | CD8A | 2176 | 3 | Gene | gene | CD8
38168677 | @GENE_CD8A | CD8A | 2279 | 3 | Gene | gene | CD8
38168677 | @DISEASE_Infections | Infections | 2302 | 9 | Disease | disease | infection
38168677 | @GENE_CD8A | CD8A | 2431 | 3 | Gene | gene | CD8
38237887 | @GENE_CCL5 | CCL5 | 26 | 4 | Gene | gene | CCL5
38237887 | @GENE_CCR5 | CCR5 | 31 | 4 | Gene | gene | CCR5
38237887 | @DISEASE_Neoplasms | Neoplasms | 56 | 5 | Disease | disease | tumor
38237887 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 73 | 10 | Disease | disease | metastasis
38237887 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 87 | 29 | Disease | disease | triple-negative breast cancer
38237887 | @GENE_CCR5 | CCR5 | 120 | 4 | Gene | gene | CCR5
38237887 | @GENE_YAP1 | YAP1 | 125 | 4 | Gene | gene | YAP1
38237887 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 142 | 29 | Disease | disease | Triple-negative breast cancer
38237887 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 173 | 4 | Disease | disease | TNBC
38237887 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 213 | 13 | Disease | disease | breast cancer
38237887 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 228 | 2 | Disease | disease | BC
38237887 | @GENE_CCL5 | CCL5 | 316 | 4 | Gene | gene | CCL5
38237887 | @GENE_CCR5 | CCR5 | 321 | 4 | Gene | gene | CCR5
38237887 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 371 | 4 | Disease | disease | TNBC
38237887 | @CHEMICAL_Verteporfin | Verteporfin | 574 | 11 | Chemical | chemical | Verteporfin
38237887 | @GENE_CCR5 | CCR5 | 658 | 4 | Gene | gene | CCR5
38237887 | @CHEMICAL_Maraviroc | Maraviroc | 674 | 9 | Chemical | chemical | maraviroc
38237887 | @CHEMICAL_Verteporfin | Verteporfin | 715 | 11 | Chemical | chemical | verteporfin
38237887 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 766 | 10 | Disease | disease | TNBC tumor
38237887 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 837 | 15 | Disease | disease | lung metastasis
38237887 | @GENE_CCR5 | CCR5 | 956 | 4 | Gene | gene | CCR5
