27906990 | Positive_Correlation | Clarithromycin | c.2143A>G
38424106 | Association | S | CD8A
38424106 | Bind | S | CD4
18076379 | Association | ACE2 | CTS1
18076379 | Association | CRM1 | CBK1
18076379 | Association | ACE2 | CBK1
18076379 | Association | ACE2 | CRM1
37995824 | Negative_Correlation | ethyl acetate | COVID-19
34950606 | Negative_Correlation | KPNA6 | IRF3
36685023 | Association | Stomach Neoplasms | PGC
36685023 | Association | Atrophy | PGC
35187564 | Association | ORF6 | NUP98
35187564 | Negative_Correlation | IRF3 | RAE1
35187564 | Negative_Correlation | IRF3 | ORF6
35187564 | Negative_Correlation | NUP98 | STAT1
35187564 | Negative_Correlation | IRF3 | NUP98
35187564 | Negative_Correlation | STAT1 | RAE1
35187564 | Negative_Correlation | ORF6 | STAT1
35187564 | Association | NUP98 | RAE1
35187564 | Association | ORF6 | RAE1
35187564 | Negative_Correlation | IFNA1 | ORF6
37827578 | Bind | PPIA | BSG
37827578 | Association | STG-175 | N
37827578 | Negative_Correlation | Cyclosporine | PPIA
37827578 | Negative_Correlation | Cyclosporine | COVID-19
37827578 | Association | Coronavirus Infections | PPIA
37827578 | Association | Cyclosporine | BSG
37827578 | Association | Infections | PPIA
37827578 | Negative_Correlation | STG-175 | PPIA
37827578 | Association | ACE2 | BSG
37827578 | Bind | N | PPIA
37827578 | Negative_Correlation | Cyclosporine | Coronavirus Infections
37827578 | Association | COVID-19 | PPIA
37827578 | Association | COVID-19 | BSG
37827578 | Association | Inflammation | BSG
37827578 | Association | S | BSG
34504685 | Positive_Correlation | c.-889C>T | Fibrocartilaginous embolism
34504685 | Association | c.-238G>A | Fibrocartilaginous embolism
34504685 | Association | Fibrocartilaginous embolism | rs1800587
34504685 | Association | Fibrocartilaginous embolism | VDR
34504685 | Association | Fibrocartilaginous embolism | rs361525
34504685 | Association | Fibrocartilaginous embolism | rs731236
34504685 | Association | Fibrocartilaginous embolism | IL1A
34504685 | Association | Fibrocartilaginous embolism | TNF
32805314 | Association | COVID-19 | PPP1R10
32805314 | Association | COVID-19 | DDX58
32805314 | Association | COVID-19 | MIR124-3
32805314 | Bind | S | ACE2
32805314 | Association | COVID-19 | USP18
32805314 | Positive_Correlation | IFNA1 | ACE2
30496303 | Negative_Correlation | HTLV-I Infections | MX2
30496303 | Association | MX2 | NUP214
30496303 | Association | MX2 | RGPD2
30496303 | Association | TNPO1 | MX2
34127970 | Association | ACE2 | PIAS1
34127970 | Association | SMAD4 | ACE2
34127970 | Association | BAMBI | ACE2
34127970 | Association | COVID-19 | SMAD4
34127970 | Association | COVID-19 | BAMBI
34127970 | Association | EP300 | ACE2
34127970 | Association | COVID-19 | ACE2
34127970 | Association | COVID-19 | EP300
34127970 | Association | COVID-19 | PIAS1
35484353 | Association | Colitis Ulcerative | PRKCB
35484353 | Association | Colitis Ulcerative | VEGFA
35484353 | Association | Colitis Ulcerative | CEBPB
35484353 | Association | Colitis Ulcerative | PTPN1
35484353 | Association | Colitis Ulcerative | HLA-A
35484353 | Association | Colitis Ulcerative | SNAI1
35484353 | Association | Calcium | Colitis Ulcerative
35484353 | Association | Colitis Ulcerative | XPO5
23067392 | Association | IPO7 | RAN
38450336 | Negative_Correlation | Azithromycin | COVID-19
19114004 | Positive_Correlation | Free Radicals | Reactive Oxygen Species
19114004 | Association | Polyamines | Inflammation
34687900 | Negative_Correlation | Ivermectin | ORF1ab
34687900 | Negative_Correlation | Ivermectin | Nematode Infections
34687900 | Negative_Correlation | Ivermectin | Parasitic Diseases
34687900 | Negative_Correlation | Ivermectin | IMPA1
34687900 | Negative_Correlation | Ivermectin | STAT3
34687900 | Negative_Correlation | Ivermectin | Onchocerciasis
34687900 | Negative_Correlation | Ivermectin | Infections
34687900 | Negative_Correlation | Ivermectin | Onchocerciasis Ocular
34687900 | Negative_Correlation | Ivermectin | COVID-19
34687900 | Negative_Correlation | Ivermectin | S
34687900 | Negative_Correlation | Ivermectin | Strongyloidiasis
34687900 | Negative_Correlation | Ivermectin | Ascaridida Infections
38162653 | Association | Nitric Oxide | IFNG
38162653 | Negative_Correlation | Signs and Symptoms Respiratory | IFNG
38162653 | Association | Nitric Oxide | COVID-19
38162653 | Association | IFNG | IL1B
37456016 | Negative_Correlation | Inflammation | ACE2
37456016 | Negative_Correlation | Oils Volatile | Inflammation
37456016 | Negative_Correlation | Oils Volatile | ACE2
37456016 | Negative_Correlation | Oils Volatile | COVID-19
37456016 | Association | COVID-19 | ACE2
37640791 | Association | Inflammation | ACE2
37640791 | Positive_Correlation | ICAM1 | RSU1
37640791 | Positive_Correlation | IL6 | RSU1
37640791 | Positive_Correlation | Inflammation | RSU1
37640791 | Positive_Correlation | RSU1 | CCL2
37640791 | Positive_Correlation | SERPINE1 | RSU1
37640791 | Association | COVID-19 | ACE2
37640791 | Association | ACE2 | RSU1
37640791 | Association | Vascular System Injuries | RS1
37737615 | Positive_Correlation | Infections | ACE2
37737615 | Association | Infections | KRT20
37737615 | Positive_Correlation | Infections | TMPRSS2
32752944 | Negative_Correlation | Teicoplanin | COVID-19
32752944 | Negative_Correlation | Hydroxychloroquine | IMPA1
32752944 | Negative_Correlation | Ivermectin | COVID-19
32752944 | Negative_Correlation | Ivermectin | IMPA1
32752944 | Negative_Correlation | nitazoxanide | COVID-19
32752944 | Negative_Correlation | Azithromycin | COVID-19
32752944 | Negative_Correlation | Doxycycline | COVID-19
32752944 | Negative_Correlation | Hydroxychloroquine | COVID-19
32752944 | Negative_Correlation | umifenovir | COVID-19
32752944 | Negative_Correlation | favipiravir | COVID-19
