38153635 | Association | Cct5 | Pias1
38153635 | Association | Cct5 | Esr1
38153635 | Association | Cct5 | Hoxa1
38153635 | Bind | Cct5 | Tcp1
38153635 | Association | Cct5 | Trp53
38153635 | Association | Cct5 | Myc
38153635 | Bind | Cct6a | Tcp1
17623776 | Positive_Correlation | Sp7 | Nfatc1
17623776 | Association | Pias2 | Nfatc1
17623776 | Positive_Correlation | Sp7 | Nfatc3
17623776 | Positive_Correlation | Sp7 | Pias2
17623776 | Bind | Runx2 | Sp7
17623776 | Association | Pias2 | Nfatc3
37523265 | Association | CCR2 | CXCR4
37523265 | Association | Infections | CCR2
38015971 | Negative_Correlation | Lipopolysaccharides | Polysaccharides
38015971 | Negative_Correlation | Polysaccharides | Inflammation
38015971 | Negative_Correlation | Polysaccharides | Diabetes Mellitus
38015971 | Negative_Correlation | Polysaccharides | Neoplasms
38315878 | Association | Waldenstrom Macroglobulinemia | CXCR4
38315878 | Association | Waldenstrom Macroglobulinemia | TP53
38315878 | Negative_Correlation | zanubrutinib | IBTK
38315878 | Negative_Correlation | Waldenstrom Macroglobulinemia | IBTK
38315878 | Comparison | zanubrutinib | ibrutinib
38315878 | Negative_Correlation | zanubrutinib | Waldenstrom Macroglobulinemia
38315878 | Association | Waldenstrom Macroglobulinemia | ARID1A
38315878 | Negative_Correlation | ibrutinib | Waldenstrom Macroglobulinemia
34971590 | Negative_Correlation | 1 4-BDPOB | Lipids
34971590 | Positive_Correlation | 1 4-BDPOB | Triglycerides
34971590 | Positive_Correlation | 1 4-BDPOB | Hypertrophy
34971590 | Association | 1 4-BDPOB | Nr1i3
34971590 | Association | Lipids | Nr1i3
34971590 | Association | Glucose | Nr1i3
34971590 | Negative_Correlation | Triglycerides | Nr1i3
34887661 | Association | Arthritis Rheumatoid | VEGFA
34887661 | Positive_Correlation | IL6 | VEGFA
34887661 | Association | Arthritis Rheumatoid | PIAS3
34887661 | Negative_Correlation | PIAS3 | VEGFA
34887661 | Negative_Correlation | PIAS3 | STAT3
34887661 | Association | Arthritis Rheumatoid | STAT3
30634511 | Association | Inflammation | UBE2I
30634511 | Association | PIAS3 | MIR18A
22082260 | Negative_Correlation | Glucose | Ischemia
22082260 | Association | Oxygen | SUMO3
22082260 | Association | Neuroblastoma | SUMO3
22082260 | Association | Glucose | SUMO3
22082260 | Negative_Correlation | Oxygen | Ischemia
36188600 | Association | Glutathione Disulfide | Thoracic Outlet Syndrome
36188600 | Association | Glutathione Disulfide | Ldha
36188600 | Association | Glutathione Disulfide | Gstt1
36188600 | Association | Glutathione Disulfide | Ldhb
36188600 | Association | Glutathione Disulfide | Hsd17b10
36188600 | Association | Glutathione Disulfide | Echs1
35179955 | Association | Nr3c1 | Ppargc1a
35179955 | Negative_Correlation | Prednisone | Muscle Neoplasms
35179955 | Association | Prednisone | Nr3c1
35179955 | Association | Prednisone | Nampt
35179955 | Association | Arntl | Ppargc1a
35179955 | Association | Arntl | Nampt
35179955 | Association | Nr3c1 | Nampt
35179955 | Association | Prednisone | Ppargc1a
35179955 | Association | Prednisone | Arntl
35179955 | Positive_Correlation | NAD | Prednisone
10860663 | Association | Watermelon stomach disease | DDX21
32784646 | Association | Neoplasms | Trp53-ps
32784646 | Association | Oxygen | Neoplasms
32784646 | Association | Msx1 | Trp53-ps
32784646 | Negative_Correlation | Neoplasms | Msx1
32784646 | Negative_Correlation | Msx1 | VEGFA
32784646 | Association | MSX1 | Pias4
32784646 | Association | Msx1 | Pias4
37327120 | Negative_Correlation | 4-fluorobenzoyl-TN-14003 | CD34
37327120 | Negative_Correlation | 4-fluorobenzoyl-TN-14003 | CXCR4
37327120 | Association | 4-fluorobenzoyl-TN-14003 | IL3RA
26175529 | Association | Fibrosis | Zbtb17
26175529 | Association | Cardiomyopathies | rs10927875
26175529 | Association | Cardiomyopathies | Zbtb17
26175529 | Association | Cardiomegaly | Zbtb17
26175529 | Association | Heart Failure | Zbtb17
26175529 | Association | Cardiomyopathies | ZBTB17
36744765 | Negative_Correlation | Doxycycline | Influenza Human
36744765 | Association | Influenza Human | Mx1
36744765 | Positive_Correlation | Doxycycline | Mx1
36744765 | Positive_Correlation | Ifna | Gbp2b
27177020 | Positive_Correlation | FKBP4 | NR3C1
22210188 | Bind | RACK1 | PIAS2
33439102 | Association | Hydrogen | Pparg
33439102 | Association | Hydrogen | Water
33439102 | Negative_Correlation | Water | Non-alcoholic Fatty Liver Disease
33439102 | Association | Choline | Non-alcoholic Fatty Liver Disease
33439102 | Association | Lipids | Fatty Liver
33439102 | Negative_Correlation | Hydrogen | Palmitates
33439102 | Positive_Correlation | Hmox1 | Sirt1
33439102 | Association | Inflammation | Hmox1
33439102 | Negative_Correlation | Hydrogen | Non-alcoholic Fatty Liver Disease
33439102 | Negative_Correlation | Hydrogen | Metabolic Diseases
33439102 | Association | Palmitates | Ppara
33439102 | Association | Non-alcoholic Fatty Liver Disease | Sirt1
33439102 | Association | Ppara | Sirt1
33439102 | Negative_Correlation | Water | Liver Failure
33439102 | Positive_Correlation | Lipopolysaccharides | Inflammation
33439102 | Association | Liver Failure | Hmox1
33439102 | Positive_Correlation | Hydrogen | Sirt1
33439102 | Association | Hydrogen | Ppara
33439102 | Negative_Correlation | Hydrogen | Liver Failure
33439102 | Association | Pparg | Sirt1
33439102 | Association | Lipids | Metabolic Diseases
33439102 | Association | Palmitates | Sirt1
33439102 | Association | Water | Sirt1
33439102 | Association | Palmitates | Pparg
33439102 | Positive_Correlation | Hydrogen | Hmox1
33439102 | Negative_Correlation | Hydrogen | Inflammation
33439102 | Association | Palmitates | Metabolic Diseases
33439102 | Association | Hydrogen | Il10
33439102 | Positive_Correlation | Water | Hmox1
33439102 | Negative_Correlation | Hydrogen | Lipopolysaccharides
33439102 | Association | Water | Il10
33439102 | Positive_Correlation | Palmitates | Fatty Liver
24457965 | Association | Neoplasms | Pias4
24457965 | Association | Atm | Mapk8
24457965 | Association | Neoplasms | Atm
24457965 | Positive_Correlation | Reactive Oxygen Species | Mapk8
24457965 | Association | Ikbkg | Pias4
24457965 | Positive_Correlation | Ikbkg | Nfkb1
24457965 | Positive_Correlation | Atm | Nfkb1
24457965 | Association | Atm | Pias4
24457965 | Association | Mapk8 | Pias4
24457965 | Negative_Correlation | Reactive Oxygen Species | Ikbkg
24457965 | Association | Reactive Oxygen Species | Neoplasms
24457965 | Positive_Correlation | Nfkb1 | Pias4
24457965 | Positive_Correlation | Reactive Oxygen Species | Atm
24457965 | Negative_Correlation | Reactive Oxygen Species | Pias4
24457965 | Association | Atm | Ikbkg
24457965 | Positive_Correlation | Reactive Oxygen Species | Nfkb1
38332341 | Association | Carcinoma Neuroendocrine | CXCR4
24614299 | Association | PIAS4 | SUMO3
24614299 | Association | STXBP5 | SUMO3
24614299 | Association | PIAS4 | SUMO2
24614299 | Association | STXBP5 | SUMO2
24614299 | Association | STXBP5 | PIAS4
38095299 | Bind | Cxcr4 | Cxcl12
38095299 | Bind | Ackr3 | Cxcl12
35007290 | Negative_Correlation | Dexamethasone | Bacterial Infections
35007290 | Negative_Correlation | Dexamethasone | Inflammation
35007290 | Association | Inflammation | IL6
35007290 | Negative_Correlation | Dexamethasone | COVID-19
35007290 | Association | Inflammation | CRP
38475864 | Negative_Correlation | A-trisaccharide | atr
38475864 | Association | Glioma | atr
38475864 | Negative_Correlation | A-trisaccharide | Glioma
37532089 | Association | Pancreatitis | Fto
37532089 | Association | Wounds and Injuries | Fto
37532089 | Association | Wounds and Injuries | Foxa2
37532089 | Association | Ceruletide | Fto
37532089 | Association | Ceruletide | Foxa2
37532089 | Association | Foxa2 | Pias1
37532089 | Positive_Correlation | Ceruletide | Pancreatitis
37532089 | Association | Ceruletide | Pias1
37532089 | Association | Fto | Pias1
37532089 | Negative_Correlation | Fto | Pias1
37532089 | Association | Pancreatitis | Foxa2
37532089 | Association | Inflammation | Foxa2
37532089 | Negative_Correlation | Ceruletide | Pias1
37532089 | Positive_Correlation | Ceruletide | Inflammation
37532089 | Positive_Correlation | Ceruletide | Wounds and Injuries
37532089 | Association | Pancreatitis | Pias1
37532089 | Negative_Correlation | Inflammation | Pias1
37532089 | Association | Inflammation | Fto
37532089 | Association | Wounds and Injuries | Pias1
38597446 | Association | Stomach Neoplasms | LINC00626
38597446 | Association | Stomach Neoplasms | STAT3
38597446 | Association | Stomach Neoplasms | JAK1
38597446 | Association | STAT3 | KHSRP
38597446 | Positive_Correlation | Neoplasm Metastasis | LINC00626
38597446 | Association | Adenocarcinoma | LINC00626
38597446 | Association | JAK1 | STAT3
38597446 | Association | JAK1 | KHSRP
38597446 | Association | Adenocarcinoma | KHSRP
38597446 | Association | Neoplasm Metastasis | JAK1
38597446 | Association | STAT3 | LINC00626
38597446 | Association | JAK1 | LINC00626
38597446 | Association | LINC00626 | KHSRP
15123625 | Association | PPARG | SUMO1
15123625 | Association | PPARG | PIAS2
15123625 | Association | PPARG | UBE2I
15123625 | Association | Neoplasms | PPARG
15123625 | Association | Neoplasms | SUMO1
15123625 | Association | PPARG | PIAS1
15123625 | Association | Hepatoblastoma | PPARG
22539679 | Association | Embryo Loss | Ifng
22539679 | Association | Diabetes Mellitus Type 1 | Ifng
22539679 | Association | Pgr | Pias4
27924068 | Positive_Correlation | Carbohydrates | Liver Cirrhosis
27924068 | Positive_Correlation | Smad3 | Pias4
27924068 | Positive_Correlation | Pias4 | Sirt1
27924068 | Association | Liver Cirrhosis | Sirt1
27924068 | Association | Smad3 | Sirt1
27924068 | Association | Liver Cirrhosis | Pias4
27924068 | Association | Liver Cirrhosis | Smad3
27323886 | Negative_Correlation | Smad3 | Sirt1
27323886 | Positive_Correlation | Glucose | Pias4
27323886 | Association | Chemical and Drug Induced Liver Injury | Pias4
27323886 | Negative_Correlation | Chemical and Drug Induced Liver Injury | Sirt1
27323886 | Positive_Correlation | Smad3 | Pias4
27323886 | Negative_Correlation | Pias4 | Sirt1
27323886 | Association | Liver Cirrhosis | Sirt1
27323886 | Association | Liver Cirrhosis | Pias4
27323886 | Negative_Correlation | Glucose | Sirt1
37735875 | Association | Inflammation | Il17a
37735875 | Negative_Correlation | Cxcr4 | Stat3
37735875 | Negative_Correlation | Inflammation | Cxcr4
37735875 | Association | Inflammation | Tnf
37735875 | Association | Inflammation | Stat3
37735875 | Negative_Correlation | Cxcr4 | Il17a
37735875 | Negative_Correlation | Cxcr4 | Il6
37735875 | Association | Pancreatic Neoplasms | Cxcr4
37735875 | Association | Pancreatic Neoplasms | Nfkb1
37735875 | Association | Inflammation | Il6
37735875 | Association | Pancreatic Neoplasms | Stat3
37735875 | Association | Il6 | Stat3
37735875 | Association | Il17a | Stat3
37735875 | Association | Carcinoma Pancreatic Ductal | Cxcr4
37735875 | Association | Cxcr4 | Nfkb1
37735875 | Negative_Correlation | Stat3 | Tnf
37735875 | Negative_Correlation | Cxcr4 | Tnf
38621611 | Negative_Correlation | ruxolitinib | Lymphohistiocytosis Hemophagocytic
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | IL1B
38646919 | Association | Primary Myelofibrosis | MIR146A
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Osteosclerosis
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Fibrosis
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Inflammation
38646919 | Negative_Correlation | ruxolitinib | Hematologic Diseases
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Thrombocytopenia
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Bone Marrow Diseases
38646919 | Association | Anemia | NFKB1
38646919 | Association | Osteosclerosis | NFKB1
38646919 | Negative_Correlation | MIR146A | NFKB1
38646919 | Negative_Correlation | fedratinib | Primary Myelofibrosis
38646919 | Association | Inflammation | IL1B
38646919 | Association | Inflammation | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | TNF
38646919 | Positive_Correlation | IL1B | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Bone Marrow Diseases
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Fibrosis
38646919 | Association | Fibrosis | NFKB1
