38128681 | Positive_Correlation | Infections | nos2
38128681 | Positive_Correlation | Infections | LOC100136285
38128681 | Positive_Correlation | Infections | LOC100136024
38128681 | Positive_Correlation | Infections | LOC100136222
38482010 | Positive_Correlation | Cd4 | Tlr5
38482010 | Association | Diabetes Mellitus Type 1 | Tlr5
38482010 | Positive_Correlation | Itgax | Tlr5
38482010 | Association | Obesity | TLR5
38234717 | Association | Neoplasms | IKZF1
38234717 | Association | Hereditary Autoinflammatory Diseases | CTLA4
38234717 | Association | Neoplasms | LAT
38234717 | Association | LAT | ITGAM
38234717 | Association | Neoplasms | CD200
38234717 | Association | Neoplasms | IRF1
38234717 | Association | Neoplasms | ITGAM
38234717 | Association | Neoplasms | SPI1
38234717 | Association | Neoplasms | PTPRC
38234717 | Association | Neoplasms | CD4
38234717 | Association | Neoplasms | CTLA4
38234717 | Association | LAT | PTPRC
38234717 | Association | Hereditary Autoinflammatory Diseases | CD200
38234717 | Association | LAT | CD8A
38234717 | Association | Neoplasms | SH2B3
38234717 | Association | Neoplasms | CD8A
31681580 | Association | Mesothelioma Malignant | C1QBP
31681580 | Negative_Correlation | Neoplasms | C1QBP
31681580 | Association | Adenocarcinoma | C1QBP
8243653 | Association | Triiodothyronine | DIO3
2329720 | Positive_Correlation | Cyclosporine | Adenocarcinoma
37991414 | Association | Carcinoma Renal Cell | CD4
37991414 | Association | IFI30 | CD4
37991414 | Association | Carcinoma Renal Cell | IL10
37991414 | Association | IFI30 | CD8A
37991414 | Association | Carcinoma Renal Cell | CD3E
37991414 | Association | IFI30 | IL10
37991414 | Association | IFI30 | TGFB1
37991414 | Association | IFI30 | CD3E
37991414 | Association | Carcinoma Renal Cell | TGFB2
37991414 | Positive_Correlation | Carcinoma Renal Cell | IFI30
37991414 | Association | Carcinoma Renal Cell | CD8A
37991414 | Association | IFI30 | TGFB2
7617661 | Association | Brain Neoplasms | CD4
7617661 | Association | Neoplasms | HLA-A
7617661 | Association | Brain Neoplasms | CD8A
7617661 | Association | Neoplasms | HLA-B
7617661 | Association | Neoplasms | HLA-C
7617661 | Association | Neoplasms | CD8A
26429413 | Negative_Correlation | moxidectin | Infections
26429413 | Negative_Correlation | Fenbendazole | Infections
36169564 | Negative_Correlation | Disease | PDCD1
36169564 | Positive_Correlation | CD8A | CD8B
36169564 | Association | Neoplasms | CD8B
36169564 | Negative_Correlation | PDCD1 | CD4
36169564 | Association | Neoplasms | PDCD1
36169564 | Positive_Correlation | PDCD1 | CD3E
36169564 | Positive_Correlation | PDCD1 | CD8A
36169564 | Negative_Correlation | FOXP3 | PDCD1
11495812 | Association | Demyelinating Diseases | Cd4
23385756 | Association | Sterols | UPC2
23385756 | Association | Ergosterol | UPC2
28701395 | Association | gag | CD8A
28701395 | Association | gag | CD4
28701395 | Association | gag | TNF
28701395 | Association | gag | IL2
36818626 | Association | Stomach Neoplasms | CD93
36818626 | Association | Neoplasms | CD93
26115946 | Association | Progeria | LMNA
26115946 | Association | Resveratrol | Metformin
26115946 | Association | Progeroid syndrome neonatal | PRKAA1
26115946 | Association | Metformin | Progeroid syndrome neonatal
26115946 | Association | LMNA | SRSF1
26115946 | Association | Progeria | PRKAA1
26115946 | Negative_Correlation | SRSF1 | C1QBP
26115946 | Association | LMNA | SRSF6
26115946 | Association | LMNA | PRKAA1
26115946 | Association | PRKAA1 | SRSF6
26115946 | Association | Resveratrol | Progeroid syndrome neonatal
11104582 | Association | Rheumatic Diseases | Esr1
11104582 | Association | Raloxifene Hydrochloride | Hereditary Angioedema Type III
11104582 | Negative_Correlation | LY 117018 | Inflammation
11104582 | Comparison | LY 117018 | Estradiol
11104582 | Negative_Correlation | Raloxifene Hydrochloride | Osteoporosis
11104582 | Negative_Correlation | LY 117018 | Hypersensitivity Delayed
11104582 | Positive_Correlation | LY 117018 | Atrophy
11104582 | Association | Raloxifene Hydrochloride | Inflammation
11104582 | Association | Raloxifene Hydrochloride | Esr1
35787993 | Association | COVID-19 | IL6
35787993 | Association | GAK | ACE2
35787993 | Positive_Correlation | COVID-19 | TNF
37127471 | Cotreatment | carfilzomib | Dexamethasone
37127471 | Negative_Correlation | carfilzomib | Multiple Myeloma
37127471 | Negative_Correlation | Lenalidomide | Multiple Myeloma
37127471 | Negative_Correlation | Dexamethasone | Multiple Myeloma
37127471 | Cotreatment | elotuzumab | Lenalidomide
37127471 | Cotreatment | elotuzumab | Dexamethasone
37127471 | Cotreatment | Lenalidomide | Dexamethasone
37127471 | Cotreatment | carfilzomib | elotuzumab
37127471 | Negative_Correlation | elotuzumab | Multiple Myeloma
38164397 | Association | Clostridium Infections | CD4
33359361 | Association | Inflammation | LOC106603888
33359361 | Association | Inflammation | il8
7901248 | Negative_Correlation | diphenylcyclopropenone | ICAM1
7901248 | Negative_Correlation | Minoxidil | Alopecia Areata
7901248 | Drug_Interaction | diphenylcyclopropenone | Minoxidil
