33047584 | Negative_Correlation | Mitomycin | Colorectal Neoplasms
3160777 | Bind | HLA-A | CD8A
3160777 | Bind | HLA-B | CD8A
38496688 | Association | Small Cell Lung Carcinoma | CD274
28655090 | Association | Sincalide | Multiple Myeloma
28655090 | Association | Multiple Myeloma | FLT1
28655090 | Negative_Correlation | Dexamethasone | Multiple Myeloma
28655090 | Association | Inflammation | IL6
37133343 | Negative_Correlation | plerixafor | CD8A
37133343 | Negative_Correlation | plerixafor | Lymphopenia
37133343 | Association | WHIM syndrome | CD8A
37133343 | Negative_Correlation | plerixafor | Cd4
37133343 | Association | Lymphopenia | CD8A
37133343 | Association | CD8 Deficiency Familial | Cxcr4
37133343 | Association | Cxcr4 | Cxcl12
37133343 | Association | Cxcl12 | CD8A
37133343 | Association | WHIM syndrome | Cxcr4
37133343 | Association | WHIM syndrome | CXCR4
37133343 | Negative_Correlation | plerixafor | Cxcr4
38426750 | Bind | ITIH4 | CD4
38426750 | Bind | env | CD4
38426750 | Association | Neurocognitive Disorders | env
38502137 | Association | Inflammation | Ifng
38502137 | Association | Inflammation | Il6ra
38502137 | Association | Inflammation | Tnf
38502137 | Association | Inflammation | Cd4
38349178 | Association | COVID-19 | TNF
38349178 | Association | Inflammatory Bowel Diseases | TNF
38184779 | Negative_Correlation | Propylthiouracil | Graves Disease
38184779 | Negative_Correlation | Potassium Iodide | Hyperthyroidism
38184779 | Negative_Correlation | Propranolol | Graves Disease
38184779 | Negative_Correlation | Propranolol | Hyperthyroidism
38517294 | Association | Neonatal hemochromatosis | Cxcr5
8791590 | Association | Acquired Immunodeficiency Syndrome | CCR5
8791590 | Association | HTLV-I Infections | CCR5
8791590 | Bind | CCR5 | CD4
38399453 | Association | Neoplasms | CD4
38399453 | Negative_Correlation | Carboplatin | Carcinoma Non-Small-Cell Lung
38399453 | Negative_Correlation | atezolizumab | Carcinoma Non-Small-Cell Lung
38399453 | Cotreatment | atezolizumab | Carboplatin
38399453 | Association | Neoplasms | CD8A
37679040 | Association | Multiple Sclerosis | MOG
38357647 | Association | COVID-19 | CD38
38357647 | Association | COVID-19 | SELL
38357647 | Association | COVID-19 | CD69
38357647 | Association | COVID-19 | CD28
38357647 | Association | COVID-19 | CD7
38357647 | Association | COVID-19 | CD5
38357647 | Association | COVID-19 | CD8A
38357647 | Association | COVID-19 | FCGR3A
38357647 | Association | COVID-19 | CD14
38357647 | Association | COVID-19 | CD4
38429734 | Association | Tuberculosis Pulmonary | CD27
38429734 | Negative_Correlation | Tuberculosis | CD27
38429734 | Negative_Correlation | Tuberculosis | CD38
38429734 | Association | CD4 | CD38
38429734 | Negative_Correlation | Rifampin | Tuberculosis
38429734 | Association | Latent Tuberculosis | CD27
38429734 | Negative_Correlation | Ethambutol | Tuberculosis Pulmonary
38429734 | Association | IFNG | CD38
38429734 | Negative_Correlation | Pyrazinamide | Tuberculosis
38429734 | Negative_Correlation | Ethambutol | Tuberculosis
38429734 | Negative_Correlation | Isoniazid | Tuberculosis
38429734 | Association | CD4 | CD27
38429734 | Association | Latent Tuberculosis | CD38
38429734 | Association | Tuberculosis Pulmonary | CD38
38429734 | Comparison | Isoniazid | Rifampin
38429734 | Association | CD27 | CD38
38429734 | Association | CRP | CD27
38429734 | Association | CRP | CD38
38429734 | Association | IFNG | CD27
9815249 | Association | Ctla4 | Cd4
9815249 | Negative_Correlation | Ctla4 | Ifng
9815249 | Association | Cd3e | Cd4
9815249 | Association | Leishmaniasis Visceral | Cd80
9815249 | Association | Ctla4 | Cd80
9815249 | Association | Ctla4 | Cd3e
9815249 | Association | Leishmaniasis Visceral | Ctla4
9815249 | Negative_Correlation | Ctla4 | Il4
9815249 | Association | Leishmaniasis Visceral | Cd4
9815249 | Association | Cd4 | Cd80
9815249 | Negative_Correlation | Ctla4 | Il2
8674120 | Association | CCR5 | CD4
8674120 | Association | Virus Diseases | env
8674120 | Association | CCR3 | env
8674120 | Association | env | CCR2
38567606 | Negative_Correlation | Infections | CXCR4
38567606 | Association | Infections | CCR5
38567606 | Association | CCR5 | CD4
38567606 | Association | Acquired Immunodeficiency Syndrome | CCR5
29892279 | Association | FOXP3 | PTPRC
29892279 | Positive_Correlation | Foxp3 | FLT3LG
29892279 | Positive_Correlation | Cd14 | FLT3LG
29892279 | Association | Cxcr4 | Thbd
29892279 | Positive_Correlation | Thbd | Cd40
29892279 | Positive_Correlation | CSF2 | CD4
29892279 | Positive_Correlation | Cd14 | Csf2
29892279 | Positive_Correlation | CSF2 | Foxp3
29892279 | Positive_Correlation | Csf2 | Thbd
29892279 | Positive_Correlation | Cd80 | Csf2
29892279 | Positive_Correlation | Ccr5 | Thbd
29892279 | Positive_Correlation | Cd4 | Csf2
29892279 | Positive_Correlation | Thbd | FLT3LG
29892279 | Positive_Correlation | Cd4 | FLT3LG
29892279 | Positive_Correlation | Cd86 | Thbd
29892279 | Positive_Correlation | Csf2 | Foxp3
18077770 | Association | Multiple Myeloma | KRT20
18077770 | Association | Multiple Myeloma | CD33
18077770 | Association | Multiple Myeloma | CXCR4
18077770 | Association | Multiple Myeloma | NCAM1
24376850 | Association | (18F)fluoroethyltyrosine | Neuropathy with Paraprotein in Serum Cerebrospinal Fluid and Urine
