38506564 | Positive_Correlation | Glioma | SERPINH1
38506564 | Association | SERPINH1 | CD4
38506564 | Association | SERPINH1 | CD8A
38373700 | Association | COVID-19 | ACE2
28363650 | Association | calcium phosphate | CSNK2B
28363650 | Association | Phosphates | CSNK2B
28363650 | Association | Phosphopeptides | CSNK2B
38482051 | Association | AKT1 | MTOR
38482051 | Association | Stomach Neoplasms | MTOR
38482051 | Association | Stomach Neoplasms | AKT1
38482051 | Association | Stomach Neoplasms | PDCD1
38482051 | Association | Stomach Neoplasms | CD274
32392186 | Association | Melanoma | GPX8
32392186 | Association | Carcinoma Basal Cell | GPX8
32392186 | Association | Stomach Neoplasms | GPX8
32392186 | Association | Keshan disease | GPX8
34322810 | Association | COVID-19 | EGFR
34322810 | Association | COVID-19 | CCR2
34322810 | Association | Herpes Zoster | HLA-B
34322810 | Association | COVID-19 | APOE
34322810 | Association | Herpes Zoster | IL7
34322810 | Association | COVID-19 | HLA-DRB1
34322810 | Association | Herpes Zoster | CXCL13
34322810 | Association | Herpes Zoster | HLA-DRB1
34322810 | Association | Herpes Zoster | CCR2
34322810 | Association | Herpes Zoster | TECTA
34322810 | Association | Herpes Zoster | TNF
34322810 | Association | COVID-19 | HLA-B
34322810 | Association | Herpes Zoster | STAT3
34322810 | Association | COVID-19 | IL7
34322810 | Association | Herpes Zoster | IL10
34322810 | Association | Herpes Zoster | IL6
34322810 | Association | Herpes Zoster | IL5
34322810 | Association | Herpes Zoster | THBS1
34322810 | Association | COVID-19 | IL6
34322810 | Association | COVID-19 | TNF
34322810 | Association | Herpes Zoster | IL17A
34322810 | Association | COVID-19 | ARSA
34322810 | Association | COVID-19 | IL5
34322810 | Association | COVID-19 | THBS1
34322810 | Association | COVID-19 | GAL
34322810 | Association | COVID-19 | CXCL13
34322810 | Association | COVID-19 | IL10
34322810 | Association | COVID-19 | STAT3
34322810 | Association | Herpes Zoster | GP2
34322810 | Association | Herpes Zoster | HLA-A
34322810 | Association | Herpes Zoster | GAL
34322810 | Association | Herpes Zoster | APOE
34322810 | Association | Herpes Zoster | CCR5
34322810 | Association | Herpes Zoster | ESR1
34322810 | Association | Herpes Zoster | CRP
34322810 | Association | COVID-19 | HLA-A
34322810 | Association | COVID-19 | CCR5
34322810 | Association | COVID-19 | CRP
34322810 | Association | COVID-19 | TECTA
34322810 | Association | COVID-19 | GP2
34322810 | Association | COVID-19 | ESR1
34322810 | Association | Herpes Zoster | EGFR
34322810 | Association | Herpes Zoster | ARSA
34322810 | Association | COVID-19 | IL17A
38384415 | Positive_Correlation | Sepsis | MASP1
38384415 | Positive_Correlation | Wounds and Injuries | MASP1
38384415 | Positive_Correlation | CRP | MASP1
38525693 | Negative_Correlation | Cyclosporine | Lymphoma T-Cell
38525693 | Comparison | Steroids | Cyclosporine
37893073 | Association | NFKB1 | STAT1
37893073 | Negative_Correlation | SMC2 | NFKB1
37893073 | Association | Inflammation | NOS2
37893073 | Positive_Correlation | IFNG | NOS2
37893073 | Positive_Correlation | IFNG | TNF
37893073 | Positive_Correlation | IFNG | IL1B
37893073 | Negative_Correlation | baricitinib | NOS2
37893073 | Positive_Correlation | COVID-19 | NOS2
38607233 | Association | Cholangitis Sclerosing | CD4
38607233 | Association | Cholangitis Sclerosing | IL6
38607233 | Association | Inflammation | STAT3
38607233 | Association | Cholangitis Sclerosing | IL2
38607233 | Association | Cholangitis Sclerosing | IL4
38607233 | Positive_Correlation | IL6 | STAT3
38607233 | Negative_Correlation | Cholangitis Sclerosing | ENTPD1
38607233 | Positive_Correlation | Cholangitis Sclerosing | IFNG
38607233 | Association | Cholangitis Sclerosing | STAT5A
38607233 | Association | Cholangitis Sclerosing | STAT3
38607233 | Negative_Correlation | Inflammation | ENTPD1
36139700 | Association | Breast Neoplasms | PPARG
36139700 | Association | Neoplasms | PPARG
2194213 | Association | Multiple Myeloma | TRIM13
2194213 | Association | Multiple Myeloma | CD4
36823318 | Association | Multiple Sclerosis | CYP24A1
3106478 | Association | Lupus Erythematosus Systemic | CD4
3106478 | Association | Renal Insufficiency | Cd4
2789493 | Negative_Correlation | Meropenem | Triple Negative Breast Neoplasms
2789493 | Comparison | Meropenem | Imipenem
2549799 | Association | Lymphoma Follicular | TNFRSF8
37489616 | Negative_Correlation | IL2 | TPO
37489616 | Negative_Correlation | Thyroiditis Autoimmune | IL2
37489616 | Association | Thyroiditis Autoimmune | TPO
37489616 | Positive_Correlation | IL2 | CD4
