24625024 | Association | IL6 | STAT3
33643791 | Negative_Correlation | Ischemia | Nid1
33643791 | Association | Hypoxia | Nid1
33643791 | Negative_Correlation | Fibrosis | Nid1
31714156 | Association | Small Cell Lung Carcinoma | PDCD1
31714156 | Association | PDCD1 | TNF
31714156 | Association | Phosphorus | Small Cell Lung Carcinoma
31714156 | Association | Carcinoma Non-Small-Cell Lung | PDCD1
31714156 | Association | Lung Neoplasms | PDCD1
31714156 | Association | Phosphatidylserines | PDCD1
31714156 | Association | Lung Neoplasms | MTOR
31714156 | Association | Carcinoma Small Cell | TNF
31714156 | Association | Carcinoma Non-Small-Cell Lung | TNF
31714156 | Association | Phosphatidylserines | Small Cell Lung Carcinoma
31714156 | Association | Phosphorus | PDCD1
31714156 | Association | Phosphatidylserines | TNF
31714156 | Association | Carcinoma Small Cell | PDCD1
31714156 | Association | Phosphorus | Carcinoma Small Cell
31714156 | Association | Small Cell Lung Carcinoma | TNF
31714156 | Association | Phosphorus | TNF
31714156 | Association | Phosphatidylserines | Carcinoma Small Cell
31741759 | Positive_Correlation | Breast Neoplasms | NEK3
31741759 | Positive_Correlation | Breast Neoplasms | PIAS3
31741759 | Positive_Correlation | Breast Neoplasms | CYP19A1
31741759 | Positive_Correlation | Breast Neoplasms | PRL
33958760 | Positive_Correlation | IFNG | TMEM132A
33958760 | Positive_Correlation | Neoplasms | IFNG
33958760 | Association | Neoplasms | TMEM132A
33958760 | Association | Hsf1 | TMEM132A
33958760 | Bind | Hsf1 | HSP90AA1
33958760 | Positive_Correlation | Hsf1 | IFNG
33958760 | Association | Neoplasms | Hsf1
33958760 | Association | Neoplasms | CD8A
36407092 | Negative_Correlation | obinutuzumab | Lymphoma Non-Hodgkin
36407092 | Negative_Correlation | obinutuzumab | Lymphoma Follicular
31743425 | Positive_Correlation | IFNG | MICB
31743425 | Positive_Correlation | MICA | IFNG
31743425 | Positive_Correlation | MICB | TNF
31743425 | Positive_Correlation | MICA | TNF
36043467 | Association | 2-oxindole | Carbamates
36043467 | Association | Alcohols | Carbamates
36043467 | Association | Alcohols | Copper
36043467 | Association | 2-oxindole | Copper
36043467 | Association | 2-oxindole | Alcohols
36043467 | Association | Carbamates | Copper
30859354 | Association | Breast Neoplasms | MIR221
30859354 | Association | Breast Neoplasms | PLAAT4
30859354 | Association | Breast Neoplasms | MIR210
30859354 | Association | Breast Neoplasms | MIR222
30859354 | Association | Breast Neoplasms | HLA-C
30859354 | Association | Breast Neoplasms | MIR22
30859354 | Association | Breast Neoplasms | PSMB9
30859354 | Association | Breast Neoplasms | MIR21
30859354 | Association | Breast Neoplasms | UBE2L6
33349924 | Positive_Correlation | c.130A>C | Behcet Syndrome
33349924 | Positive_Correlation | Behcet Syndrome | p.N44H
33349924 | Positive_Correlation | Behcet Syndrome | c.130A>C
33349924 | Positive_Correlation | CSF2 | STAT5A
33349924 | Association | Behcet Syndrome | CSF2
33349924 | Association | Tetradecanoylphorbol Acetate | TNF
33349924 | Positive_Correlation | CSF2 | TNF
33349924 | Positive_Correlation | CSF2 | IL1R1
19391757 | Association | mica | Water
22238455 | Bind | LCK | CD8A
22238455 | Association | LCK | TRBV20OR9-2
22238455 | Association | IL21 | STAT3
22238455 | Association | IL21 | TRBV20OR9-2
22238455 | Association | LCK | IL21
22238455 | Association | HLA-C | TRBV20OR9-2
22238455 | Association | HLA-C | LCK
22238455 | Association | IL21 | CD8A
22238455 | Association | TRBV20OR9-2 | CD8A
38298716 | Association | HIF1A | TNF
38298716 | Association | HIF1A | TGFB1
38298716 | Association | EDN1 | HIF1A
38298716 | Association | Uterine Cervical Neoplasms | EDN1
38298716 | Association | Uterine Cervical Neoplasms | STRN3
38298716 | Association | HIF1A | NFKB1
38298716 | Association | MTOR | HIF1A
38298716 | Association | AKT1 | HIF1A
38298716 | Association | Uterine Cervical Neoplasms | HIF1A
33806292 | Negative_Correlation | Hydrogen | Chronic Disease
33806292 | Negative_Correlation | Hydrogen | Reactive Oxygen Species
33806292 | Negative_Correlation | Hydrogen | DFNA34
33806292 | Positive_Correlation | Reactive Oxygen Species | DFNA34
33806292 | Negative_Correlation | Hydrogen | COVID-19
33806292 | Negative_Correlation | Hydrogen | Inflammation
33397652 | Association | Axial Spondyloarthritis | IL17A
33397652 | Association | Axial Spondyloarthritis | IL23A
33397652 | Association | Axial Spondyloarthritis | HLA-B
35672711 | Negative_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | TAGLN
35672711 | Negative_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | AKT1
