11937547 | Association | SATB1 | CD8A
11937547 | Bind | GATA3 | CD8B
11937547 | Association | GATA3 | CD8A
11937547 | Association | SATB1 | CD8B
11937547 | Association | Oligonucleotides | GATA3
17940119 | Positive_Correlation | lipine | Hypertension
17940119 | Association | lipine | Obesity
17940119 | Association | Metabolic Syndrome | LPIN1
17940119 | Association | lipine | Diabetes Mellitus
38609844 | Association | CTLA4 | CD8B
38609844 | Association | CTLA4 | CD2
38609844 | Association | CTLA4 | CD8A
28455446 | Association | Infections | KPNA1
28455446 | Positive_Correlation | IFNB1 | STAT1
28455446 | Association | Infections | CASP3
28455446 | Association | KPNA1 | CASP3
28455446 | Positive_Correlation | IFNB1 | STAT2
22399799 | Association | KDM1A | GFI1B
22399799 | Bind | C1QBP | GFI1B
22399799 | Association | RCOR1 | C1QBP
22399799 | Association | KDM1A | RCOR1
22399799 | Association | RCOR1 | GFI1B
22399799 | Association | KDM1A | C1QBP
29679717 | Negative_Correlation | icaritin | Bone Diseases Metabolic
29679717 | Association | icaritin | CXCL12
29679717 | Negative_Correlation | icaritin | Fragile X Syndrome
29679717 | Positive_Correlation | icaritin | STAT3
29679717 | Positive_Correlation | icaritin | CXCR4
29679717 | Association | STAT3 | CXCR4
29679717 | Negative_Correlation | icaritin | Osteoporosis
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | CXCR4
33843403 | Negative_Correlation | ruxolitinib | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
33843403 | Positive_Correlation | ruxolitinib | Paralysis
33843403 | Negative_Correlation | plerixafor | venetoclax
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | JAK1
33843403 | Negative_Correlation | plerixafor | CXCR4
33843403 | Negative_Correlation | venetoclax | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
33843403 | Positive_Correlation | venetoclax | Paralysis
33843403 | Association | BCL2 | CXCR4
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | JAK2
33843403 | Cotreatment | ruxolitinib | venetoclax
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | BCL2
33843403 | Cotreatment | plerixafor | ruxolitinib
33843403 | Bind | CXCL12 | CXCR4
8436166 | Bind | CD8A | CD8B
37205446 | Positive_Correlation | Cd8a | Ifng
31301483 | Association | Lung Neoplasms | MAP2K7
31301483 | Association | Lung Neoplasms | ZHX2
31301483 | Association | Lung Neoplasms | CTNNB1
31301483 | Association | Lung Neoplasms | IGF1R
31301483 | Association | Lung Neoplasms | KDR
31301483 | Association | Lung Neoplasms | NOTCH1
31301483 | Association | Lung Neoplasms | EGFR
31301483 | Association | Lung Neoplasms | CXCR4
31301483 | Association | Lung Neoplasms | SLTM
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Vegfa
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Trp53
38259290 | Negative_Correlation | triptolide | Vegfa
38259290 | Negative_Correlation | triptolide | Neoplasms
38259290 | Negative_Correlation | triptolide | Stat3
38259290 | Negative_Correlation | triptolide | Mapk8
38259290 | Association | triptolide | Il4
38259290 | Negative_Correlation | triptolide | Cxcr4
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Il2
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Ptgs2
38259290 | Association | triptolide | Trp53
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Stat3
38259290 | Negative_Correlation | triptolide | Il2
38259290 | Negative_Correlation | triptolide | Ptgs2
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Mapk8
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Cxcr4
38259290 | Negative_Correlation | triptolide | Squamous Cell Carcinoma of Head and Neck
38259290 | Association | Squamous Cell Carcinoma of Head and Neck | Il4
28863947 | Positive_Correlation | icaritin | Calcium
28863947 | Positive_Correlation | STAT3 | CXCR4
28863947 | Positive_Correlation | icaritin | CXCR4
28863947 | Positive_Correlation | icaritin | ATHS
28863947 | Positive_Correlation | icaritin | STAT3
28863947 | Negative_Correlation | icaritin | Osteoporosis
28863947 | Association | icaritin | Cxcr4
37310382 | Association | Demyelinating Autoimmune Diseases CNS | Cd8a
37310382 | Association | Leukodystrophy Globoid Cell | Galc
35095831 | Positive_Correlation | Arthritis Rheumatoid | CCR6
35095831 | Positive_Correlation | Arthritis Rheumatoid | CXCR5
35095831 | Positive_Correlation | CCR7 | CD209
35095831 | Positive_Correlation | Arthritis Rheumatoid | CXCR3
35095831 | Positive_Correlation | IL12B | CD14
35095831 | Positive_Correlation | Arthritis Rheumatoid | CD209
35095831 | Positive_Correlation | Arthritis Psoriatic | CD80
35095831 | Positive_Correlation | CD209 | TNF
35095831 | Positive_Correlation | CD14 | CD40
35095831 | Positive_Correlation | CXCR3 | CD209
35095831 | Association | Arthritis Psoriatic | NFKB1
35095831 | Positive_Correlation | Arthritis Psoriatic | CD40
35095831 | Positive_Correlation | CD209 | IL12B
35095831 | Positive_Correlation | CD209 | CD40
35095831 | Association | Arthritis | IL1B
35095831 | Association | Arthritis | IL6
35095831 | Association | NFKB1 | CD14
35095831 | Association | Arthritis | TNF
35095831 | Positive_Correlation | IL1B | CD14
35095831 | Positive_Correlation | CD209 | CXCR5
35095831 | Association | Arthritis | IL12B
35095831 | Positive_Correlation | CCR6 | CD209
35095831 | Positive_Correlation | CD14 | CD80
35095831 | Positive_Correlation | Arthritis Rheumatoid | CD14
35095831 | Positive_Correlation | Arthritis Psoriatic | CD14
35095831 | Association | Arthritis Psoriatic | CCR3
35095831 | Positive_Correlation | Arthritis Rheumatoid | CXCR4
35095831 | Positive_Correlation | CD209 | CXCR4
35095831 | Association | CD209 | NFKB1
35095831 | Positive_Correlation | Arthritis Psoriatic | CXCL10
35095831 | Positive_Correlation | CD209 | IL1B
35095831 | Positive_Correlation | Arthritis Rheumatoid | CCR7
35095831 | Positive_Correlation | CD209 | IL6
35095831 | Association | Arthritis Rheumatoid | NFKB1
35095831 | Positive_Correlation | Inflammation | CD40
35095831 | Positive_Correlation | Arthritis Psoriatic | CD209
35095831 | Association | Arthritis Psoriatic | CXCL11
35095831 | Positive_Correlation | CD209 | CD80
35095831 | Positive_Correlation | TNF | CD14
35095831 | Association | NFKB1 | TNF
35095831 | Association | Arthritis | CD209
35095831 | Positive_Correlation | IL6 | CD14
34923792 | Association | Colorectal Neoplasms | CD8A
34923792 | Association | Colorectal Neoplasms | CD8B
34923792 | Association | Neoplasms | CD8A
38377192 | Negative_Correlation | US11 | CD8A
22025728 | Positive_Correlation | RUNX3 | CD8A
22025728 | Association | CD8A | CD8B
22025728 | Positive_Correlation | trichostatin A | CD8A
22025728 | Positive_Correlation | CBFB | CD8A
16894629 | Positive_Correlation | Zidovudine | Mitochondrial Diseases
1898906 | Association | Invasive Pneumococcal Disease Recurrent Isolated 2 | CD8A
34412704 | Association | Inflammation | RELA
34412704 | Association | Parkinson Disease | CD8B
34412704 | Association | Dopamine | Inflammation
34412704 | Negative_Correlation | Colitis | Th
34412704 | Association | Inflammation | CD8B
34412704 | Positive_Correlation | 1-Methyl-4-phenyl-1 2 3 6-tetrahydropyridine | Colitis
34412704 | Association | Inflammation | Rgs10
34412704 | Association | Parkinson Disease | RELA
34412704 | Positive_Correlation | Colitis | Ifng
34412704 | Negative_Correlation | Nfkb1 | Rgs10
35069519 | Negative_Correlation | IFNL1 | VP24
35069519 | Negative_Correlation | IFIH1 | VP24
35069519 | Positive_Correlation | DDX58 | IFNB1
35069519 | Positive_Correlation | DDX58 | IFNL1
35069519 | Association | IRF3 | VP24
35069519 | Association | IFNA1 | VP40
35069519 | Negative_Correlation | DDX58 | VP24
35069519 | Association | IFNA1 | VP24
35069519 | Association | IFNA1 | VP35
35069519 | Positive_Correlation | IFNB1 | IFIH1
35069519 | Association | KPNA1 | VP24
35069519 | Negative_Correlation | IFNB1 | VP24
35069519 | Positive_Correlation | IFNL1 | IFIH1
25121743 | Association | Virus Diseases | STAT1
37819133 | Association | IFNA1 | STAT1
37819133 | Association | IFNA1 | STAT2
37819133 | Negative_Correlation | IRF9 | IFNA1
37586771 | Association | Triple Negative Breast Neoplasms | CD8A
37586771 | Association | Neoplasms | CD8A
37844994 | Association | Reactive Oxygen Species | Mapk14
37844994 | Association | Reactive Oxygen Species | Fcgr2b
37844994 | Association | Nr1i3 | TNFRSF17
37844994 | Association | Multiple Myeloma | Mapk14
37844994 | Association | Multiple Myeloma | CD8A
37844994 | Association | Fcgr2b | Mapk14
37844994 | Association | CRP | Mapk14
37844994 | Association | Multiple Myeloma | TNFRSF17
37844994 | Association | CRP | Fcgr2b
