38331062 | Association | Neoplasms | S
38486464 | Association | Obesity | Ccr5
38486464 | Negative_Correlation | recoflavone | Lipids
38486464 | Positive_Correlation | Triglycerides | Non-alcoholic Fatty Liver Disease
38486464 | Negative_Correlation | recoflavone | Obesity
38486464 | Negative_Correlation | eupatilin | Inflammatory Bowel Diseases
38486464 | Negative_Correlation | recoflavone | Inflammatory Bowel Diseases
38486464 | Negative_Correlation | recoflavone | Inflammation
38486464 | Negative_Correlation | recoflavone | Triglycerides
38486464 | Negative_Correlation | recoflavone | Ccr4
38486464 | Negative_Correlation | recoflavone | Fatty Liver
38486464 | Negative_Correlation | recoflavone | Ccr2
38486464 | Association | Inflammation | Ccr5
38486464 | Negative_Correlation | recoflavone | Ccr5
37863157 | Negative_Correlation | Breast Neoplasms | Cd8a
3145195 | Bind | CD8A | CD8B
3145196 | Association | CD8A | CD8B
3036833 | Association | Hsp90b1 | HSP82
38168677 | Association | Ccr5 | CD8A
38168677 | Association | Infections | CD8A
38168677 | Association | Inflammation | CD8A
38168677 | Association | Ccr2 | CD8A
38168677 | Association | Zika Virus Infection | CD8A
38168677 | Association | Infections | H2-Ab1
38237887 | Association | Neoplasm Metastasis | CCL5
38237887 | Association | CCR5 | HIF1A
38237887 | Association | Neoplasms | YAP1
38237887 | Association | Triple Negative Breast Neoplasms | CCR5
38237887 | Association | Triple Negative Breast Neoplasms | CCL5
38237887 | Association | CCR5 | CXCL8
38237887 | Association | YAP1 | CCL5
38237887 | Association | Neoplasm Metastasis | CCR5
38237887 | Association | YAP1 | HIF1A
38237887 | Association | Neoplasm Metastasis | CTNNB1
38237887 | Negative_Correlation | Verteporfin | Neoplasm Metastasis
38237887 | Association | CCR5 | ZEB1
38237887 | Negative_Correlation | Verteporfin | Neoplasms
38237887 | Association | Triple Negative Breast Neoplasms | YAP1
38237887 | Association | Neoplasm Metastasis | ZEB2
38237887 | Association | CCR5 | CTNNB1
38237887 | Association | CCR5 | CXCL16
38237887 | Association | YAP1 | ZEB1
38237887 | Positive_Correlation | Verteporfin | YAP1
38237887 | Association | CCR5 | CD8A
38237887 | Association | YAP1 | CTNNB1
38237887 | Association | YAP1 | ZEB2
38237887 | Bind | CCR5 | CCL5
38237887 | Negative_Correlation | Verteporfin | CCR5
38237887 | Negative_Correlation | Verteporfin | Triple Negative Breast Neoplasms
38237887 | Association | Neoplasm Metastasis | YAP1
38237887 | Negative_Correlation | Maraviroc | CCR5
38237887 | Association | CCR5 | ZEB2
38237887 | Association | Neoplasms | CCR5
38237887 | Association | Neoplasm Metastasis | ZEB1
38237887 | Positive_Correlation | YAP1 | CCR5
1970799 | Association | POLA1 | ZFX
12091350 | Association | Ccr5 | Itgax
12091350 | Association | Ccr2 | Itgax
12091350 | Association | Ccr6 | Itgax
12091350 | Association | Cd8a | Ccr7
12091350 | Positive_Correlation | Ifng | Itgax
12091350 | Association | Ccr7 | Itgax
12091350 | Association | Cd8a | Ccr5
12091350 | Association | Cd8a | Itgax
12091350 | Association | Cd8a | Ccr2
12091350 | Positive_Correlation | Ccr6 | Cd8a
12091350 | Positive_Correlation | Cd8a | Ifng
38566201 | Association | Esophageal Squamous Cell Carcinoma | TNFRSF4
38566201 | Association | Neoplasms | IFNG
38566201 | Association | Neoplasms | PVR
38566201 | Association | Neoplasms | TNFSF4
38566201 | Association | Neoplasms | HAVCR2
38566201 | Association | Neoplasms | TIGIT
38566201 | Association | Esophageal Squamous Cell Carcinoma | LGALS9
38566201 | Association | IFNG | CD8A
38566201 | Association | CTLA4 | CD86
38566201 | Association | Esophageal Squamous Cell Carcinoma | HAVCR2
38566201 | Bind | CCR5 | CCL5
38566201 | Association | Neoplasms | LGALS9
38566201 | Association | Neoplasms | TNFRSF4
38566201 | Association | TNFSF4 | TNFRSF4
38566201 | Association | Esophageal Squamous Cell Carcinoma | TNFSF4
38566201 | Association | Neoplasms | CTLA4
38590799 | Association | Glioma | Pdcd1
38590799 | Positive_Correlation | Ccr5 | PDCD1
38590799 | Positive_Correlation | Ccr5 | Pdcd1
38590799 | Association | Glioma | Ccr2
38590799 | Positive_Correlation | Ccr2 | PDCD1
38590799 | Association | Glioma | Ccr5
38590799 | Association | Neoplasms | CD8A
38590799 | Positive_Correlation | Ccr2 | Pdcd1
19429178 | Negative_Correlation | Neurodegenerative Diseases | p.C282Y
19429178 | Negative_Correlation | Alzheimer Disease | p.C282Y
19429178 | Association | Neurodegenerative Diseases | HFE
19429178 | Association | Alzheimer Disease | PPP1R10
19429178 | Association | Alzheimer Disease | HFE
28825698 | Association | Breast Neoplasms | PPP1R10
28825698 | Association | PPP1R10 | TGFB1
28825698 | Association | PCBP1 | PPP1R10
28825698 | Association | MIR205 | PPP1R10
28825698 | Association | PCBP1 | TGFB1
28825698 | Association | Neoplasms | PPP1R10
38335302 | Negative_Correlation | CXCR4 | CD8A
38335302 | Association | Neoplasms | CD8A
38335302 | Negative_Correlation | CXCR3 | CD8A
38335302 | Association | Neoplasms | ITGAE
38335302 | Positive_Correlation | PDCD1 | CD8A
38335302 | Positive_Correlation | CXCR6 | CD8A
38335302 | Association | Pancreatic Neoplasms | ITGAE
38335302 | Positive_Correlation | CCR5 | CD8A
38335302 | Association | Pancreatic Neoplasms | ENTPD1
38335302 | Association | Neoplasms | ENTPD1
38335302 | Association | Pancreatic Neoplasms | CD8A
38335302 | Association | CD8A | ENTPD1
38335302 | Positive_Correlation | HAVCR2 | CD8A
38607373 | Association | Lung Diseases Interstitial | CCR5
38607373 | Association | Lung Diseases Interstitial | FCRL5
38607373 | Association | Lung Diseases Interstitial | TIGIT
38607373 | Association | Lung Diseases Interstitial | HAVCR2
38607373 | Association | Lung Diseases Interstitial | CD14
38607373 | Association | Pneumonia Pneumocystis | FCGR3A
38607373 | Association | Lung Diseases Interstitial | CCR2
38607373 | Positive_Correlation | Lung Diseases Interstitial | B3GAT1
38607373 | Association | Lung Diseases Interstitial | LAG3
38607373 | Positive_Correlation | Lung Diseases Interstitial | CD8A
8843288 | Comparison | LB 10522 | Ceftazidime
8843288 | Negative_Correlation | LB 10522 | Infections
8843288 | Negative_Correlation | Ceftazidime | Infections
32006464 | Association | MYC | NUAK1
32006464 | Association | PPA1 | NUAK1
32006464 | Association | PPP1R10 | NUAK1
32006464 | Association | PPA1 | PPP1R10
38165703 | Association | Geographic Atrophy | CCR6
38165703 | Association | Geographic Atrophy | CXCR4
38165703 | Association | Geographic Atrophy | CD4
38165703 | Association | Geographic Atrophy | CCR5
38165703 | Association | Geographic Atrophy | CD8A
33204151 | Association | IFNG | CD27
33204151 | Association | CD8A | CD27
33204151 | Association | PDCD1LG2 | CD70
33204151 | Association | GZMB | CD27
33204151 | Bind | CD27 | CD70
33204151 | Association | CCR5 | CD27
33204151 | Association | CXCL9 | CD27
33204151 | Negative_Correlation | Esophageal Squamous Cell Carcinoma | CD70
33204151 | Negative_Correlation | Esophageal Squamous Cell Carcinoma | CD27
33204151 | Association | CXCR6 | CD27
33204151 | Association | CXCL10 | CD27
33204151 | Association | HHLA2 | CD70
33204151 | Association | CXCL10 | CD8A
33204151 | Association | CXCL11 | CD27
33204151 | Association | CXCR3 | CD27
33204151 | Association | CD274 | CD70
36330810 | Association | Hypoxia | ITGAM
36330810 | Association | Hypoxia | CD86
36330810 | Association | Prednisone | PTPRC
36330810 | Association | Hypoxia | CCR5
36330810 | Association | Hypoxia | PTPRC
36330810 | Association | Hypoxia | CD8A
25548254 | Association | SELL | CD8A
25548254 | Association | CBFB | CD8A
25548254 | Association | CD8A | CD44
25548254 | Association | Infections | CD8A
25548254 | Association | BCL11B | CD8A
28939855 | Association | Diabetes Mellitus | HSPD1
27846843 | Association | Infections | CD8A
27846843 | Association | Infections | CD4
27846843 | Association | Infections | CD3D
27846843 | Positive_Correlation | Infections | IL2
3114136 | Bind | Cd8a | CD8A
3114136 | Bind | Cd8b1 | CD8A
36853094 | Negative_Correlation | Aire | Gpt
36853094 | Positive_Correlation | Hepatitis Autoimmune | Gpt
36853094 | Association | Liver Cirrhosis Biliary | Aire
36853094 | Association | Cholangitis | Aire
36853094 | Association | Hepatitis Autoimmune | Aire
36853094 | Association | Inflammation | Cd8a
36853094 | Association | Chemical and Drug Induced Liver Injury | Aire
37395402 | Bind | 6-methyladenine | Prrc2b
37395402 | Association | 6-methyladenine | Hypoxia
37395402 | Association | Cognition Disorders | Prrc2b
37395402 | Association | Hypoxia | Prrc2b
37395402 | Association | N-methyladenosine | Hypoxia
10899907 | Association | Inflammation | Ccr2
10899907 | Bind | Ccr5 | Ccl3
25911114 | Negative_Correlation | Infections | IFNA3
36778211 | Association | Colorectal Neoplasms | Pdcd1
36778211 | Negative_Correlation | urolithin B | Colorectal Neoplasms
36778211 | Negative_Correlation | urolithin B | Carcinogenesis
36778211 | Association | Carcinogenesis | Cd274
38580644 | Association | Cholangitis | Nr1i3
38580644 | Association | Nr1i3 | Pdcd1
37199039 | Association | AP 1903 reagent | p.A11R
38357542 | Negative_Correlation | Pancreatic Neoplasms | CD8A
38357542 | Association | Pancreatic Neoplasms | VSIR
38357542 | Positive_Correlation | Pancreatic Neoplasms | CD68
38357542 | Association | Carcinoma Pancreatic Ductal | VSIR
38357542 | Association | Carcinoma Pancreatic Ductal | CD8A
38357542 | Association | Carcinoma Pancreatic Ductal | CD68
35965624 | Association | Lymphoma Follicular | SPARC
35965624 | Association | Lymphoma Follicular | MMP9
35965624 | Association | Lymphoma Follicular | FN1
35965624 | Association | Lymphoma Follicular | ELAVL2
35965624 | Association | Lymphoma Follicular | IL18
35965624 | Association | Lymphoma Follicular | POSTN
35965624 | Association | Lymphoma Follicular | VCAM1
35965624 | Association | ELAVL2 | IL18
24078448 | Negative_Correlation | Adenocarcinoma | MIR34A
24078448 | Association | Gallbladder Neoplasms | PROM1
24078448 | Negative_Correlation | Neoplasms | MIR34A
24078448 | Association | Gallbladder Neoplasms | MIR34A
24078448 | Negative_Correlation | MIR34A | PPP1R10
15501817 | Association | Ppp1cc | SDS22
15501817 | Association | Ppp1r8 | Ppp1cc
38447418 | Negative_Correlation | artenimol | Arthritis Rheumatoid
38447418 | Negative_Correlation | artenimol | Liver Cirrhosis Biliary
38447418 | Positive_Correlation | artenimol | Cd8a
38447418 | Negative_Correlation | artenimol | Bone Diseases
38447418 | Negative_Correlation | artenimol | Tooth Erosion
38447418 | Positive_Correlation | artenimol | Col2a1
38447418 | Association | artenimol | Autoimmune Diseases
19284475 | Association | Inflammation | BDNF
19284475 | Association | Death | BDNF
20372802 | Negative_Correlation | Roscovitine | Breast Neoplasms
20372802 | Association | Neoplasms | PPP1R10
20372802 | Association | E2F1 | PPA1
20372802 | Association | Roscovitine | PPP1R10
20372802 | Association | E2F1 | PPP1R10
20372802 | Positive_Correlation | PPA1 | RB1
20372802 | Association | PPA1 | PPP1R10
20372802 | Association | Neoplasms | PPA1
25416949 | Negative_Correlation | Ep300 | Snip1
25416949 | Bind | Ppp1r10 | Snip1
25416949 | Negative_Correlation | locked nucleic acid | Breast Neoplasms
35936748 | Association | Carcinoma Renal Cell | CD8A
35936748 | Association | Carcinoma Renal Cell | CD209
35936748 | Association | Carcinoma Hepatocellular | CD209
35936748 | Association | Carcinoma Hepatocellular | HLA-DQA1
35936748 | Association | Colorectal Neoplasms | IL34
35936748 | Association | Carcinoma Renal Cell | HLA-A
35936748 | Association | Colorectal Neoplasms | HLA-A
35936748 | Association | Carcinoma Renal Cell | IL34
35936748 | Association | Carcinoma Renal Cell | HLA-DPB1
35936748 | Association | Carcinoma Renal Cell | HLA-DRA
35936748 | Association | Carcinoma Renal Cell | CD4
35936748 | Association | Carcinoma Hepatocellular | IL34
35936748 | Association | Carcinoma Hepatocellular | HLA-A
35936748 | Association | Colorectal Neoplasms | HLA-DRA
35936748 | Association | Carcinoma Hepatocellular | HLA-DPB1
35936748 | Association | Carcinoma Renal Cell | CCR5
35936748 | Association | Carcinoma Renal Cell | PROCR
35936748 | Association | Carcinoma Renal Cell | HLA-DQA1
35936748 | Association | Carcinoma Renal Cell | HCK
30541148 | Association | ATR | CDC73
30541148 | Association | PPP1R10 | CDC73
30541148 | Association | RNASEH1 | PPP1R10
37858067 | Association | Carcinoma Hepatocellular | Pdcd1
37858067 | Association | Cd8a | Sh2d1a
37858067 | Positive_Correlation | Bcl2a1a | Sh2d1a
37858067 | Association | Carcinoma Hepatocellular | Cd8a
37858067 | Association | Neoplasms | Sh2d1a
37858067 | Positive_Correlation | Nfkb1 | Sh2d1a
