35437997 | Association | Eosinophilic Esophagitis | OCLN
35437997 | Association | Eosinophilic Esophagitis | TP53
35437997 | Association | Eosinophilic Esophagitis | TFF3
35437997 | Association | Eosinophilic Esophagitis | EGFR
35437997 | Association | Barrett Esophagus | HLA-C
35437997 | Association | Barrett Esophagus | OCLN
35437997 | Positive_Correlation | IL9 | MUC5AC
35437997 | Association | Barrett Esophagus | TP53
35437997 | Positive_Correlation | Eosinophilic Esophagitis | CDX1
35437997 | Positive_Correlation | Eosinophilic Esophagitis | ERBB3
35437997 | Positive_Correlation | IL9 | KRT18
35437997 | Positive_Correlation | IL9 | TFF1
35437997 | Association | Eosinophilic Esophagitis | MICA
35437997 | Association | Barrett Esophagus | TFF3
35437997 | Association | Barrett Esophagus | MICB
35437997 | Association | Barrett Esophagus | CDX1
35437997 | Association | Barrett Esophagus | ERBB3
35437997 | Association | Barrett Esophagus | MICA
35437997 | Association | Barrett Esophagus | IL9
35437997 | Association | GATA4 | IL9
35437997 | Association | Eosinophilic Esophagitis | CDKN2A
35437997 | Positive_Correlation | IL9 | SOX9
35437997 | Association | Eosinophilic Esophagitis | IL9
35437997 | Association | Barrett Esophagus | ERBIN
35437997 | Association | Eosinophilic Esophagitis | MUC4
35437997 | Association | Eosinophilic Esophagitis | MUC2
35437997 | Positive_Correlation | Eosinophilic Esophagitis | ERBIN
35437997 | Positive_Correlation | IL9 | KRT8
35437997 | Association | Eosinophilic Esophagitis | MICB
35437997 | Association | Barrett Esophagus | CDKN2A
35437997 | Association | Barrett Esophagus | EGFR
24798243 | Positive_Correlation | NPR1 | SOX2
24798243 | Association | NPR1 | PDCD5
24798243 | Positive_Correlation | NPR1 | POU5F1
24798243 | Association | NONO | NPR1
24798243 | Association | SUZ12 | NPR1
24798243 | Association | HNRNPA2B1 | NPR1
24798243 | Association | NPR1 | MACROH2A1
24798243 | Association | KPNA3 | NPR1
24798243 | Association | NPR1 | SMARCA4
24798243 | Association | CDK4 | NPR1
24798243 | Association | APEX1 | NPR1
24798243 | Association | NPM1 | NPR1
24798243 | Association | H2AC8 | NPR1
24798243 | Association | IPO5 | NPR1
24798243 | Association | HSPA5 | NPR1
24798243 | Positive_Correlation | NPR1 | NANOG
35741036 | Association | Arx | Ipo13
35741036 | Association | Glutamic Acid | Ipo13
35741036 | Association | Pax3 | Ipo13
35741036 | Positive_Correlation | Pax6 | Ipo13
37591356 | Association | Neoplasms | PLEK2
37591356 | Association | Stomach Neoplasms | MMP14
37591356 | Association | AKT1 | PLEK2
37591356 | Association | Stomach Neoplasms | PLEK2
37591356 | Positive_Correlation | MMP14 | 1300017J02Rik
37591356 | Association | Neoplasms | MICA
37591356 | Positive_Correlation | PLEK2 | MMP14
37591356 | Association | MICA | MMP14
37591356 | Positive_Correlation | MICA | PLEK2
37591356 | Association | Stomach Neoplasms | MICA
37591356 | Association | Neoplasms | MMP14
37591356 | Association | Neoplasm Metastasis | Plek2
37591356 | Association | Stomach Neoplasms | Plek2
37591356 | Negative_Correlation | PLEK2 | 1300017J02Rik
