38449806 | @GENE_CCR5 | Ccr5 | 0 | 4 | Gene | gene | CCR5
38449806 | @GENE_CXCR3 | Cxcr3 | 5 | 5 | Gene | gene | CXCR3
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 22 | 7 | Chemical | chemical | TAK-779
38449806 | @DISEASE_Lung_Injury | Lung Injury | 47 | 27 | Disease | disease | alveolar damage of the lung
38449806 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 102 | 35 | Disease | disease | acute respiratory distress syndrome
38449806 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 157 | 35 | Disease | disease | acute respiratory distress syndrome
38449806 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 194 | 4 | Disease | disease | ARDS
38449806 | @DISEASE_Pneumonia | Pneumonia | 220 | 11 | Disease | disease | pneumonitis
38449806 | @DISEASE_COVID_19 | COVID-19 | 294 | 8 | Disease | disease | COVID-19
38449806 | @DISEASE_COVID_19 | COVID-19 | 304 | 30 | Disease | disease | novel coronavirus disease 2019
38449806 | @DISEASE_COVID_19 | COVID-19 | 344 | 20 | Disease | disease | SARS-CoV-2 infection
38449806 | @DISEASE_Brain_Injuries_Diffuse | Brain Injuries Diffuse | 510 | 23 | Disease | disease | diffuse alveolar damage
38449806 | @DISEASE_Brain_Injuries_Diffuse | Brain Injuries Diffuse | 535 | 3 | Disease | disease | DAD
38449806 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 607 | 4 | Disease | disease | ARDS
38449806 | @GENE_CCR5 | Ccr5 | 657 | 24 | Gene | gene | C-C chemokine receptor 5
38449806 | @GENE_CCR5 | Ccr5 | 683 | 4 | Gene | gene | CCR5
38449806 | @GENE_CCL3 | Ccl3 | 738 | 10 | Gene | gene | MIP-1alpha
38449806 | @GENE_CCL3 | Ccl3 | 749 | 4 | Gene | gene | CCL3
38449806 | @GENE_CCL4 | Ccl4 | 758 | 9 | Gene | gene | MIP-1beta
38449806 | @GENE_CCL4 | Ccl4 | 768 | 4 | Gene | gene | CCL4
38449806 | @DISEASE_Brain_Injuries_Diffuse | Brain Injuries Diffuse | 798 | 3 | Disease | disease | DAD
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 926 | 7 | Chemical | chemical | TAK-779
38449806 | @GENE_CCR5 | Ccr5 | 952 | 4 | Gene | gene | CCR5
38449806 | @GENE_CXCR3 | Cxcr3 | 957 | 5 | Gene | gene | CXCR3
38449806 | @DISEASE_Brain_Injuries_Diffuse | Brain Injuries Diffuse | 981 | 3 | Disease | disease | DAD
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 1215 | 7 | Chemical | chemical | TAK-779
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 1258 | 7 | Chemical | chemical | TAK-779
38449806 | @DISEASE_Brain_Injuries_Diffuse | Brain Injuries Diffuse | 1345 | 3 | Disease | disease | DAD
38449806 | @GENE_CCR5 | Ccr5 | 1360 | 4 | Gene | gene | CCR5
38449806 | @GENE_CCL2 | Ccl2 | 1390 | 5 | Gene | gene | MCP-1
38449806 | @GENE_CCL5 | Ccl5 | 1401 | 4 | Gene | gene | CCL5
