36232721 | @DISEASE_Liver_Failure | Liver Failure | 9 | 21 | Disease | disease | and Liver Homeostasis
36232721 | @GENE_CDH5 | Cdh5 | 637 | 4 | Gene | gene | Cdh5
36232721 | @DISEASE_Edema | Edema | 707 | 5 | Disease | disease | edema
36232721 | @DISEASE_Hypoalbuminemia | Hypoalbuminemia | 714 | 15 | Disease | disease | hypoalbuminemia
36232721 | @DISEASE_Hypoglycemia | Hypoglycemia | 731 | 12 | Disease | disease | hypoglycemia
36232721 | @DISEASE_Death | Death | 748 | 15 | Disease | disease | premature death
36232721 | @GENE_ALB | Alb | 1093 | 7 | Gene | gene | albumin
36232721 | @DISEASE_Hypoalbuminemia | Hypoalbuminemia | 1139 | 15 | Disease | disease | hypoalbuminemia
36232721 | @GENE_PROX1 | Prox1 | 1282 | 5 | Gene | gene | Prox1
36232721 | @GENE_FLT4 | Flt4 | 1392 | 6 | Gene | gene | Vegfr3
36232721 | @DISEASE_Edema | Edema | 1434 | 5 | Disease | disease | edema
36232721 | @DISEASE_Hypoglycemia | Hypoglycemia | 1443 | 12 | Disease | disease | hypoglycemia
36232721 | @GENE_ESM1 | Esm1 | 1501 | 4 | Gene | gene | ESM1
36680072 | @DISEASE_Mpox_(monkeypox) | Mpox (monkeypox) | 341 | 9 | Disease | disease | monkeypox
36680072 | @CHEMICAL_Amides | Amides | 390 | 6 | Chemical | chemical | amides
36680072 | @CHEMICAL_Benzoates | Benzoates | 400 | 13 | Chemical | chemical | benzoic acids
36680072 | @CHEMICAL_Adamantane | Adamantane | 428 | 10 | Chemical | chemical | adamantane
36680072 | @GENE_NUP37 | NUP37 | 834 | 3 | Gene | gene | p37
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 0 | 11 | Chemical | chemical | Sevoflurane
37537117 | @DISEASE_Cognition_Disorders | Cognition Disorders | 32 | 20 | Disease | disease | cognitive impairment
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 144 | 11 | Chemical | chemical | sevoflurane
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 369 | 11 | Chemical | chemical | sevoflurane
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 484 | 11 | Chemical | chemical | sevoflurane
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 559 | 11 | Chemical | chemical | sevoflurane
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 827 | 11 | Chemical | chemical | sevoflurane
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 1060 | 11 | Chemical | chemical | sevoflurane
37537117 | @GENE_GSK3B | Gsk3b | 1080 | 8 | Gene | gene | GSK3beta
37537117 | @VARIANT_p.S262S_GSK3B_human | p.S262S | 1166 | 21 | Variant | variant | serine 262) at serine
37537117 | @DISEASE_Cognition_Disorders | Cognition Disorders | 1224 | 20 | Disease | disease | cognitive impairment
37537117 | @GENE_GSK3B | Gsk3b | 1459 | 8 | Gene | gene | GSK3beta
37537117 | @CHEMICAL_Sevoflurane | Sevoflurane | 1560 | 11 | Chemical | chemical | sevoflurane
37537117 | @DISEASE_Cognition_Disorders | Cognition Disorders | 1626 | 20 | Disease | disease | cognitive impairment
37930331 | @CHEMICAL_andrographolide | andrographolide | 0 | 15 | Chemical | chemical | Andrographolide
37930331 | @GENE_NLRP3 | Nlrp3 | 66 | 5 | Gene | gene | NLRP3
37930331 | @DISEASE_Atherosclerosis | Atherosclerosis | 148 | 15 | Disease | disease | Atherosclerosis
37930331 | @CHEMICAL_andrographolide | andrographolide | 173 | 15 | Chemical | chemical | Andrographolide
37930331 | @CHEMICAL_andrographolide | andrographolide | 190 | 3 | Chemical | chemical | AND
37930331 | @DISEASE_Inflammation | Inflammation | 278 | 12 | Disease | disease | inflammatory
37930331 | @DISEASE_Atherosclerosis | Atherosclerosis | 298 | 15 | Disease | disease | Atherosclerosis
37930331 | @DISEASE_Inflammation | Inflammation | 327 | 20 | Disease | disease | inflammatory disease
37930331 | @DISEASE_Atherosclerosis | Atherosclerosis | 429 | 15 | Disease | disease | atherosclerosis
37930331 | @DISEASE_Inflammation | Inflammation | 456 | 12 | Disease | disease | inflammation
37930331 | @CHEMICAL_andrographolide | andrographolide | 519 | 3 | Chemical | chemical | AND
37930331 | @DISEASE_Atherosclerosis | Atherosclerosis | 585 | 15 | Disease | disease | atherosclerosis
37930331 | @CHEMICAL_Cholesterol | Cholesterol | 631 | 11 | Chemical | chemical | cholesterol
37930331 | @CHEMICAL_Cholic_Acid | Cholic Acid | 649 | 11 | Chemical | chemical | cholic acid
37930331 | @CHEMICAL_andrographolide | andrographolide | 715 | 3 | Chemical | chemical | AND
37930331 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 730 | 3 | Chemical | chemical | LPS
37930331 | @GENE_IL1 | Il1 | 770 | 12 | Gene | gene | IL-1[Formula
37930331 | @GENE_UBXN2B | Ubxn2b | 812 | 3 | Gene | gene | p37
37930331 | @GENE_NLRP3 | Nlrp3 | 829 | 36 | Gene | gene | NLR family pyrin domain containing 3
37930331 | @GENE_NLRP3 | Nlrp3 | 867 | 5 | Gene | gene | NLRP3
37930331 | @GENE_CASP1 | Casp1 | 903 | 9 | Gene | gene | caspase-1
37930331 | @GENE_DCPP1 | Dcpp1 | 914 | 3 | Gene | gene | p20
37930331 | @GENE_IL1 | Il1 | 943 | 12 | Gene | gene | IL-1[Formula
37930331 | @GENE_OLR1 | Olr1 | 1065 | 28 | Gene | gene | lectin-like oxLDL receptor-1
37930331 | @GENE_OLR1 | Olr1 | 1095 | 5 | Gene | gene | LOX-1
37930331 | @GENE_MSR1 | Msr1 | 1107 | 25 | Gene | gene | scavenger receptor type A
37930331 | @GENE_MSR1 | Msr1 | 1134 | 4 | Gene | gene | SR-A
37930331 | @CHEMICAL_andrographolide | andrographolide | 1167 | 3 | Chemical | chemical | AND
37930331 | @GENE_MSR1 | Msr1 | 1226 | 4 | Gene | gene | SR-A
37930331 | @CHEMICAL_andrographolide | andrographolide | 1344 | 3 | Chemical | chemical | AND
37930331 | @CHEMICAL_Lipids | Lipids | 1455 | 5 | Chemical | chemical | lipid
37930331 | @GENE_ICAM1 | Icam1 | 1475 | 6 | Gene | gene | ICAM-1
37930331 | @GENE_IL1 | Il1 | 1498 | 12 | Gene | gene | IL-1[Formula
37930331 | @GENE_GPT | Gpt | 1566 | 29 | Gene | gene | glutamic pyruvic transaminase
37930331 | @GENE_GPT | Gpt | 1597 | 3 | Gene | gene | GPT
37930331 | @CHEMICAL_Cholesterol | Cholesterol | 1609 | 11 | Chemical | chemical | cholesterol
37930331 | @CHEMICAL_andrographolide | andrographolide | 1633 | 3 | Chemical | chemical | AND
37930331 | @CHEMICAL_Lipids | Lipids | 1672 | 5 | Chemical | chemical | lipid
37930331 | @GENE_ICAM1 | Icam1 | 1718 | 6 | Gene | gene | ICAM-1
37930331 | @GENE_IL1 | Il1 | 1745 | 12 | Gene | gene | IL-1[Formula
37930331 | @GENE_ICAM1 | Icam1 | 1773 | 6 | Gene | gene | ICAM-1
37930331 | @GENE_GPT | Gpt | 1801 | 3 | Gene | gene | GPT
37930331 | @CHEMICAL_andrographolide | andrographolide | 1865 | 3 | Chemical | chemical | AND
37930331 | @DISEASE_Atherosclerosis | Atherosclerosis | 1879 | 15 | Disease | disease | atherosclerosis
37930331 | @GENE_NLRP3 | Nlrp3 | 1945 | 5 | Gene | gene | NLRP3
37930331 | @DISEASE_Inflammation | Inflammation | 1974 | 21 | Disease | disease | vascular inflammation
37930331 | @GENE_MSR1 | Msr1 | 2022 | 4 | Gene | gene | SR-A
37930331 | @GENE_IL1 | Il1 | 2042 | 12 | Gene | gene | IL-1[Formula
38458287 | @GENE_NUP37 | NUP37 | 66 | 3 | Gene | gene | p37
38458287 | @GENE_NUP37 | NUP37 | 337 | 3 | Gene | gene | p37
38458287 | @GENE_SUMO1 | SUMO1 | 406 | 6 | Gene | gene | SUMO-1
38458287 | @GENE_NUP37 | NUP37 | 450 | 3 | Gene | gene | p37
38458287 | @DISEASE_Infections | Infections | 494 | 9 | Disease | disease | infection
38458287 | @GENE_NUP37 | NUP37 | 577 | 3 | Gene | gene | p37
38458287 | @GENE_XPO1 | XPO1 | 611 | 4 | Gene | gene | CRM1
38458287 | @GENE_NUP37 | NUP37 | 680 | 3 | Gene | gene | p37
38458287 | @GENE_NUP37 | NUP37 | 799 | 3 | Gene | gene | p37
38458287 | @DISEASE_Infections | Infections | 947 | 9 | Disease | disease | infection
38458287 | @GENE_NUP37 | NUP37 | 1056 | 3 | Gene | gene | p37
38458287 | @GENE_NUP37 | NUP37 | 1152 | 3 | Gene | gene | p37
38582276 | @DISEASE_Stroke | Stroke | 64 | 6 | Disease | disease | stroke
38582276 | @DISEASE_Stroke | Stroke | 139 | 6 | Disease | disease | stroke
38582276 | @DISEASE_Acute_Febrile_Encephalopathy | Acute Febrile Encephalopathy | 150 | 25 | Disease | disease | acute neurologic syndrome
38582276 | @DISEASE_Brain_Ischemia | Brain Ischemia | 204 | 8 | Disease | disease | ischemic
