35028605 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 115 | 16 | Disease | disease | hypersensitivity
35028605 | @DISEASE_Q_Fever | Q Fever | 133 | 7 | Disease | disease | Q fever
35028605 | @CHEMICAL_Formaldehyde | Formaldehyde | 264 | 8 | Chemical | chemical | formalin
35028605 | @GENE_CD4 | Cd4 | 667 | 3 | Gene | gene | CD4
35028605 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 835 | 16 | Disease | disease | hypersensitivity
35028605 | @DISEASE_Q_Fever | Q Fever | 1051 | 7 | Disease | disease | Q fever
38016500 | @DISEASE_COVID_19 | COVID-19 | 40 | 8 | Disease | disease | COVID-19
38016500 | @DISEASE_Virus_Diseases | Virus Diseases | 147 | 16 | Disease | disease | viral infections
38016500 | @DISEASE_COVID_19 | COVID-19 | 174 | 10 | Disease | disease | SARS-CoV-2
38016500 | @GENE_CD4 | CD4 | 687 | 3 | Gene | gene | CD4
38016500 | @GENE_CD8A | CD8A | 696 | 3 | Gene | gene | CD8
38016500 | @GENE_CD4 | CD4 | 1023 | 3 | Gene | gene | CD4
38016500 | @DISEASE_COVID_19 | COVID-19 | 1105 | 8 | Disease | disease | COVID-19
38016500 | @DISEASE_COVID_19 | COVID-19 | 1181 | 20 | Disease | disease | SARS-CoV-2 infection
38016500 | @DISEASE_Leukemia_B_Cell | Leukemia B-Cell | 1458 | 14 | Disease | disease | B cell defects
38346596 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 67 | 13 | Disease | disease | breast cancer
38346596 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 149 | 10 | Disease | disease | metastasis
38346596 | @DISEASE_Neoplasms | Neoplasms | 171 | 6 | Disease | disease | tumors
38346596 | @DISEASE_Inflammation | Inflammation | 204 | 12 | Disease | disease | inflammatory
38346596 | @DISEASE_Neoplasms | Neoplasms | 290 | 6 | Disease | disease | tumors
38346596 | @DISEASE_Prodromal_Symptoms | Prodromal Symptoms | 504 | 11 | Disease | disease | stage I-III
38346596 | @DISEASE_Carcinoma_Ductal_Breast | Carcinoma Ductal Breast | 516 | 40 | Disease | disease | invasive ductal/lobular breast carcinoma
38346596 | @DISEASE_Neoplasms | Neoplasms | 1009 | 6 | Disease | disease | tumors
38346596 | @DISEASE_Neoplasms | Neoplasms | 1122 | 6 | Disease | disease | cancer
38346596 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1433 | 10 | Disease | disease | depression
38346596 | @DISEASE_Neoplasms | Neoplasms | 1534 | 6 | Disease | disease | tumors
38346596 | @GENE_CREB1 | CREB1 | 1696 | 4 | Gene | gene | CREB
38346596 | @DISEASE_Inflammation | Inflammation | 1723 | 12 | Disease | disease | inflammatory
38346596 | @GENE_ETS1 | ETS1 | 1794 | 4 | Gene | gene | ETS1
38346596 | @GENE_QRSL1 | QRSL1 | 1809 | 4 | Gene | gene | GATA
38346596 | @GENE_CD4 | CD4 | 1916 | 3 | Gene | gene | CD4
38346596 | @DISEASE_Neoplasms | Neoplasms | 2167 | 5 | Disease | disease | tumor
38351516 | @DISEASE_HIV_Infections | HIV Infections | 151 | 3 | Disease | disease | HIV
38351516 | @GENE_CD4 | CD4 | 1349 | 3 | Gene | gene | CD4
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 0 | 11 | Chemical | chemical | Ruxolitinib
38401793 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 85 | 25 | Disease | disease | Graft-versus-Host Disease
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 159 | 11 | Chemical | chemical | ruxolitinib
38401793 | @CHEMICAL_Steroids | Steroids | 188 | 7 | Chemical | chemical | steroid
38401793 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 207 | 31 | Disease | disease | acute graft-versus-host disease
38401793 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 240 | 5 | Disease | disease | aGVHD
38401793 | @DISEASE_Chronic_Disease | Chronic Disease | 267 | 12 | Disease | disease | chronic GVHD
38401793 | @DISEASE_Chronic_Disease | Chronic Disease | 281 | 5 | Disease | disease | cGVHD
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 394 | 11 | Chemical | chemical | ruxolitinib
38401793 | @DISEASE_Chronic_Disease | Chronic Disease | 450 | 5 | Disease | disease | cGVHD
38401793 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 532 | 5 | Disease | disease | aGVHD
38401793 | @DISEASE_Chronic_Disease | Chronic Disease | 541 | 5 | Disease | disease | cGVHD
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 589 | 11 | Chemical | chemical | ruxolitinib
38401793 | @GENE_CD4 | CD4 | 764 | 3 | Gene | gene | CD4
38401793 | @GENE_CD8A | CD8A | 773 | 3 | Gene | gene | CD8
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 811 | 11 | Chemical | chemical | ruxolitinib
38401793 | @DISEASE_Chronic_Disease | Chronic Disease | 963 | 5 | Disease | disease | cGVHD
38401793 | @CHEMICAL_Steroids | Steroids | 1009 | 7 | Chemical | chemical | steroid
38401793 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 1028 | 5 | Disease | disease | aGVHD
38401793 | @CHEMICAL_Steroids | Steroids | 1082 | 7 | Chemical | chemical | steroid
38401793 | @DISEASE_Chronic_Disease | Chronic Disease | 1101 | 5 | Disease | disease | cGVHD
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 1278 | 11 | Chemical | chemical | ruxolitinib
38401793 | @CHEMICAL_Azoles | Azoles | 1459 | 6 | Chemical | chemical | azoles
38401793 | @CHEMICAL_Azithromycin | Azithromycin | 1470 | 12 | Chemical | chemical | azithromycin
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 1564 | 11 | Chemical | chemical | ruxolitinib
38401793 | @CHEMICAL_ruxolitinib | ruxolitinib | 1637 | 11 | Chemical | chemical | ruxolitinib
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 55 | 32 | Disease | disease | polyarticular juvenile arthritis
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 180 | 43 | Disease | disease | polyarticular juvenile idiopathic arthritis
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 225 | 7 | Disease | disease | polyJIA
38431635 | @DISEASE_Inflammation | Inflammation | 349 | 12 | Disease | disease | inflammatory
38431635 | @GENE_STAT3 | STAT3 | 405 | 5 | Gene | gene | STAT3
38431635 | @DISEASE_Inflammation | Inflammation | 472 | 12 | Disease | disease | inflammatory
