38516860 | @GENE_HLA_C | HLA-C | 29 | 5 | Gene | gene | HLA-C
38516860 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 59 | 22 | Disease | disease | gastric adenocarcinoma
38516860 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 225 | 15 | Disease | disease | gastric cancers
38516860 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 290 | 15 | Disease | disease | gastric cancers
38516860 | @DISEASE_Neoplasms | Neoplasms | 370 | 6 | Disease | disease | cancer
38516860 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 703 | 22 | Disease | disease | gastric adenocarcinoma
38516860 | @GENE_HLA_E | HLA-E | 890 | 5 | Gene | gene | HLA-E
38516860 | @GENE_HLA_C | HLA-C | 900 | 5 | Gene | gene | HLA-C
38516860 | @GENE_KLRC1 | KLRC1 | 956 | 5 | Gene | gene | NKG2A
38516860 | @GENE_KIR2DS2 | KIR2DS2 | 966 | 28 | Gene | gene | killer-cell Ig-like receptor
38516860 | @GENE_KIR2DS2 | KIR2DS2 | 996 | 3 | Gene | gene | KIR
38516860 | @GENE_CD226 | CD226 | 1098 | 6 | Gene | gene | DNAM-1
38516860 | @GENE_CD2 | CD2 | 1109 | 3 | Gene | gene | CD2
38516860 | @GENE_ITGAL | ITGAL | 1144 | 5 | Gene | gene | LFA-1
38516860 | @GENE_KIR2DS2 | KIR2DS2 | 1250 | 3 | Gene | gene | KIR
38516860 | @GENE_HLA_C | HLA-C | 1299 | 5 | Gene | gene | HLA-C
38516860 | @GENE_HLA_C | HLA-C | 1367 | 5 | Gene | gene | HLA-C
38516860 | @GENE_HLA_C | HLA-C | 1430 | 5 | Gene | gene | HLA-C
38516860 | @GENE_HLA_C | HLA-C | 1485 | 5 | Gene | gene | HLA-C
38516860 | @DISEASE_Carcinoma_Hepatocellular | Carcinoma Hepatocellular | 1522 | 8 | Disease | disease | hepatoma
38516860 | @GENE_HLA_C | HLA-C | 1584 | 5 | Gene | gene | HLA-C
38516860 | @GENE_KIR2DS2 | KIR2DS2 | 1657 | 3 | Gene | gene | KIR
38516860 | @GENE_HLA_C | HLA-C | 1767 | 5 | Gene | gene | HLA-C
