31679624 | @GENE_CLCN3 | Clcn3 | 0 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CXCR4 | Cxcr4 | 109 | 5 | Gene | gene | CXCR4
31679624 | @GENE_JAK2 | Jak2 | 115 | 5 | Gene | gene | JAK-2
31679624 | @DISEASE_Myocardial_Ischemia | Myocardial Ischemia | 250 | 17 | Disease | disease | ischemic diseases
31679624 | @DISEASE_Ischemia | Ischemia | 419 | 17 | Disease | disease | hindlimb ischemia
31679624 | @GENE_CLCN3 | Clcn3 | 460 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CLCN3 | Clcn3 | 506 | 5 | Gene | gene | ClC-3
31679624 | @DISEASE_Muscle_Neoplasms | Muscle Neoplasms | 576 | 16 | Disease | disease | ischemic muscles
31679624 | @DISEASE_Ischemia | Ischemia | 623 | 8 | Disease | disease | ischemia
31679624 | @GENE_CLCN3 | Clcn3 | 722 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CLCN3 | Clcn3 | 847 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CXCR4 | Cxcr4 | 932 | 24 | Gene | gene | CXC chemokine receptor 4
31679624 | @GENE_CXCR4 | Cxcr4 | 958 | 5 | Gene | gene | CXCR4
31679624 | @GENE_CLCN3 | Clcn3 | 1014 | 5 | Gene | gene | ClC-3
31679624 | @GENE_JAK2 | Jak2 | 1107 | 14 | Gene | gene | Janus kinase 2
31679624 | @GENE_JAK2 | Jak2 | 1123 | 5 | Gene | gene | JAK-2
31679624 | @GENE_CXCR4 | Cxcr4 | 1158 | 5 | Gene | gene | CXCR4
31679624 | @GENE_CLCN3 | Clcn3 | 1185 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CXCR4 | Cxcr4 | 1221 | 5 | Gene | gene | CXCR4
31679624 | @GENE_JAK2 | Jak2 | 1227 | 5 | Gene | gene | JAK-2
31679624 | @GENE_CLCN3 | Clcn3 | 1263 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CXCR4 | Cxcr4 | 1380 | 5 | Gene | gene | CXCR4
31679624 | @CHEMICAL_plerixafor | plerixafor | 1397 | 7 | Chemical | chemical | AMD3100
31679624 | @GENE_JAK2 | Jak2 | 1408 | 5 | Gene | gene | JAK-2
31679624 | @CHEMICAL_AG_490 | AG 490 | 1424 | 5 | Chemical | chemical | AG490
31679624 | @GENE_CLCN3 | Clcn3 | 1484 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CXCR4 | Cxcr4 | 1537 | 5 | Gene | gene | CXCR4
31679624 | @GENE_CLCN3 | Clcn3 | 1557 | 5 | Gene | gene | ClC-3
31679624 | @DISEASE_Brain_Ischemia | Brain Ischemia | 1659 | 8 | Disease | disease | ischemic
31679624 | @GENE_CXCR4 | Cxcr4 | 1692 | 5 | Gene | gene | CXCR4
31679624 | @GENE_JAK2 | Jak2 | 1698 | 5 | Gene | gene | JAK-2
31679624 | @GENE_CLCN3 | Clcn3 | 1762 | 5 | Gene | gene | ClC-3
31679624 | @GENE_CLCN3 | Clcn3 | 1790 | 5 | Gene | gene | ClC-3
31679624 | @DISEASE_Myocardial_Ischemia | Myocardial Ischemia | 1871 | 17 | Disease | disease | ischemic diseases
31696204 | @GENE_CXCR3 | CXCR3 | 0 | 5 | Gene | gene | CXCR3
31696204 | @DISEASE_Osteosarcoma | Osteosarcoma | 103 | 12 | Disease | disease | osteosarcoma
31696204 | @DISEASE_Neoplasms | Neoplasms | 183 | 5 | Disease | disease | tumor
31696204 | @DISEASE_Neoplasms | Neoplasms | 257 | 7 | Disease | disease | cancers
31696204 | @GENE_CXCR2 | CXCR2 | 321 | 7 | Gene | gene | CXCR2-5
31696204 | @DISEASE_Osteosarcoma | Osteosarcoma | 347 | 12 | Disease | disease | osteosarcoma
31696204 | @GENE_CXCR2 | CXCR2 | 402 | 5 | Gene | gene | CXCR2
31696204 | @GENE_CXCR3 | CXCR3 | 409 | 5 | Gene | gene | CXCR3
31696204 | @GENE_CXCR4 | CXCR4 | 416 | 5 | Gene | gene | CXCR4
31696204 | @GENE_CXCR5 | CXCR5 | 427 | 5 | Gene | gene | CXCR5
31696204 | @GENE_CXCR3 | CXCR3 | 563 | 5 | Gene | gene | CXCR3
31696204 | @GENE_CXCR3 | CXCR3 | 677 | 5 | Gene | gene | CXCR3
31696204 | @GENE_CXCR3 | CXCR3 | 727 | 5 | Gene | gene | CXCR3
31696204 | @GENE_CXCR2 | CXCR2 | 802 | 5 | Gene | gene | CXCR2
31696204 | @GENE_CXCR4 | CXCR4 | 809 | 5 | Gene | gene | CXCR4
31696204 | @GENE_CXCR5 | CXCR5 | 820 | 5 | Gene | gene | CXCR5
31696204 | @GENE_CXCR3 | CXCR3 | 869 | 5 | Gene | gene | CXCR3
31696204 | @DISEASE_Osteosarcoma | Osteosarcoma | 930 | 12 | Disease | disease | osteosarcoma
31696204 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1023 | 10 | Disease | disease | metastasis
31696204 | @GENE_CXCR3 | CXCR3 | 1039 | 5 | Gene | gene | CXCR3
31696204 | @DISEASE_Neoplasms | Neoplasms | 1071 | 5 | Disease | disease | tumor
31696204 | @GENE_CXCR3 | CXCR3 | 1212 | 5 | Gene | gene | CXCR3
31696204 | @GENE_KRAS | KRAS | 1389 | 4 | Gene | gene | KRAS
31696204 | @GENE_TP53 | TP53 | 1395 | 3 | Gene | gene | P53
31696204 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 1407 | 23 | Chemical | chemical | reactive oxygen species
31696204 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 1432 | 3 | Chemical | chemical | ROS
31696204 | @GENE_AKT1 | AKT1 | 1443 | 3 | Gene | gene | Akt
31696204 | @GENE_MTOR | MTOR | 1447 | 4 | Gene | gene | mTOR
31696204 | @GENE_VEGFA | VEGFA | 1453 | 34 | Gene | gene | vascular endothelial growth factor
31696204 | @GENE_VEGFA | VEGFA | 1489 | 4 | Gene | gene | VEGF
31696204 | @DISEASE_Inflammation | Inflammation | 1496 | 12 | Disease | disease | inflammation
31696204 | @GENE_IL6 | IL6 | 1546 | 4 | Gene | gene | IL-6
31696204 | @GENE_STAT3 | STAT3 | 1555 | 5 | Gene | gene | STAT3
31696204 | @GENE_TNF | TNF | 1562 | 9 | Gene | gene | TNF-alpha
31696204 | @GENE_NFKB1 | NFKB1 | 1576 | 9 | Gene | gene | NF-kappaB
31696204 | @GENE_TLR4 | TLR4 | 1587 | 4 | Gene | gene | Toll
31696204 | @GENE_CXCR3 | CXCR3 | 1644 | 5 | Gene | gene | CXCR3
31696204 | @GENE_CXCR3 | CXCR3 | 1651 | 5 | Gene | gene | CXCR3
31696204 | @GENE_CD8A | CD8A | 1746 | 3 | Gene | gene | CD8
31696204 | @GENE_CXCR3 | CXCR3 | 1818 | 5 | Gene | gene | CXCR3
31696204 | @DISEASE_Osteosarcoma | Osteosarcoma | 1928 | 12 | Disease | disease | osteosarcoma
32321802 | @GENE_MAVS | MAVS | 49 | 4 | Gene | gene | MAVS
32321802 | @GENE_HLA_A | HLA-A | 209 | 3 | Gene | gene | HLA
32321802 | @GENE_HLA_B | HLA-B | 483 | 17 | Gene | gene | HLA-B, -C, and -E
32321802 | @GENE_HLA_A | HLA-A | 568 | 3 | Gene | gene | HLA
32321802 | @GENE_HLA_A | HLA-A | 815 | 3 | Gene | gene | HLA
32321802 | @GENE_DDX58 | DDX58 | 894 | 5 | Gene | gene | RIG-I
32321802 | @GENE_MAVS | MAVS | 949 | 4 | Gene | gene | MAVS
32321802 | @GENE_MAVS | MAVS | 1019 | 4 | Gene | gene | MAVS
32321802 | @GENE_HLA_A | HLA-A | 1041 | 3 | Gene | gene | HLA
32321802 | @DISEASE_Influenza_Human | Influenza Human | 1073 | 13 | Disease | disease | IAV infection
32321802 | @GENE_IFNB1 | IFNB1 | 1262 | 8 | Gene | gene | IFN-beta
32321802 | @GENE_IFNL1 | IFNL1 | 1275 | 11 | Gene | gene | IFN-lambda1
32321802 | @GENE_HLA_A | HLA-A | 1356 | 3 | Gene | gene | HLA
32321802 | @GENE_HLA_A | HLA-A | 1402 | 3 | Gene | gene | HLA
32321802 | @CHEMICAL_ruxolitinib | ruxolitinib | 1509 | 11 | Chemical | chemical | ruxolitinib
32321802 | @GENE_HLA_A | HLA-A | 1528 | 3 | Gene | gene | HLA
32321802 | @GENE_HLA_A | HLA-A | 1726 | 3 | Gene | gene | HLA
32321802 | @GENE_HLA_A | HLA-A | 1815 | 3 | Gene | gene | HLA
32321802 | @DISEASE_Virus_Diseases | Virus Diseases | 2003 | 15 | Disease | disease | viral infection
32321802 | @GENE_HLA_A | HLA-A | 2139 | 3 | Gene | gene | HLA
32321802 | @GENE_DDX58 | DDX58 | 2308 | 5 | Gene | gene | RIG-I
32321802 | @GENE_MAVS | MAVS | 2350 | 4 | Gene | gene | MAVS
32321802 | @GENE_HLA_A | HLA-A | 2433 | 3 | Gene | gene | HLA
32321802 | @GENE_HLA_A | HLA-A | 2544 | 3 | Gene | gene | HLA
32321802 | @GENE_DDX58 | DDX58 | 2682 | 5 | Gene | gene | RIG-I
32581241 | @GENE_IL7R | IL7R | 18 | 4 | Gene | gene | IL7R
32581241 | @GENE_CXCR4 | CXCR4 | 27 | 5 | Gene | gene | CXCR4
32581241 | @GENE_ABL1 | ABL1 | 40 | 7 | Gene | gene | BCR-ABL
32581241 | @DISEASE_Philadelphia_Chromosome | Philadelphia Chromosome | 74 | 23 | Disease | disease | Philadelphia chromosome
32581241 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 107 | 28 | Disease | disease | acute lymphoblastic leukemia
32581241 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 137 | 32 | Disease | disease | Ph+ acute lymphoblastic leukemia
