38011559 | @GENE_PIKFYVE | Pikfyve | 27 | 7 | Gene | gene | PIKfyve
38011559 | @DISEASE_Neoplasms | Neoplasms | 92 | 6 | Disease | disease | cancer
38011559 | @DISEASE_Neoplasms | Neoplasms | 188 | 6 | Disease | disease | cancer
38011559 | @GENE_PIKFYVE | Pikfyve | 339 | 7 | Gene | gene | PIKfyve
38011559 | @DISEASE_Neoplasms | Neoplasms | 491 | 6 | Disease | disease | cancer
38011559 | @DISEASE_Neoplasms | Neoplasms | 557 | 6 | Disease | disease | cancer
38011559 | @GENE_PIKFYVE | Pikfyve | 652 | 7 | Gene | gene | PIKfyve
38011559 | @DISEASE_Neoplasms | Neoplasms | 669 | 5 | Disease | disease | tumor
38011559 | @DISEASE_Neoplasms | Neoplasms | 769 | 5 | Disease | disease | tumor
38011559 | @GENE_PIKFYVE | Pikfyve | 868 | 7 | Gene | gene | Pikfyve
38011559 | @GENE_B2M | B2m | 953 | 3 | Gene | gene | B2m
38011559 | @DISEASE_Neoplasms | Neoplasms | 974 | 5 | Disease | disease | tumor
38011559 | @GENE_PIKFYVE | Pikfyve | 1001 | 7 | Gene | gene | PIKfyve
38011559 | @GENE_PIKFYVE | PIKFYVE | 1144 | 7 | Gene | gene | PIKFYVE
38011559 | @GENE_PIKFYVE | PIKFYVE | 1299 | 7 | Gene | gene | PIKfyve
38011559 | @DISEASE_Neoplasms | Neoplasms | 1376 | 6 | Disease | disease | cancer
38011559 | @GENE_PIKFYVE | PIKFYVE | 1394 | 7 | Gene | gene | PIKfyve
38011559 | @DISEASE_Neoplasms | Neoplasms | 1476 | 6 | Disease | disease | cancer
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 14 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 29 | 4 | Disease | disease | COPD
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 80 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 169 | 4 | Disease | disease | COPD
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 205 | 5 | Disease | disease | mucus
38013161 | @DISEASE_Cough | Cough | 235 | 5 | Disease | disease | cough
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 261 | 11 | Disease | disease | mucus plugs
