38613283 | @CHEMICAL_Tungsten | Tungsten | 242 | 1 | Chemical | chemical | W
38613283 | @CHEMICAL_sodium_zirconium_cyclosilicate | sodium zirconium cyclosilicate | 247 | 1 | Chemical | chemical | Z
38617598 | @DISEASE_Communicable_Diseases | Communicable Diseases | 225 | 18 | Disease | disease | infectious disease
38617598 | @DISEASE_COVID_19 | COVID-19 | 614 | 10 | Disease | disease | SARS-CoV-2
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 122 | 29 | Disease | disease | Atherosclerotic Calcification
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 172 | 29 | Disease | disease | Atherosclerotic calcification
27256105 | @DISEASE_Calcinosis | Calcinosis | 244 | 13 | Disease | disease | calcification
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 390 | 29 | Disease | disease | atherosclerotic calcification
27256105 | @DISEASE_Aortic_Valve_Calcification_of | Aortic Valve Calcification of | 442 | 20 | Disease | disease | Aortic calcification
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 525 | 15 | Disease | disease | atherosclerotic
27256105 | @GENE_PRKAA1 | Prkaa1 | 652 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_PRKAA2 | Prkaa2 | 682 | 10 | Gene | gene | AMPKalpha2
27256105 | @GENE_PRKAA1 | Prkaa1 | 781 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_PRKAA1 | Prkaa1 | 850 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_PRKAA2 | Prkaa2 | 872 | 10 | Gene | gene | AMPKalpha2
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 892 | 29 | Disease | disease | atherosclerotic calcification
27256105 | @GENE_RUNX2 | Runx2 | 944 | 5 | Gene | gene | Runx2
27256105 | @CHEMICAL_Metformin | Metformin | 1025 | 9 | Chemical | chemical | metformin
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 1075 | 29 | Disease | disease | atherosclerotic calcification
27256105 | @GENE_RUNX2 | Runx2 | 1109 | 5 | Gene | gene | Runx2
27256105 | @GENE_PRKAA1 | Prkaa1 | 1178 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_PRKAA1 | Prkaa1 | 1267 | 10 | Gene | gene | AMPKalpha1
27256105 | @DISEASE_Aortic_Valve_Calcification_of | Aortic Valve Calcification of | 1287 | 20 | Disease | disease | aortic calcification
27256105 | @GENE_PRKAA1 | Prkaa1 | 1329 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_RUNX2 | Runx2 | 1358 | 5 | Gene | gene | Runx2
27256105 | @GENE_RUNX2 | Runx2 | 1489 | 5 | Gene | gene | Runx2
27256105 | @GENE_PRKAA1 | Prkaa1 | 1651 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_PIAS1 | Pias1 | 1686 | 37 | Gene | gene | protein inhibitor of activated STAT-1
27256105 | @GENE_PIAS1 | Pias1 | 1725 | 5 | Gene | gene | PIAS1
27256105 | @GENE_RUNX2 | Runx2 | 1755 | 5 | Gene | gene | Runx2
27256105 | @GENE_PIAS1 | Pias1 | 1838 | 37 | Gene | gene | protein inhibitor of activated STAT-1
27256105 | @CHEMICAL_Metformin | Metformin | 1901 | 9 | Chemical | chemical | metformin
27256105 | @GENE_RUNX2 | Runx2 | 1919 | 5 | Gene | gene | Runx2
27256105 | @CHEMICAL_Metformin | Metformin | 1964 | 9 | Chemical | chemical | metformin
27256105 | @GENE_RUNX2 | Runx2 | 2038 | 5 | Gene | gene | Runx2
27256105 | @GENE_PRKAA1 | Prkaa1 | 2077 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_PIAS1 | Pias1 | 2103 | 37 | Gene | gene | protein inhibitor of activated STAT-1
27256105 | @GENE_RUNX2 | Runx2 | 2152 | 5 | Gene | gene | Runx2
27256105 | @GENE_PRKAA1 | Prkaa1 | 2212 | 10 | Gene | gene | AMPKalpha1
27256105 | @GENE_RUNX2 | Runx2 | 2252 | 5 | Gene | gene | Runx2
27256105 | @DISEASE_Atherosclerosis | Atherosclerosis | 2282 | 29 | Disease | disease | atherosclerotic calcification
28798155 | @GENE_IFNG | Ifng | 0 | 9 | Gene | gene | IFN-gamma
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 21 | 22 | Disease | disease | neointimal hyperplasia
28798155 | @GENE_NR1H3 | Nr1h3 | 147 | 22 | Gene | gene | liver X receptor-alpha
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 183 | 22 | Disease | disease | Neointimal hyperplasia
28798155 | @DISEASE_Coronary_Restenosis | Coronary Restenosis | 227 | 10 | Disease | disease | restenosis
28798155 | @GENE_IFNG | Ifng | 293 | 9 | Gene | gene | IFN-gamma
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 366 | 28 | Disease | disease | vascular intimal hyperplasia
28798155 | @GENE_IFNG | Ifng | 513 | 9 | Gene | gene | IFN-gamma
28798155 | @GENE_NR1H3 | Nr1h3 | 600 | 28 | Gene | gene | liver X receptor (LXR)-alpha
28798155 | @GENE_STAT1 | Stat1 | 630 | 50 | Gene | gene | Signal transducer and activator of transcription 1
28798155 | @GENE_STAT1 | Stat1 | 682 | 5 | Gene | gene | STAT1
28798155 | @CHEMICAL_fludarabine | fludarabine | 700 | 11 | Chemical | chemical | fludarabine
28798155 | @GENE_PIAS1 | Pias1 | 717 | 5 | Gene | gene | PIAS1
28798155 | @GENE_NR1H3 | Nr1h3 | 788 | 9 | Gene | gene | LXR-alpha
28798155 | @GENE_IFNG | Ifng | 801 | 9 | Gene | gene | IFN-gamma
28798155 | @GENE_IFNG | Ifng | 832 | 9 | Gene | gene | IFN-gamma
28798155 | @GENE_EIF2AK3 | Eif2ak3 | 939 | 4 | Gene | gene | PERK
28798155 | @GENE_DDIT3 | Ddit3 | 963 | 49 | Gene | gene | CCAAT-enhancer-binding protein homologous protein
28798155 | @GENE_DDIT3 | Ddit3 | 1014 | 4 | Gene | gene | CHOP
28798155 | @CHEMICAL_4_phenylbutyric_acid | 4-phenylbutyric acid | 1094 | 20 | Chemical | chemical | 4-phenylbutyric acid
28798155 | @CHEMICAL_4_phenylbutyric_acid | 4-phenylbutyric acid | 1116 | 5 | Chemical | chemical | 4-PBA
28798155 | @CHEMICAL_T0901317 | T0901317 | 1141 | 8 | Chemical | chemical | T0901317
28798155 | @CHEMICAL_T0901317 | T0901317 | 1151 | 2 | Chemical | chemical | T0
28798155 | @GENE_IFNG | Ifng | 1167 | 9 | Gene | gene | IFN-gamma
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 1211 | 22 | Disease | disease | Neointimal hyperplasia
28798155 | @GENE_IFNG | Ifng | 1299 | 9 | Gene | gene | IFN-gamma
28798155 | @CHEMICAL_T0901317 | T0901317 | 1314 | 2 | Chemical | chemical | T0
28798155 | @CHEMICAL_4_phenylbutyric_acid | 4-phenylbutyric acid | 1322 | 5 | Chemical | chemical | 4-PBA
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 1372 | 22 | Disease | disease | neointimal hyperplasia
28798155 | @GENE_CD68 | Cd68 | 1414 | 4 | Gene | gene | CD68
28798155 | @CHEMICAL_4_phenylbutyric_acid | 4-phenylbutyric acid | 1501 | 5 | Chemical | chemical | 4-PBA
28798155 | @CHEMICAL_T0901317 | T0901317 | 1510 | 2 | Chemical | chemical | T0
28798155 | @GENE_CD68 | Cd68 | 1543 | 4 | Gene | gene | CD68
28798155 | @GENE_CD68 | Cd68 | 1566 | 4 | Gene | gene | CD68
28798155 | @GENE_DDIT3 | Ddit3 | 1571 | 4 | Gene | gene | CHOP
28798155 | @GENE_IFNG | Ifng | 1704 | 9 | Gene | gene | IFN-gamma
28798155 | @GENE_NR1H3 | Nr1h3 | 1718 | 9 | Gene | gene | LXR-alpha
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 1750 | 22 | Disease | disease | neointimal hyperplasia
28798155 | @GENE_PIAS1 | Pias1 | 1778 | 5 | Gene | gene | PIAS1
28798155 | @GENE_STAT1 | Stat1 | 1784 | 5 | Gene | gene | STAT1
28798155 | @GENE_NR1H3 | Nr1h3 | 1800 | 9 | Gene | gene | LXR-alpha
28798155 | @GENE_IFNG | Ifng | 1833 | 9 | Gene | gene | IFN-gamma
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 1918 | 22 | Disease | disease | neointimal hyperplasia
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 1975 | 22 | Disease | disease | neointimal hyperplasia
28798155 | @DISEASE_Coronary_Restenosis | Coronary Restenosis | 2051 | 10 | Disease | disease | restenosis
28798155 | @GENE_IFNG | Ifng | 2211 | 9 | Gene | gene | IFN-gamma
28798155 | @DISEASE_Hyperplasia | Hyperplasia | 2232 | 22 | Disease | disease | neointimal hyperplasia
