38449806 | Association | Brain Injuries Diffuse | Ccl5
38449806 | Negative_Correlation | tocilizumab | IL6R
38449806 | Association | Brain Injuries Diffuse | Ccl2
38449806 | Positive_Correlation | Brain Injuries Diffuse | Ccl3
38449806 | Association | Respiratory Distress Syndrome | Ccr5
38449806 | Association | Syndrome | Ccr5
38449806 | Negative_Correlation | TAK 779 | Syndrome
38449806 | Positive_Correlation | Brain Injuries Diffuse | Ccl4
38449806 | Negative_Correlation | TAK 779 | Ccl2
38449806 | Bind | Ccr5 | Ccl5
38449806 | Association | Ccr5 | Ccl2
38449806 | Negative_Correlation | TAK 779 | Brain Injuries Diffuse
38449806 | Bind | Ccr5 | Ccl3
38449806 | Negative_Correlation | TAK 779 | Respiratory Distress Syndrome
38449806 | Negative_Correlation | TAK 779 | Cxcr3
38449806 | Bind | Ccr5 | Ccl4
38449806 | Negative_Correlation | TAK 779 | Ccl5
38449806 | Negative_Correlation | Dexamethasone | Syndrome
38449806 | Negative_Correlation | tocilizumab | Syndrome
38449806 | Association | Brain Injuries Diffuse | Ccr5
38449806 | Association | Respiratory Distress Syndrome | Cxcr3
38449806 | Negative_Correlation | TAK 779 | Ccr5
38449806 | Association | Lung Injury | Cxcr3
38449806 | Negative_Correlation | TAK 779 | Lung Injury
38566145 | Association | Psoriasis | Il17a
38566145 | Association | Imiquimod | Klrk1
38566145 | Association | Psoriasis | Klrk1
38566145 | Positive_Correlation | Imiquimod | Psoriasis
38566145 | Positive_Correlation | Imiquimod | Skin Diseases
7130088 | Comparison | Dimethylnitrosamine | N-Nitrosopyrrolidine
19161662 | Association | N-nitrosopiperidine | Water
19161662 | Association | Nitrosamines | Drinking Water
19161662 | Association | N-Nitrosopyrrolidine | Water
29153094 | Association | Leukemia Lymphocytic Chronic B-Cell | ITGA4
29153094 | Association | Leukemia Prolymphocytic T-Cell | CXCR3
29153094 | Association | Leukemia Prolymphocytic T-Cell | CXCR4
29153094 | Association | Leukemia Lymphocytic Chronic B-Cell | CXCR3
29153094 | Association | Leukemia Lymphocytic Chronic B-Cell | CXCR4
29153094 | Association | Leukemia Prolymphocytic T-Cell | ITGA4
29950561 | Association | Glioma | STAT3
29950561 | Association | Glioma | SMAD6
29950561 | Positive_Correlation | SMAD6 | STAT3
29950561 | Bind | SMAD6 | SMURF1
29950561 | Negative_Correlation | PIAS3 | SMAD6
29950561 | Association | PIAS3 | STAT3
29950561 | Association | Glioma | PIAS3
30054984 | Association | PIAS3 | STAT3
30054984 | Association | Colorectal Neoplasms | STAT3
30054984 | Association | Colorectal Neoplasms | PIAS3
30537729 | Association | Inflammation | Mir21a
30537729 | Association | Pancreatitis | Mir21a
30537729 | Positive_Correlation | Ceruletide | Pancreatitis
30537729 | Positive_Correlation | Pias3 | Mir21a
30537729 | Association | Pancreatitis | Hmgb1
30537729 | Association | Pancreatitis | Pias3
30537729 | Association | Lung Injury | Hmgb1
30537729 | Negative_Correlation | Hmgb1 | Mir21a
30537729 | Positive_Correlation | Ceruletide | Lung Injury
30537729 | Association | Inflammation | Pias3
30537729 | Association | Lung Injury | Mir21a
30569507 | Association | Neoplasms | CXCR4
30569507 | Association | Carcinoma Hepatocellular | CXCR4
30569507 | Association | Fibrosis | CXCR4
30630513 | Negative_Correlation | Tnf | Pias3
30630513 | Negative_Correlation | Spondylitis Ankylosing | Pias3
30630513 | Negative_Correlation | Arthritis | Pias3
30630513 | Negative_Correlation | Stat3 | Pias3
30630513 | Positive_Correlation | curdlan | Spondylitis Ankylosing
30630513 | Negative_Correlation | Il17a | Pias3
30630513 | Association | curdlan | Stat3
30630513 | Association | Stat3 | Tnf
30630513 | Association | Cytokine Release Syndrome | Pias3
30630513 | Association | Bmp4 | Stat3
30630513 | Negative_Correlation | Bmp2 | Pias3
30630513 | Association | Spondylitis Ankylosing | Il17a
30630513 | Association | Spondylitis Ankylosing | Stat3
30630513 | Association | Arthritis | Stat3
30630513 | Association | Bmp2 | Stat3
30630513 | Negative_Correlation | Bmp4 | Pias3
30630513 | Association | Inflammation | Stat3
30630513 | Association | Il17a | Stat3
30630513 | Negative_Correlation | Inflammation | Pias3
30634511 | Association | Inflammation | UBE2I
30634511 | Association | PIAS3 | MIR18A
31373534 | Association | Sumo2 | Senp3
