11074253 | Association | Gastric Antral Vascular Ectasia | RHD
11074253 | Association | Connective Tissue Diseases | RHD
11891046 | Association | Neoplasms | DDX50
11891046 | Association | Neoplasms | DDX21
11891046 | Association | Neoplasms | RHD
11953317 | Association | IRF1 | CIITA
11953317 | Association | CIITA | USF1
11953317 | Association | CIITA | STAT1
11953317 | Association | GBP1 | IFNG
11953317 | Association | IFNG | SMARCA4
11953317 | Association | CIITA | SMARCA4
11953317 | Positive_Correlation | GBP1 | SMARCA4
11953317 | Positive_Correlation | IFNG | CIITA
14990991 | Association | CIITA | SMARCA4
14990991 | Negative_Correlation | SMARCA4 | SMARCB1
14990991 | Positive_Correlation | IFNG | CIITA
14990991 | Association | Neoplasms | SMARCA2
14990991 | Association | Neoplasms | SMARCA4
14990991 | Association | GBP1 | SMARCA4
14990991 | Association | Neoplasms | SMARCB1
14990991 | Positive_Correlation | GBP1 | IFNG
14990991 | Association | IFNG | SMARCA4
15297606 | Association | IFNA1 | STAT1
15297606 | Association | Cell Transformation Viral | STAT1
15297606 | Negative_Correlation | RET | PIAS1
15297606 | Association | Thyroid Cancer Papillary | RET
15297606 | Association | Neoplasms | RET
15297606 | Association | Cell Transformation Viral | RET
15297606 | Negative_Correlation | STAT1 | PIAS1
15297606 | Association | Thyroid Cancer Papillary | STAT1
15297606 | Positive_Correlation | RET | STAT1
15297606 | Association | IFNA1 | RET
15297606 | Association | Hashimoto Disease | RET
15297606 | Association | Thyroid Cancer Papillary | PTCH1
15297606 | Association | Thyroid Diseases | RET
16881865 | Positive_Correlation | Gbp2b | Ifng
16881865 | Positive_Correlation | Ifng | Irf1
16881865 | Association | Ifng | Tlr2
16881865 | Association | Ifng | Myd88
17696781 | Association | PIAS4 | ZXDC
17696781 | Association | SUMO3 | ZXDC
17696781 | Association | ZXDC | HDAC4
17696781 | Association | SUMO1 | ZXDC
17696781 | Association | SUMO2 | ZXDC
17696781 | Association | CIITA | ZXDC
17696781 | Bind | ZXDA | ZXDC
18566411 | Association | EP300 | FCGRT
18566411 | Association | EP300 | STAT1
18566411 | Association | CREBBP | FCGRT
18566411 | Negative_Correlation | FCGRT | IFNG
18566411 | Positive_Correlation | HLA-C | IFNG
