31679624 | Association | Muscle Neoplasms | Clcn3
31679624 | Association | Brain Ischemia | Clcn3
31679624 | Positive_Correlation | Clcn3 | Jak2
31679624 | Association | Ischemia | Clcn3
31679624 | Association | Cxcr4 | Jak2
31679624 | Negative_Correlation | AG 490 | Jak2
31679624 | Association | Myocardial Ischemia | Clcn3
31679624 | Positive_Correlation | Clcn3 | Cxcr4
31679624 | Negative_Correlation | plerixafor | Cxcr4
31696204 | Association | Inflammation | CXCR3
31696204 | Association | CXCR3 | STAT3
31696204 | Association | CXCR3 | VEGFA
31696204 | Association | CXCR3 | IL6
31696204 | Positive_Correlation | CXCR3 | CD8A
31696204 | Association | CXCR3 | TLR4
31696204 | Association | Reactive Oxygen Species | CXCR3
31696204 | Negative_Correlation | Neoplasms | CXCR3
31696204 | Association | Osteosarcoma | CXCR3
31696204 | Association | CXCR3 | TNF
31696204 | Association | CXCR3 | NFKB1
31696204 | Association | AKT1 | CXCR3
31696204 | Association | CXCR3 | TP53
31696204 | Association | NFKB1 | TNF
31696204 | Association | MTOR | CXCR3
31696204 | Association | CXCR3 | KRAS
32321802 | Negative_Correlation | ruxolitinib | HLA-A
32321802 | Positive_Correlation | Influenza Human | HLA-A
32321802 | Positive_Correlation | HLA-A | MAVS
32321802 | Positive_Correlation | IFNL1 | HLA-A
32581241 | Positive_Correlation | ABL1 | CXCR4
32581241 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | IL7R
32581241 | Association | Leukemia | IL7R
32581241 | Positive_Correlation | ABL1 | IL7R
32581241 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | BCR
32581241 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | ABL1
32581241 | Association | IL7R | CXCR4
32581241 | Positive_Correlation | BCR | CXCR4
32581241 | Positive_Correlation | IL7R | BCR
32801035 | Association | Spondylitis Ankylosing | IL17A
32801035 | Association | Liver Cirrhosis Biliary | IL17A
32801035 | Association | Axial osteomalacia | HLA-B
32801035 | Association | Inflammation | IL17A
32885389 | Positive_Correlation | Axial osteomalacia | HLA-B
32885389 | Association | Spondylitis Ankylosing | HLA-B
32885389 | Association | Spondylitis Ankylosing | IL17A
32885389 | Association | Inflammatory Bowel Diseases | IL17A
32885389 | Association | Inflammatory Bowel Diseases | IL23A
32885389 | Association | Spondylitis Ankylosing | IL23A
34957697 | Positive_Correlation | FASLG | IL17A
34957697 | Association | Neoplasms | CD8A
34957697 | Positive_Correlation | IL17A | STAT3
34957697 | Association | Stomach Neoplasms | FASLG
34957697 | Positive_Correlation | CSF3 | STAT3
34957697 | Association | FASLG | MAPK1
34957697 | Association | Neoplasms | CXCL12
34957697 | Positive_Correlation | CSF3 | FASLG
34957697 | Positive_Correlation | IL17A | PDCD1LG2
34957697 | Positive_Correlation | PDCD1LG2 | CD8A
34957697 | Association | NFKB1 | PDCD1LG2
34957697 | Association | CXCL12 | CXCR4
34957697 | Positive_Correlation | IL17A | NFKB1
34957697 | Association | Neoplasms | NFKB1
34957697 | Positive_Correlation | IL17A | MAPK1
34957697 | Positive_Correlation | CSF3 | MAPK1
