37537117 | Positive_Correlation | Sevoflurane | p.S262S
37537117 | Positive_Correlation | Sevoflurane | Gsk3b
37537117 | Positive_Correlation | Sevoflurane | Cognition Disorders
37930331 | Positive_Correlation | Cholic Acid | Icam1
37930331 | Negative_Correlation | andrographolide | Casp1
37930331 | Negative_Correlation | andrographolide | Dcpp1
37930331 | Positive_Correlation | Cholic Acid | Gpt
37930331 | Negative_Correlation | andrographolide | Il1
37930331 | Negative_Correlation | andrographolide | Ubxn2b
37930331 | Negative_Correlation | andrographolide | Lipopolysaccharides
37930331 | Positive_Correlation | Olr1 | Icam1
37930331 | Negative_Correlation | andrographolide | Icam1
37930331 | Association | Atherosclerosis | Nlrp3
37930331 | Negative_Correlation | andrographolide | Msr1
37930331 | Negative_Correlation | andrographolide | Inflammation
37930331 | Negative_Correlation | andrographolide | Atherosclerosis
37930331 | Negative_Correlation | andrographolide | Lipids
37930331 | Negative_Correlation | andrographolide | Gpt
37930331 | Negative_Correlation | andrographolide | Nlrp3
37930331 | Positive_Correlation | Cholesterol | Icam1
38458287 | Association | XPO1 | NUP37
38458287 | Association | SUMO1 | NUP37
38458287 | Association | Infections | NUP37
6161166 | Association | Lymphoma T-Cell | Thy1
6161166 | Association | Lymphoma T-Cell | Cd8a
22013062 | Association | nef | TFAP2A
22013062 | Negative_Correlation | nef | CD8B
24101382 | Association | Aphasia Conduction | MR1
24101382 | Association | CD8A | CD8B
24101382 | Association | Aphasia Conduction | TRAJ33
24101382 | Association | Mr1 | CD4
24101382 | Association | TRAJ33 | MR1
24594598 | Association | Infections | Ptcra
24594598 | Bind | Peptides | Trav6-3
24594598 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | Ptcra
24594598 | Association | Lymphocytic Choriomeningitis | Ptcra
24594598 | Association | Drug-Related Side Effects and Adverse Reactions | Fasl
26664914 | Association | Infections | CD4
26664914 | Association | Infections | CD8BP
26664914 | Association | Inflammation | IL1B
26664914 | Association | Inflammation | IL6
26664914 | Association | Infections | CD8A
30548472 | Association | Lymphoma T-Cell Cutaneous | CD4
34136383 | Association | Neoplasms | Has2
34136383 | Association | Carcinogenesis | C1qbp
34136383 | Positive_Correlation | Akt1 | C1qbp
34136383 | Association | Neoplasms | Pdcd4
34136383 | Positive_Correlation | C1qbp | Has2
34136383 | Positive_Correlation | Colorectal Neoplasms | C1qbp
34136383 | Association | Neoplasms | C1qbp
34136383 | Positive_Correlation | C1qbp | Pdcd4
34136383 | Association | Adenocarcinoma | C1qbp
34136383 | Positive_Correlation | C1qbp | Mtor
34421919 | Association | Reactive Oxygen Species | C1qbp
34421919 | Association | Reactive Oxygen Species | Inflammation
34421919 | Association | Imiquimod | C1qbp
34421919 | Association | Psoriasis | C1qbp
34421919 | Positive_Correlation | C1qbp | Il1b
34421919 | Association | C1qbp | Il23a
34421919 | Positive_Correlation | Imiquimod | Inflammation
34421919 | Positive_Correlation | Imiquimod | Il1b
34421919 | Positive_Correlation | Imiquimod | Il23a
34421919 | Association | Inflammation | C1qbp
34421919 | Association | Inflammation | Il17a
34421919 | Association | Il17a | Il23a
34421919 | Association | Inflammation | Il23a
34421919 | Association | Imiquimod | Reactive Oxygen Species
34711805 | Association | Melanoma | C1qbp
34711805 | Association | Neoplasms | C1QBP
34711805 | Association | Melanoma | AKT1
34711805 | Association | Neoplasm Metastasis | C1QBP
34711805 | Association | Calcinosis Cutis | AKT1
34711805 | Association | Melanoma | C1QBP
34711805 | Positive_Correlation | Carcinogenesis | C1QBP
34711805 | Association | Calcinosis Cutis | C1QBP
34711805 | Association | AKT1 | C1QBP
34938155 | Positive_Correlation | Polychlorinated Biphenyls | Developmental Disabilities
35122996 | Negative_Correlation | 4-benzyl-2-methyl-1 2 4-thiadiazolidine-3 5-dione | GSK3B
35122996 | Positive_Correlation | Sevoflurane | Gsk3b
35122996 | Positive_Correlation | Sevoflurane | Neurotoxicity Syndromes
35122996 | Association | DNM1L | Gsk3b
35122996 | Association | Sevoflurane | DNM1L
35122996 | Association | Neurotoxicity Syndromes | Dnm1l
35122996 | Positive_Correlation | Sevoflurane | CYCS
35122996 | Positive_Correlation | Sevoflurane | Dnm1l
35122996 | Association | Gsk3b | Dnm1l
35122996 | Association | Neurotoxicity Syndromes | Gsk3b
35122996 | Negative_Correlation | 4-benzyl-2-methyl-1 2 4-thiadiazolidine-3 5-dione | Gsk3b
35337150 | Association | Neoplasms | PTPN22
35337150 | Negative_Correlation | PTPN22 | MMP2
35337150 | Negative_Correlation | PTPN22 | VEGFC
36425142 | Association | C1qbp | Txn1
36425142 | Association | Lumpy Skin Disease | C1qbp
36495605 | Positive_Correlation | Sevoflurane | Cognition Disorders
36590588 | Association | Pancreatitis | Fpr1
36590588 | Association | Pancreatitis | Itgam
36590588 | Association | Pancreatitis | Il1r1
36590588 | Association | Pancreatitis | Camp
36590588 | Association | Pancreatitis | Hk3
36590588 | Positive_Correlation | Ceruletide | Lipg
36590588 | Association | Pancreatitis | Tlr2
36590588 | Positive_Correlation | Lipg | Tlr2
36590588 | Association | Pancreatitis | S100a9
36590588 | Association | Neutrophil Immunodeficiency Syndrome | Tlr2
36590588 | Association | Pancreatitis | S100a8
36590588 | Association | Inflammation | Tlr2
36590588 | Association | Pancreatitis | Mmp9
