35408447 | Association | Signs and Symptoms Digestive | ACE2
35408447 | Association | Hyperglycemia | ACE2
35408447 | Association | AGTR1 | PTK2
35408447 | Association | Kidney Diseases | ACE2
35408447 | Association | AP2B1 | AGT
35408447 | Association | COVID-19 | AGTR1
35408447 | Association | Respiratory Distress Syndrome | AGTR1
35408447 | Association | Liver Diseases | ACE2
35408447 | Association | AGTR1 | MAPK8
35408447 | Association | AGTR1 | SRC
35408447 | Association | AGTR1 | MAPK3
35408447 | Association | Acrocephalosyndactylia | ACE2
35408447 | Association | AGTR1 | MAPK1
35408447 | Association | Neurologic Manifestations | ACE2
35408447 | Association | Cytokine Release Syndrome | AGTR1
35408447 | Association | Chemical and Drug Induced Liver Injury | ACE2
35434592 | Positive_Correlation | COVID-19 | NFKB1
35505068 | Association | COVID-19 | ACE2
35645319 | Positive_Correlation | Inflammation | IFNG
35645319 | Association | Inflammation | ACE2
35645319 | Negative_Correlation | remdesivir | Cytokine Release Syndrome
35645319 | Positive_Correlation | DPP4 | TNF
35645319 | Negative_Correlation | remdesivir | Inflammation
35645319 | Negative_Correlation | ruxolitinib | Inflammation
35645319 | Positive_Correlation | DPP4 | IFNG
35645319 | Positive_Correlation | IL6 | ACE2
35645319 | Positive_Correlation | IFNG | STAT1
35645319 | Positive_Correlation | Inflammation | IL6
35645319 | Association | Inflammation | STAT1
35645319 | Negative_Correlation | ruxolitinib | Cytokine Release Syndrome
35645319 | Positive_Correlation | STAT1 | TNF
35645319 | Association | IFNG | TNF
35645319 | Positive_Correlation | ACE2 | TNF
35645319 | Positive_Correlation | IFNG | ACE2
35645319 | Association | Inflammation | DPP4
35645319 | Positive_Correlation | Inflammation | TNF
35717657 | Negative_Correlation | N-methyl-valyl-amiclenomycin | ACE2
35717657 | Association | BA 1 | ACE2
35717657 | Association | N-methyl-valyl-amiclenomycin | Infections
35717657 | Association | BA 1 | Infections
35787993 | Association | COVID-19 | IL6
35787993 | Association | GAK | ACE2
35787993 | Positive_Correlation | COVID-19 | TNF
35792186 | Negative_Correlation | M-2 protocol | Communicable Diseases
35792186 | Association | M-2 protocol | ACE2
35792186 | Negative_Correlation | M-2 protocol | TNF
35792186 | Negative_Correlation | M-2 protocol | Multiple Organ Failure
35792186 | Negative_Correlation | M-2 protocol | COVID-19
35792186 | Negative_Correlation | M-2 protocol | NFKB1
35792186 | Negative_Correlation | M-2 protocol | IL6
35792186 | Association | COVID-19 | ACE2
35792186 | Negative_Correlation | M-2 protocol | Inflammation
35891565 | Negative_Correlation | Hydrocortisone | Pneumonia
35891565 | Association | kaempferol | COVID-19
35891565 | Association | afzelin | COVID-19
35891565 | Association | COVID-19 | ORF1ab
35891565 | Association | Apigenin | COVID-19
35891565 | Positive_Correlation | Apigenin | SERPINE1
35891565 | Association | Quercetin | COVID-19
35891565 | Association | Quercetin | SERPINE1
35891565 | Association | Hydrocortisone | COVID-19
36057605 | Association | COVID-19 | ACE2
36057605 | Association | TOLLIP | ACE2
36057605 | Association | PIAS4 | ACE2
36057605 | Association | ACE2 | SUMO3
36058151 | Association | Inflammation | REN
36058151 | Association | Influenza Human | ACE2
36058151 | Negative_Correlation | Carotenoids | Inflammation
36058151 | Negative_Correlation | Carotenoids | Superoxides
36058151 | Association | Carotenoids | IL6
36058151 | Association | COVID-19 | REN
36058151 | Association | Inflammation | IL6
36058151 | Association | COVID-19 | NFKB1
36058151 | Negative_Correlation | Carotenoids | Influenza Human
36058151 | Association | COVID-19 | IL6
36058151 | Negative_Correlation | Carotenoids | Reactive Oxygen Species
36058151 | Association | Superoxides | Hypoxia
36058151 | Association | Carotenoids | NFKB1
36058151 | Association | COVID-19 | ACE2
36058151 | Negative_Correlation | Carotenoids | Coronavirus Infections
36058151 | Negative_Correlation | Carotenoids | ACE2
36058151 | Negative_Correlation | Carotenoids | Hypoxia
36058151 | Negative_Correlation | Carotenoids | Seasonal Affective Disorder
36058151 | Association | Inflammation | NFKB1
36058151 | Association | Carotenoids | REN
36058151 | Negative_Correlation | Carotenoids | COVID-19
36064077 | Association | Pulmonary Embolism | SERPINE1
36064077 | Association | Pulmonary Embolism | VWF
36064077 | Association | Pulmonary Embolism | KIT
36064077 | Association | Pulmonary Embolism | KITLG
36464706 | Negative_Correlation | remdesivir | COVID-19
36464706 | Negative_Correlation | nirmatrelvir and ritonavir drug combination | COVID-19
36776826 | Association | COVID-19 | BSG
36776826 | Association | Renal Insufficiency Chronic | TMPRSS2
36776826 | Association | COVID-19 | ACE2
36776826 | Association | Renal Insufficiency Chronic | ACE2
36776826 | Association | COVID-19 | TMPRSS2
36776826 | Association | Neoplasms | ACE2
36776826 | Association | Testosterone | Prostatic Neoplasms
36776826 | Association | Neoplasms | BSG
36776826 | Association | Testosterone | COVID-19
36776826 | Association | Renal Insufficiency Chronic | BSG
36776826 | Association | Neoplasms | TMPRSS2
37365840 | Association | Reactive Oxygen Species | PTK2B
37365840 | Association | DUSP1 | PDX1
37365840 | Association | TGFB1 | UCP1
37365840 | Association | Nitric Oxide | Epoprostenol
37365840 | Association | Fibrosis | MAS1L
37365840 | Association | F3 | UCP1
37365840 | Association | MTOR | TLR4
37365840 | Association | PTK2B | PPARG
37365840 | Association | DUSP1 | MME
37365840 | Association | AKT1 | PDX1
37365840 | Association | AKT1 | SOD1
37365840 | Association | Reactive Oxygen Species | MTOR
37365840 | Association | Thiobarbituric Acid Reactive Substances | LPL
37365840 | Association | DUSP1 | TNF
37365840 | Association | Ischemia | MAS1L
37365840 | Association | AKT1 | REN
37365840 | Association | TAGLN | NPFF
37365840 | Association | TLR4 | NPFF
37365840 | Association | Thiobarbituric Acid Reactive Substances | SIRT1
37365840 | Association | REN | TLR4
37365840 | Association | Nitric Oxide | UCP1
37365840 | Association | PTK2B | REN
37365840 | Association | Weight Loss | MAS1L
37365840 | Association | PDX1 | REN
37365840 | Association | MTOR | UCP1
37365840 | Association | AKT1 | LPL
37365840 | Association | AKT1 | MTOR
37365840 | Association | SOD1 | TNF
37365840 | Association | LPL | SREBF1
37365840 | Association | SLIT3 | TLR4
37365840 | Association | SIRT1 | TLR4
37365840 | Association | SIRT1 | LPL
37365840 | Association | AKT1 | MME
37365840 | Association | Epoprostenol | SLIT3
37365840 | Association | MME | SREBF1
37365840 | Association | SREBF1 | UCP1
37365840 | Association | AKT1 | UCP1
37365840 | Association | TLR4 | UCP1
37365840 | Association | TGFB1 | TLR4
37365840 | Association | F3 | REN
37365840 | Association | PDX1 | KLF4
37365840 | Association | Thiobarbituric Acid Reactive Substances | PDX1
37365840 | Association | F3 | PDX1
37365840 | Association | SLIT3 | SREBF1
37365840 | Association | PPARG | TNF
37365840 | Association | PDX1 | UCP1
37365840 | Association | SIRT1 | SREBF1
37365840 | Association | PDX1 | TGFB1
37365840 | Association | AKT1 | PTK2B
37365840 | Association | Diabetes Mellitus | MAS1L
37365840 | Association | MME | SOD1
37365840 | Association | SOD1 | TAGLN
37365840 | Association | MME | KLF4
37365840 | Association | Reactive Oxygen Species | LPL
37365840 | Association | F3 | SLIT3
37365840 | Association | Thiobarbituric Acid Reactive Substances | MME
37365840 | Association | Nitric Oxide | SAA@
37365840 | Association | SLIT3 | UCP1
37365840 | Association | LPL | PPARG
37365840 | Association | F3 | SIRT1
37365840 | Association | MME | SLIT3
37365840 | Association | SOD1 | KLF4
37365840 | Association | PTK2B | SOD1
37365840 | Association | LPL | TLR4
37365840 | Association | MME | PPARG
37365840 | Association | F3 | SOD1
37365840 | Association | PTK2B | TAGLN
37365840 | Association | SIRT1 | SLIT3
37365840 | Association | REN | KLF4
37365840 | Association | MTOR | LPL
37365840 | Association | SAA@ | NPFF
37365840 | Association | Epoprostenol | AKT1
37365840 | Association | TGFB1 | TNF
37365840 | Association | DUSP1 | NPFF
37365840 | Association | MME | UCP1
37365840 | Association | SIRT1 | NPFF
37365840 | Association | Coronary Artery Disease | MAS1L
37365840 | Association | SIRT1 | REN
37365840 | Association | DUSP1 | AKT1
37365840 | Association | F3 | SAA@
37365840 | Association | Nitric Oxide | PPARG
37365840 | Association | Reactive Oxygen Species | PDX1
37365840 | Association | TAGLN | TLR4
37365840 | Association | Epoprostenol | SOD1
37365840 | Association | REN | UCP1
37365840 | Association | Epoprostenol | PTK2B
37365840 | Association | PTK2B | TGFB1
37365840 | Association | LPL | NPFF
37365840 | Association | SOD1 | SREBF1
37365840 | Association | Dyslipidemias | MAS1L
37365840 | Association | Nitric Oxide | DUSP1
37365840 | Association | MME | TNF
37365840 | Association | Nitric Oxide | SREBF1
37365840 | Association | Epoprostenol | PPARG
37365840 | Association | AKT1 | NPFF
37365840 | Association | TAGLN | UCP1
37365840 | Positive_Correlation | Lipids | MAS1L
37365840 | Association | SAA@ | TAGLN
37365840 | Association | Epoprostenol | TLR4
37365840 | Association | Nitric Oxide | REN
37365840 | Association | PDX1 | TNF
37365840 | Association | REN | TAGLN
37365840 | Association | Reactive Oxygen Species | REN
37365840 | Association | LPL | SAA@
37365840 | Association | Epoprostenol | MTOR
37365840 | Association | PPARG | SREBF1
37365840 | Association | SOD1 | NPFF
37365840 | Association | SIRT1 | PPARG
37365840 | Association | SIRT1 | SAA@
37365840 | Association | PTK2B | PDX1
37365840 | Association | MAS1L | TNF
37365840 | Association | DUSP1 | SREBF1
37365840 | Association | AKT1 | KLF4
37365840 | Association | SAA@ | TGFB1
37365840 | Association | MTOR | TAGLN
37365840 | Association | MTOR | SREBF1
37365840 | Association | MTOR | SLIT3
37365840 | Association | PDX1 | MME
37365840 | Association | Thiobarbituric Acid Reactive Substances | TGFB1
37365840 | Association | Nitric Oxide | LPL
37365840 | Association | SREBF1 | TAGLN
37365840 | Association | F3 | LPL
37365840 | Association | Thiobarbituric Acid Reactive Substances | NPFF
37365840 | Association | F3 | PPARG
37365840 | Association | SREBF1 | TNF
37365840 | Association | Thiobarbituric Acid Reactive Substances | KLF4
37365840 | Association | UCP1 | NPFF
37365840 | Association | AKT1 | SLIT3
37365840 | Association | SOD1 | TLR4
37365840 | Association | TGFB1 | NPFF
37365840 | Association | DUSP1 | SLIT3
37365840 | Association | MAS1L | TGFB1
37365840 | Association | MTOR | TNF
37365840 | Association | PTK2B | MTOR
37365840 | Association | PDX1 | TAGLN
37365840 | Association | F3 | TGFB1
37365840 | Association | AKT1 | F3
37365840 | Association | Reactive Oxygen Species | TLR4
37365840 | Association | PTK2B | SLIT3
37365840 | Association | DUSP1 | PPARG
37365840 | Association | DUSP1 | F3
37365840 | Association | Epoprostenol | PDX1
37365840 | Association | Epoprostenol | SAA@
37365840 | Association | SLIT3 | TAGLN
37365840 | Association | SAA@ | SREBF1
37365840 | Association | Nitric Oxide | NPFF
37365840 | Association | PPARG | TLR4
37365840 | Association | MTOR | NPFF
37365840 | Association | LPL | REN
37365840 | Association | Thiobarbituric Acid Reactive Substances | TNF
37365840 | Association | TNF | NPFF
37365840 | Association | Reactive Oxygen Species | F3
37365840 | Association | MTOR | TGFB1
37365840 | Association | SREBF1 | KLF4
37365840 | Association | Nitric Oxide | MTOR
37365840 | Association | Reactive Oxygen Species | TGFB1
37365840 | Association | Myocardial Infarction | MAS1L
37365840 | Association | MME | SAA@
37365840 | Association | DUSP1 | SAA@
37365840 | Association | Reactive Oxygen Species | NPFF
37365840 | Association | AKT1 | SAA@
37365840 | Association | LPL | UCP1
37365840 | Association | Reactive Oxygen Species | KLF4
37365840 | Association | PPARG | UCP1
37365840 | Association | PPARG | TGFB1
37365840 | Association | AKT1 | SIRT1
37365840 | Association | LPL | TAGLN
37365840 | Association | REN | TGFB1
37365840 | Association | Nitric Oxide | TLR4
37365840 | Association | Thiobarbituric Acid Reactive Substances | SREBF1
37365840 | Association | SLIT3 | KLF4
37365840 | Association | F3 | KLF4
37365840 | Association | DUSP1 | PTK2B
37365840 | Association | Reperfusion Injury | MAS1L
37365840 | Association | PDX1 | NPFF
37365840 | Association | SLIT3 | TGFB1
37365840 | Association | TLR4 | TNF
37365840 | Association | Thiobarbituric Acid Reactive Substances | SOD1
37365840 | Association | SIRT1 | TGFB1
37365840 | Association | Nitric Oxide | F3
37365840 | Association | Epoprostenol | Thiobarbituric Acid Reactive Substances
37365840 | Association | TNF | UCP1
37365840 | Association | Reactive Oxygen Species | SIRT1
37365840 | Association | Thiobarbituric Acid Reactive Substances | SLIT3
37365840 | Association | SREBF1 | TLR4
37365840 | Association | AKT1 | TLR4
37365840 | Association | Thiobarbituric Acid Reactive Substances | PPARG
37365840 | Association | Nitric Oxide | MME
37365840 | Association | PDX1 | TLR4
37365840 | Association | NPFF | KLF4
37365840 | Association | MTOR | SOD1
37365840 | Association | AKT1 | SREBF1
37365840 | Association | Nitric Oxide | Reactive Oxygen Species
37365840 | Association | SAA@ | UCP1
37365840 | Association | Thiobarbituric Acid Reactive Substances | UCP1
37365840 | Association | DUSP1 | SIRT1
37365840 | Association | Nitric Oxide | SLIT3
37365840 | Association | Reactive Oxygen Species | SREBF1
37365840 | Association | Thiobarbituric Acid Reactive Substances | TAGLN
37365840 | Association | PDX1 | SREBF1
37365840 | Association | SIRT1 | KLF4
37365840 | Association | Reactive Oxygen Species | SLIT3
37365840 | Association | MTOR | PPARG
37365840 | Association | Reactive Oxygen Species | MME
37365840 | Association | Nitric Oxide | SIRT1
37365840 | Association | Reactive Oxygen Species | SOD1
37365840 | Association | AKT1 | TNF
37365840 | Association | PDX1 | SOD1
