37919427 | Negative_Correlation | Neoplasms | CD274
37919427 | Association | Neoplasms | CD8A
38213954 | Association | Multiple Myeloma | MYC
38298433 | Association | Neoplasms | CD8A
38357647 | Association | COVID-19 | CD38
38357647 | Association | COVID-19 | SELL
38357647 | Association | COVID-19 | CD69
38357647 | Association | COVID-19 | CD28
38357647 | Association | COVID-19 | CD7
38357647 | Association | COVID-19 | CD5
38357647 | Association | COVID-19 | CD8A
38357647 | Association | COVID-19 | FCGR3A
38357647 | Association | COVID-19 | CD14
38357647 | Association | COVID-19 | CD4
38375253 | Association | Asthma | IL2RB
38375253 | Association | Asthma | CD40LG
38375253 | Association | Asthma | PDCD1
38375253 | Association | CD8A | CD40LG
38375253 | Association | Asthma | CD8A
38375253 | Association | Asthma | CCL5
38375253 | Association | Asthma | ZAP70
38375253 | Association | Asthma | CCR5
38375253 | Association | Asthma | TNF
38455049 | Association | Pericarditis | CD8A
38455049 | Association | Pericarditis | PTPRC
38455049 | Association | COVID-19 | PTPRC
38455049 | Association | Pericarditis | IL10
38455049 | Association | Pericarditis | IL1B
8649511 | Bind | CCR5 | CCL4
8649511 | Association | CCR5 | CCL5
8649511 | Bind | CCR5 | CCL3
8649512 | Negative_Correlation | CCL5 | CD4
8649512 | Negative_Correlation | Infections | CCL3
8649512 | Negative_Correlation | env | CCL5
8649512 | Association | Infections | CCR3
8649512 | Negative_Correlation | Infections | CCL5
8649512 | Negative_Correlation | Infections | CCL4
8649512 | Association | CCR5 | CD4
8649512 | Negative_Correlation | env | CCL3
8649512 | Association | Infections | CCR5
8649512 | Negative_Correlation | CCL3 | CD4
8649512 | Association | CCR5 | env
8649512 | Negative_Correlation | env | CCL4
8658171 | Negative_Correlation | Infections | CCL4
8658171 | Negative_Correlation | Infections | CCL5
8658171 | Negative_Correlation | Infections | CCL3
8674120 | Association | CCR5 | CD4
8674120 | Association | Virus Diseases | env
8674120 | Association | CCR3 | env
8674120 | Association | env | CCR2
8791590 | Association | Acquired Immunodeficiency Syndrome | CCR5
8791590 | Association | HTLV-I Infections | CCR5
8791590 | Bind | CCR5 | CD4
9147421 | Association | CCR5 | CD4
9147421 | Association | Acquired Immunodeficiency Syndrome | CCR5
9147421 | Association | HIV Seropositivity | CCR5
9147421 | Negative_Correlation | Infections | CCR5
9160656 | Association | HTLV-I Infections | CD34
9160656 | Association | CD4 | CD34
9160656 | Association | CXCR4 | CD4
9160656 | Association | CCR5 | CD34
9160656 | Association | CXCR4 | CD34
9160656 | Association | HTLV-I Infections | CD4
9224818 | Negative_Correlation | Dextran Sulfate | p.N323S
9224818 | Negative_Correlation | Dextran Sulfate | p.S114N
9224818 | Negative_Correlation | Dextran Sulfate | p.K269E
