38346596 | Association | Neoplasms | CREB1
38346596 | Association | Neoplasms | CD4
38346596 | Association | Neoplasms | ETS1
38346596 | Association | Neoplasms | QRSL1
38401793 | Negative_Correlation | ruxolitinib | Chronic Disease
38401793 | Negative_Correlation | ruxolitinib | Azoles
38401793 | Negative_Correlation | Steroids | Graft vs Host Disease
38401793 | Negative_Correlation | ruxolitinib | Graft vs Host Disease
38401793 | Cotreatment | Azoles | Azithromycin
38431635 | Association | Arthritis Juvenile | STAT3
38431635 | Positive_Correlation | Arthritis Rheumatoid | STAT3
38431635 | Positive_Correlation | Arthritis Juvenile | IFNG
38431635 | Positive_Correlation | Arthritis Juvenile | CCR6
38431635 | Association | Arthritis Juvenile | CD4
38462549 | Association | Inflammation | TGFB1
38462549 | Association | JAG1 | CD46
38462549 | Association | Cardiomyopathy Dilated | KLRB1
38462549 | Association | Inflammation | CD46
38462549 | Association | Cardiomyopathy Dilated | CD46
38462549 | Association | Inflammation | KLRB1
38462549 | Association | Cardiomyopathy Dilated | CLEC2B
38462549 | Association | Inflammation | JAG1
38462549 | Association | Cardiomyopathy Dilated | JAG1
38462549 | Association | Inflammation | CLEC2B
38462549 | Positive_Correlation | Cardiomyopathy Dilated | TGFB1
38479724 | Negative_Correlation | Y 27632 | Cd4
38479724 | Association | Cd4 | Stat5a
38479724 | Positive_Correlation | Y 27632 | Ikzf2
38479724 | Negative_Correlation | Y 27632 | Cd86
38479724 | Positive_Correlation | Y 27632 | Il2ra
38479724 | Negative_Correlation | Y 27632 | Stat3
38479724 | Association | Cd4 | Stat3
38479724 | Positive_Correlation | Y 27632 | Stat5a
38479724 | Association | Rock2 | Stat5a
38479724 | Negative_Correlation | Y 27632 | Rock1
38479724 | Positive_Correlation | Y 27632 | Foxp3
38479724 | Negative_Correlation | Y 27632 | Il17a
38479724 | Association | Rock2 | Stat3
38485795 | Positive_Correlation | c.245A>G | Hypomagnesemia primary
38485795 | Positive_Correlation | Myocarditis | p.Y82C
38485795 | Positive_Correlation | Hereditary Autoinflammatory Diseases | c.245A>G
38485795 | Positive_Correlation | Hereditary Autoinflammatory Diseases | p.Y82C
38485795 | Association | Hypomagnesemia primary | c.245A>G
38485795 | Positive_Correlation | c.245A>G | Hereditary Autoinflammatory Diseases
38485795 | Positive_Correlation | Adenosine Triphosphate | IL1B
38485795 | Association | c.245A>G | Myocarditis
38485795 | Positive_Correlation | Hypomagnesemia primary | p.Y82C
38485795 | Association | Myocarditis | HAVCR2
38485795 | Positive_Correlation | Myocarditis | c.245A>G
38485795 | Positive_Correlation | Adenosine Triphosphate | TLR4
38485795 | Association | IL1B | TLR4
