27256105 | Association | Runx2 | Pias1
27256105 | Negative_Correlation | Prkaa1 | Runx2
27256105 | Association | Atherosclerosis | Prkaa1
27256105 | Negative_Correlation | Metformin | Atherosclerosis
27256105 | Association | Aortic Valve Calcification of | Prkaa1
27256105 | Association | Atherosclerosis | Runx2
27256105 | Association | Prkaa1 | Pias1
27256105 | Negative_Correlation | Metformin | Runx2
28798155 | Positive_Correlation | Eif2ak3 | Ifng
28798155 | Negative_Correlation | T0901317 | Ifng
28798155 | Positive_Correlation | fludarabine | Nr1h3
28798155 | Negative_Correlation | 4-phenylbutyric acid | Cd68
28798155 | Negative_Correlation | T0901317 | Ddit3
28798155 | Negative_Correlation | 4-phenylbutyric acid | Ddit3
28798155 | Association | Stat1 | Nr1h3
28798155 | Negative_Correlation | 4-phenylbutyric acid | Hyperplasia
28798155 | Negative_Correlation | T0901317 | Hyperplasia
28798155 | Positive_Correlation | Ifng | Nr1h3
28798155 | Negative_Correlation | fludarabine | Stat1
28798155 | Association | Hyperplasia | Nr1h3
28798155 | Positive_Correlation | Hyperplasia | Ifng
28798155 | Negative_Correlation | 4-phenylbutyric acid | Ifng
28798155 | Negative_Correlation | T0901317 | Cd68
28798155 | Positive_Correlation | Cd68 | Ifng
28798155 | Negative_Correlation | Nr1h3 | Pias1
28798155 | Association | Ifng | Pias1
28798155 | Positive_Correlation | Ddit3 | Ifng
28798155 | Association | Ifng | Stat1
29061306 | Association | ATF6 | SUMO1
29061306 | Association | CFTR | ATF6
29061306 | Association | ATF6 | PIAS1
29922483 | Association | Neoplasms | Maoa
30031388 | Association | CSF1 | IL12B
30031388 | Association | IL17A | TCF3
30031388 | Association | IL12B | IL32
30031388 | Association | MIR223 | IL23A
30031388 | Association | NFKB1 | IL23A
30031388 | Association | IL27 | IL18
30031388 | Association | Hepatitis C Chronic | NOX1
30031388 | Association | NOX1 | IL6
30031388 | Association | IL27 | MIR155
30031388 | Association | IL15 | IL17A
30031388 | Association | NOX1 | IL13
30031388 | Association | CSF1 | TGFA
30031388 | Association | NOX1 | IL23A
30031388 | Association | MIR223 | IL32
30031388 | Association | IL27 | IL6
30031388 | Association | Hepatitis C Chronic | IL18
30031388 | Association | CSF1 | MIR223
30031388 | Association | IL15 | IL32
30031388 | Negative_Correlation | tocotrienol delta | Neoplasms
30031388 | Association | CSF1 | MIR155
30031388 | Association | Hepatitis C Chronic | RXRA
30031388 | Positive_Correlation | tocotrienol delta | ICAM1
30031388 | Association | IL5 | IL6
30031388 | Association | CSF1 | NOX1
30031388 | Association | IL2 | TGFA
30031388 | Association | NOX1 | MIR223
30031388 | Association | IL12B | TCF3
30031388 | Association | IL13 | IL18
30031388 | Association | IL18 | IL32
30031388 | Association | IL6 | IL15
30031388 | Association | IL18 | IL23A
30031388 | Association | IL18 | MIR21
30031388 | Association | Hepatitis C Chronic | IL6
30031388 | Association | IL6 | IL32
30031388 | Association | IL17A | IL23A
30031388 | Association | Hepatitis C Chronic | IL12B
30031388 | Association | IL6 | IL17A
30031388 | Negative_Correlation | tocotrienol delta | NDUFB1
30031388 | Association | tocotrienol delta | NFKB1
30031388 | Association | IL5 | MIR223
30031388 | Association | Hepatitis C Chronic | IL13
30031388 | Association | IL2 | STAT2
30031388 | Association | IL24 | MIR21
30031388 | Association | IL24 | IL23A
30031388 | Association | IL13 | IL17A
30031388 | Association | IL6 | MIR21
30031388 | Association | IL6 | IL23A
30031388 | Association | MIR223 | TCF3
30031388 | Negative_Correlation | tocotrienol delta | TNF
30031388 | Negative_Correlation | tocotrienol delta | Hepatitis C Chronic
30031388 | Association | IL15 | TCF3
30031388 | Association | IL2 | MIR155
30031388 | Association | NFKB1 | STAT2
30031388 | Association | IL6 | MIR223
30031388 | Association | IL13 | TGFA
30031388 | Negative_Correlation | tocotrienol delta | CYB5R4
30031388 | Association | MIR155 | NFKB1
30031388 | Association | Hepatitis C Chronic | CSF1
30031388 | Association | IL18 | TCF3
30031388 | Association | IL6 | TCF3
30031388 | Association | IL24 | IL5
30031388 | Association | NFKB1 | TGFA
30031388 | Association | IL2 | IL6
30031388 | Association | IL27 | NOX1
30031388 | Association | NOX1 | MIR155
30031388 | Association | CSF1 | IL23A
30031388 | Association | MIR223 | TGFA
30031388 | Association | IL27 | STAT2
30031388 | Association | NOX1 | TGFA
30031388 | Association | IL17A | MIR155
30031388 | Association | IL13 | MIR223
30031388 | Association | NOX1 | TCF3
30031388 | Association | IL15 | MIR155
30031388 | Association | IL17A | STAT2
30031388 | Association | MIR155 | IL32
30031388 | Association | IL27 | IL5
30031388 | Association | IL2 | MIR223
30031388 | Negative_Correlation | tocotrienol delta | PSMC3
30031388 | Association | IL13 | STAT2
30031388 | Association | IL24 | IL27
30031388 | Association | IL27 | IL17A
30031388 | Association | IL27 | IL15
30031388 | Association | IL12B | STAT2
30031388 | Association | IL2 | IL13
30031388 | Association | IL17A | TGFA
30031388 | Association | IL5 | IL15
30031388 | Association | IL12B | IL13
30031388 | Association | tocotrienol delta | MTOR
30031388 | Association | tocotrienol delta | IL32
30031388 | Association | CSF1 | STAT2
30031388 | Association | MIR223 | NFKB1
30031388 | Association | tocotrienol delta | MIR223
30031388 | Association | IL5 | MIR21
30031388 | Association | Hepatitis C Chronic | IL32
30031388 | Association | IL2 | IL32
30031388 | Association | tocotrienol delta | NOX1
30031388 | Association | MIR155 | TCF3
30031388 | Negative_Correlation | tocotrienol delta | GTPBP8
30031388 | Association | IL12B | TGFA
30031388 | Association | Hepatitis C Chronic | IL21
30031388 | Association | CSF1 | IL6
30031388 | Association | IL15 | MIR21
30031388 | Association | IL12B | IL18
30031388 | Association | TCF3 | TGFA
30031388 | Association | tocotrienol delta | IL24
30031388 | Negative_Correlation | tocotrienol delta | TLR8
30031388 | Association | tocotrienol delta | IL5
30031388 | Association | tocotrienol delta | RXRA
30031388 | Association | Hepatitis C Chronic | IL27
30031388 | Association | IL18 | TGFA
30031388 | Association | tocotrienol delta | TCF3
30031388 | Association | IL17A | IL32
30031388 | Association | IL2 | IL5
30031388 | Association | IL13 | MIR155
30031388 | Negative_Correlation | tocotrienol delta | MKX
30031388 | Association | Inflammation | VCAM1
30031388 | Association | Hepatitis C Chronic | TCF3
30031388 | Association | IL2 | TCF3
30031388 | Association | tocotrienol delta | IL15
30031388 | Association | IL23A | STAT2
30031388 | Association | Hepatitis C Chronic | STAT2
30031388 | Association | tocotrienol delta | IL17A
30031388 | Association | MIR21 | STAT2
30031388 | Association | IL24 | IL6
30031388 | Association | tocotrienol delta | IL23A
30031388 | Association | IL5 | IL18
30031388 | Association | IL6 | IL13
30031388 | Association | Hepatitis C Chronic | MIR21
30031388 | Association | IL12B | IL23A
30031388 | Association | IL24 | IL17A
30031388 | Association | NOX1 | IL2
30031388 | Association | IL13 | IL32
30031388 | Association | NOX1 | IL32
30031388 | Association | MIR21 | IL32
30031388 | Association | IL23A | IL32
30031388 | Association | MIR155 | MIR223
30031388 | Association | Hepatitis C Chronic | MIR155
30031388 | Association | MIR21 | IL23A
30031388 | Negative_Correlation | tocotrienol delta | VCAM1
30031388 | Association | NOX1 | NFKB1
30031388 | Association | STAT2 | IL32
30031388 | Association | IL24 | CSF1
30031388 | Association | IL24 | NOX1
30031388 | Association | IL27 | IL2
30031388 | Association | IL24 | IL2
30031388 | Association | IL6 | MIR155
30031388 | Association | IL12B | MIR223
30031388 | Negative_Correlation | tocotrienol delta | HSP90AB1
30031388 | Association | PPARA | RXRA
30031388 | Association | MIR155 | TGFA
30031388 | Association | Hepatitis C Chronic | IL15
30031388 | Association | IL17A | IL18
30031388 | Negative_Correlation | tocotrienol delta | CYP2R1
30031388 | Negative_Correlation | tocotrienol delta | EIF4A1
30031388 | Association | IL5 | IL23A
30031388 | Association | IL6 | TGFA
30031388 | Association | IL2 | IL15
30031388 | Association | CSF1 | MIR21
30031388 | Association | IL2 | NFKB1
30031388 | Negative_Correlation | tocotrienol delta | GPS2
30031388 | Association | IL13 | TCF3
30031388 | Association | MIR21 | TCF3
30031388 | Association | CSF1 | IL18
30031388 | Association | STAT2 | TCF3
30031388 | Association | IL15 | IL23A
30031388 | Negative_Correlation | tocotrienol delta | Inflammation
30031388 | Association | IL24 | IL32
30031388 | Association | IL17A | MIR21
30031388 | Association | CSF1 | IL27
