2896072 | Association | THY1 | CD8B
2896072 | Positive_Correlation | IFNG | THY1
3084649 | Association | CD2 | CD8B
3084649 | Negative_Correlation | HLA-C | CD2
3084649 | Association | Mastocytoma | CD2
3092111 | Association | Cd8a | CD8A
3114136 | Bind | Cd8a | CD8A
3114136 | Bind | Cd8b1 | CD8A
3145195 | Bind | CD8A | CD8B
3145196 | Association | CD8A | CD8B
8537123 | Association | Obesity | Cd8a
8537123 | Association | Obesity | Cd8b1
8537123 | Association | Diabetes Mellitus | Cd8b1
8537123 | Association | Diabetes Mellitus | Cd8a
16474425 | Association | Inflammation | Irf5
16474425 | Positive_Correlation | Virus Diseases | Il10
16474425 | Negative_Correlation | Inflammation | Il10
16491076 | Association | PATZ1 | CD8B
16491076 | Association | PATZ1 | NCOR1
16491076 | Negative_Correlation | PATZ1 | CD8A
16491076 | Association | CD8A | CD8B
17195459 | Association | CEACAM3 | SCFV
17195459 | Association | Neoplasms | HLA-A
17195459 | Association | Neoplasms | CIR1
17195459 | Association | Neoplasms | CEACAM3
17658607 | Positive_Correlation | CD8 Deficiency Familial | p.G111S
17658607 | Association | CD8 Deficiency Familial | CD8A
17658607 | Association | Respiratory Insufficiency | p.G111S
17658607 | Association | Respiratory Insufficiency | CD8A
22068125 | Association | Hematuria Benign Familial | Cd8a
22068125 | Association | Fibrosis | Cd8a
22068125 | Association | Glomerulonephritis | Cd8a
22068125 | Negative_Correlation | Inflammation | Cd8a
23355737 | Association | IL2RB | CD8A
23355737 | Association | IL15 | CD8A
23355737 | Association | EOMES | CD8A
25416805 | Association | Infections | Ctnnb1
25416805 | Association | Irf8 | Itgax
25416805 | Positive_Correlation | Ctnnb1 | Irf8
25416805 | Positive_Correlation | Ctnnb1 | Itgae
25416805 | Association | Irf8 | Itgae
25416805 | Association | Cd8a | Irf8
25416805 | Positive_Correlation | Ctnnb1 | Cd8a
25548254 | Association | SELL | CD8A
25548254 | Association | CBFB | CD8A
25548254 | Association | CD8A | CD44
25548254 | Association | Infections | CD8A
25548254 | Association | BCL11B | CD8A
26563160 | Association | Respiratory Tract Infections | CD8A
26563160 | Negative_Correlation | CD8 Deficiency Familial | CD8A
29217518 | Association | Neoplasms | Tnf
29217518 | Negative_Correlation | Cd8b1 | Igfbp3
29217518 | Negative_Correlation | Neoplasms | Tnfsf10
29217518 | Association | Neoplasms | Ifng
29217518 | Negative_Correlation | Igfbp3 | Tnf
29217518 | Association | Neoplasms | Cd8b1
29217518 | Association | Mammary Neoplasms Animal | Igfbp3
29217518 | Positive_Correlation | Ifng | Igfbp3
29217518 | Negative_Correlation | Neoplasms | Klrk1
29217518 | Association | Breast Neoplasms | Igfbp3
29217518 | Negative_Correlation | Cd8a | Igfbp3
29217518 | Association | Neoplasms | Igfbp3
29217518 | Association | Neoplasms | Cd8a
29305435 | Positive_Correlation | TNFRSF9 | EOMES
29305435 | Negative_Correlation | ZBTB7B | EOMES
29305435 | Association | ZBTB7B | CD4
29305435 | Positive_Correlation | IFNG | RUNX3
29305435 | Association | CD4 | CD8A
29305435 | Association | TNFRSF9 | CD4
29305435 | Association | Drug-Related Side Effects and Adverse Reactions | CD4
29305435 | Association | RUNX3 | CD8A
29305435 | Positive_Correlation | TNFRSF9 | RUNX3
29305435 | Association | EOMES | RUNX3
29305435 | Association | TNF | TNFRSF4
29305435 | Positive_Correlation | TNFRSF9 | ZBTB7B
29305435 | Association | TNFRSF1A | TNFRSF4
29305435 | Association | Drug-Related Side Effects and Adverse Reactions | EOMES
29305435 | Association | TNFRSF4 | RUNX3
29305435 | Negative_Correlation | ZBTB7B | CD8A
29305435 | Association | EOMES | CD4
33408257 | Bind | Cd8a | Myd88
33408257 | Association | Neoplasms | Cd8a
33408257 | Association | Graft vs Host Disease | CD8A
33408257 | Association | Myd88 | CD8A
33408257 | Association | Graft vs Host Disease | Cd8a
33408257 | Association | Drug-Related Side Effects and Adverse Reactions | MYD88
33408257 | Negative_Correlation | Neoplasms | Myd88
33408257 | Association | Drug-Related Side Effects and Adverse Reactions | CD8A
33408257 | Positive_Correlation | Graft vs Host Disease | Myd88
33408257 | Association | MYD88 | CD8A
34045231 | Association | Neoplasms | Prf1
34045231 | Association | Neoplasms | Gzma
34045231 | Association | Neoplasms | Cd8b1
34045231 | Association | Neoplasms | Gzmb
34045231 | Association | Neoplasms | Cd8a
36853094 | Negative_Correlation | Aire | Gpt
36853094 | Positive_Correlation | Hepatitis Autoimmune | Gpt
36853094 | Association | Liver Cirrhosis Biliary | Aire
36853094 | Association | Cholangitis | Aire
36853094 | Association | Hepatitis Autoimmune | Aire
36853094 | Association | Inflammation | Cd8a
36853094 | Association | Chemical and Drug Induced Liver Injury | Aire
36909458 | Association | Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency | HLA-C
37853469 | Association | Neoplasms | Cd8a
37853469 | Association | Colorectal Neoplasms | p.D594A
37853469 | Positive_Correlation | Cxcl9 | Thbs1
37853469 | Negative_Correlation | Neoplasms | p.D594A
37853469 | Positive_Correlation | Cxcl10 | Ifng
37853469 | Positive_Correlation | Cxcl10 | Thbs1
37853469 | Association | Atf3 | Thbs1
37853469 | Association | Colorectal Neoplasms | #673#
37853469 | Association | Colorectal Neoplasms | Braf
