8089068 | Comparison | biapenem | Meropenem
8089068 | Comparison | biapenem | Imipenem
8089068 | Association | Imipenem | bla
8089068 | Association | biapenem | bla
17991743 | Negative_Correlation | sanglifehrin A | MAPK1
17991743 | Association | GSTK1 | CXCR4
17991743 | Negative_Correlation | Cyclosporine | MAPK1
17991743 | Positive_Correlation | MAPK3 | CXCR4
17991743 | Positive_Correlation | MAPK1 | CXCR4
17991743 | Association | HNRNPA2B1 | CXCR4
17991743 | Negative_Correlation | sanglifehrin A | MAPK3
17991743 | Negative_Correlation | Cyclosporine | CXCL12
17991743 | Negative_Correlation | Cyclosporine | MAPK3
21900684 | Bind | Impa2 | IMPA2
23468933 | Association | Neoplasm Metastasis | CXCR4
23468933 | Association | Carcinogenesis | CXCR4
23468933 | Association | Prostatic Neoplasms | CXCR4
23468933 | Association | Neoplasms | CXCR4
25989275 | Association | Breast Neoplasms | KPNA2
25989275 | Association | KPNA2 | BRCA1
25989275 | Association | KPNA2 | BARD1
25989275 | Association | KPNA2 | PIAS1
25989275 | Association | KPNA2 | RAD51
25989275 | Association | CHEK1 | KPNA2
25989275 | Association | KPNA2 | SMC6
25989275 | Association | KPNA2 | UBE2I
27783955 | Association | Infections | TNPO3
27783955 | Association | HIV Infections | CXCR4
27783955 | Association | Infections | PSIP1
27783955 | Association | HIV Infections | CCR5
28100513 | Association | Heredodegenerative Disorders Nervous System | Cwc15
28100513 | Positive_Correlation | Ranbp2 | Hnrnph3
28100513 | Positive_Correlation | Mmp28 | Ranbp2
28100513 | Association | Xpo1 | Ranbp2
28100513 | Association | Death | Ranbp2
28100513 | Association | Heredodegenerative Disorders Nervous System | Ranbp2
28100513 | Negative_Correlation | Amyotrophic Lateral Sclerosis | Ranbp2
28100513 | Association | Ranbp2 | Hdac4
28100513 | Positive_Correlation | Ranbp2 | Cxcl12
28100513 | Positive_Correlation | Ranbp2 | Stat3
28100513 | Association | Respiratory Distress Syndrome | Ranbp2
28100513 | Association | Cxcr4 | Cxcl12
28100513 | Association | Kpnb1 | Ranbp2
28100513 | Positive_Correlation | Ranbp2 | Cxcl14
28100513 | Positive_Correlation | Cxcr4 | Ranbp2
28100513 | Association | Paralysis | Ranbp2
32591762 | Association | COVID-19 | CCR1
32591762 | Positive_Correlation | COVID-19 | ACE2
32591762 | Association | Respiratory Insufficiency | CCR1
32591762 | Association | Macrophage Activation Syndrome | TNF
32591762 | Association | Respiratory Insufficiency | CCR5
32591762 | Association | Macrophage Activation Syndrome | CCL2
32591762 | Association | COVID-19 | CCR5
32591762 | Association | Macrophage Activation Syndrome | IL1B
32591762 | Association | Macrophage Activation Syndrome | CXCL10
32991819 | Association | COVID-19 | ACE2
33339432 | Association | DPP4 | CXCL12
33339432 | Association | DPP4 | CXCR4
33339432 | Association | Agtrap | ACE2
33339432 | Association | Agtr2 | Ace2
33339432 | Association | Agtr2 | ACE2
33422520 | Negative_Correlation | IFNG | ACE2
33422520 | Positive_Correlation | ACE2 | CCL4
33422520 | Positive_Correlation | SLC7A11 | ACE2
33422520 | Association | COVID-19 | ACE2
33422520 | Negative_Correlation | ACE2 | CD8A
33422520 | Positive_Correlation | GZMB | ACE2
33422520 | Association | Adenocarcinoma of Lung | SLC7A11
33422520 | Association | Adenocarcinoma of Lung | ACE2
33422520 | Positive_Correlation | NKG7 | ACE2
33422520 | Negative_Correlation | ACE2 | CD4
33422520 | Positive_Correlation | GZMA | ACE2
33422520 | Positive_Correlation | KLRC1 | ACE2
33521616 | Negative_Correlation | leronlimab | CD8A
33521616 | Association | COVID-19 | CCL5
33521616 | Negative_Correlation | leronlimab | COVID-19
33521616 | Negative_Correlation | leronlimab | CCR5
33521616 | Negative_Correlation | leronlimab | Critical Illness
33521616 | Negative_Correlation | leronlimab | IL6
33521616 | Negative_Correlation | leronlimab | CD4
33521616 | Negative_Correlation | leronlimab | CCL5
