34153417 | Association | COVID-19 | MIR340
34153417 | Association | COVID-19 | MIR4772
34153417 | Association | COVID-19 | TP53INP2
34153417 | Association | COVID-19 | MIR652
34153417 | Association | COVID-19 | CCR2
34153417 | Association | COVID-19 | MIR192
34153417 | Association | COVID-19 | CXCR4
34153417 | Association | COVID-19 | MIR1291
33345622 | Association | HIF1A | CXCR1
33345622 | Association | HIF1A | CXCR2
33345622 | Association | HIF1A | SOD2
33345622 | Association | HIF1A | PGK1
33345622 | Association | Hypoxia | HIF1A
33345622 | Association | HIF1A | PFKFB3
33345622 | Association | COVID-19 | HIF1A
33345622 | Association | HIF1A | TLR4
33345622 | Association | Oxygen | HIF1A
33345622 | Association | HIF1A | SLC2A3
33345622 | Association | HIF1A | CXCR4
33345622 | Association | Inflammation | HIF1A
33345622 | Association | HIF1A | TLR2
33345622 | Association | HIF1A | CXCL8
25873087 | Association | Prodromal Symptoms | CDH1
25873087 | Positive_Correlation | Colorectal Neoplasms | rs9929218
25873087 | Association | Colorectal Neoplasms | CDH1
25873087 | Association | Neoplasms | rs9929218
25873087 | Positive_Correlation | Prodromal Symptoms | rs9929218
25873087 | Association | Neoplasms | CDH1
37004548 | Association | Lung Injury | Ipo7
37004548 | Positive_Correlation | Ipo7 | Mapk14
37004548 | Association | Ventilator-Induced Lung Injury | Ipo7
37004548 | Association | Lung Injury | Mapk14
37004548 | Association | Inflammation | Mapk14
37004548 | Association | Pneumonia | Ipo7
37442140 | Positive_Correlation | Hmox1 | Il6
37442140 | Association | Ccr5 | Il6
37442140 | Association | Neoplasms | Ccr5
37442140 | Positive_Correlation | Lyve1 | Il6
37442140 | Positive_Correlation | Lyve1 | Hmox1
37442140 | Association | Neoplasms | Lyve1
37442140 | Association | Breast Neoplasms | Lyve1
37442140 | Association | Lyve1 | Ccr5
17682055 | Association | Adenosine Triphosphate | TNP2
17682055 | Association | TNP2 | IPO4
17682055 | Bind | GSTK1 | TNP2
17682055 | Association | PHGDH | IPO4
31288861 | Association | IPO5 | RASAL2
31288861 | Association | Colorectal Neoplasms | RASAL2
31288861 | Association | Colorectal Neoplasms | IPO5
36763080 | Association | COVID-19 | CCR5
36763080 | Association | Virus Diseases | CCR5
36763080 | Association | COVID-19 | CCR1
34530915 | Association | COVID-19 | CCR5
34530915 | Association | COVID-19 | HLA-A
22646292 | Association | IPO7 | PPARA
22646292 | Association | KPNA1 | PPARA
36844201 | Association | Fatigue | VEGFA
36844201 | Negative_Correlation | Pravastatin | CX3CL1
36844201 | Negative_Correlation | Maraviroc | CCR5
36844201 | Association | CCR5 | FCGR3A
36844201 | Association | CX3CR1 | FCGR3A
36844201 | Negative_Correlation | Pravastatin | Fatigue
36844201 | Negative_Correlation | Maraviroc | Dyspnea
36844201 | Negative_Correlation | Pravastatin | 614878
36844201 | Negative_Correlation | Pravastatin | Post-Acute COVID-19 Syndrome
36844201 | Negative_Correlation | Maraviroc | Fatigue
36844201 | Cotreatment | Maraviroc | Pravastatin
36844201 | Negative_Correlation | Maraviroc | Post-Acute COVID-19 Syndrome
36844201 | Negative_Correlation | Maraviroc | 614878
33625064 | Association | dolutegravir | ABCC10
33625064 | Association | dolutegravir | rs7590091
33625064 | Association | dolutegravir | ABCG2
33625064 | Association | dolutegravir | rs67861980
33625064 | Cotreatment | dolutegravir | Tenofovir
33625064 | Association | dolutegravir | rs4148149
33625064 | Association | Tenofovir | rs76771105
33625064 | Positive_Correlation | dolutegravir | Weight Gain
33625064 | Positive_Correlation | Weight Gain | rs4148149
33625064 | Association | Tenofovir | ABCG2
33625064 | Cotreatment | tenofovir alafenamide | dolutegravir
33625064 | Association | dolutegravir | TMEM163
33625064 | Association | Tenofovir | ABCC10
33625064 | Comparison | tenofovir alafenamide | Tenofovir
33625064 | Association | Weight Gain | ABCG2
37264685 | Bind | BRI3 | VCP
37264685 | Association | PPP1R11 | VCP
37264685 | Association | VCP | NUP37
37264685 | Association | PPP1R7 | VCP
38479384 | Association | Bile Acids and Salts | Colorectal Neoplasms
38479384 | Association | Bile Acids and Salts | Neoplasms
38479384 | Association | Colorectal Neoplasms | CD8A
38479384 | Negative_Correlation | Deoxycholic Acid | CD8A
38479384 | Association | Deoxycholic Acid | ATP2B2
38479384 | Negative_Correlation | Deoxycholic Acid | CA2
38479384 | Positive_Correlation | Deoxycholic Acid | Colorectal Neoplasms
38479384 | Positive_Correlation | Deoxycholic Acid | Neoplasms
38479384 | Negative_Correlation | Bile Acids and Salts | CD8A
25078492 | Association | Hypoglycemia | rs560887
25078492 | Association | Hypoglycemia | G6PC2
22016621 | Association | Diabetes Mellitus Type 2 | rs2237892
22016621 | Negative_Correlation | Diabetes Mellitus Type 2 | rs2283228
