37403086 | Association | IL2 | STAT5A
37403086 | Negative_Correlation | demethylzeylasteral | Vitiligo
37403086 | Association | Vitiligo | CD8A
37403086 | Association | Ifng | Jak3
37403086 | Negative_Correlation | demethylzeylasteral | Inflammation
37403086 | Association | Vitiligo | Cxcl10
37403086 | Association | Ifng | Jak2
37403086 | Negative_Correlation | tofacitinib | Vitiligo
37403086 | Association | Vitiligo | Gzmb
37403086 | Association | Vitiligo | Cxcl9
37850268 | Association | COVID-19 | HLA-DPB1
37850268 | Association | COVID-19 | IFNA1
37850268 | Association | COVID-19 | KIR2DS4
37850268 | Association | COVID-19 | KIR3DL1
37850268 | Association | COVID-19 | HLA-A
38380743 | Association | Graft vs Host Disease | HLA-C
38380743 | Association | Bronchiolitis Obliterans Syndrome | HLA-DRB1
38380743 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | HLA-A
38380743 | Association | Graft vs Host Disease | HLA-A
38400850 | Association | Multiple Myeloma | MUC4
38400850 | Association | COVID-19 | LZTFL1
38400850 | Association | COVID-19 | MAPT
38400850 | Association | Multiple Myeloma | MAPT
38400850 | Association | COVID-19 | HLA-C
38400850 | Association | Multiple Myeloma | OAS1
38400850 | Association | Multiple Myeloma | LZTFL1
38400850 | Association | COVID-19 | FDX2
38400850 | Association | COVID-19 | SLC22A31
38400850 | Association | Multiple Myeloma | B3GNT6
38400850 | Association | Multiple Myeloma | SLC22A31
38400850 | Association | COVID-19 | MUC4
38400850 | Association | Multiple Myeloma | FDX2
38400850 | Association | COVID-19 | OAS1
38400850 | Association | Multiple Myeloma | HLA-C
38401711 | Association | Alcoholism | HNF4A
38401711 | Association | Alcoholism | HLA-DRB1
38401711 | Association | Heredodegenerative Disorders Nervous System | HLA-B
38401711 | Association | Alcoholism | HLA-C
38401711 | Association | Heredodegenerative Disorders Nervous System | MIR449A
38401711 | Association | Alcoholism | HLA-A
38401711 | Association | Heredodegenerative Disorders Nervous System | HLA-DPB1
38401711 | Association | Heredodegenerative Disorders Nervous System | SLC17A7
38401711 | Association | Heredodegenerative Disorders Nervous System | SNCA
38401711 | Association | Alcoholism | C4A
38401711 | Association | Alcoholism | SNCA
38401711 | Association | Heredodegenerative Disorders Nervous System | HLA-DRB1
38401711 | Association | Heredodegenerative Disorders Nervous System | HLA-C
38401711 | Association | Alcoholism | CCL2
38401711 | Association | Alcoholism | HLA-DPB1
38401711 | Association | Alcoholism | SLC17A7
38401711 | Association | Alcoholism | MYCN
38401711 | Association | Heredodegenerative Disorders Nervous System | HLA-A
38401711 | Association | Heredodegenerative Disorders Nervous System | HLA-DMB
38401711 | Association | Heredodegenerative Disorders Nervous System | HNF4A
38401711 | Association | Alcoholism | IL1B
38401711 | Association | Alcoholism | HLA-B
38401711 | Association | Heredodegenerative Disorders Nervous System | C4A
38401711 | Association | Alcoholism | HLA-DMB
38401711 | Association | Alcoholism | MIR449A
38469033 | Association | Mental Disorders | rs362514
38478091 | Association | Multiple Myeloma | KIR2DL1
38478091 | Association | Multiple Myeloma | BW4
38478091 | Association | Multiple Myeloma | KIR3DL1
38643729 | Association | Lupus Erythematosus Systemic | HLA-DRB1
38643729 | Association | Lupus Erythematosus Systemic | HLA-DQB1
15147562 | Association | Thymus Neoplasms | Jak3
15147562 | Association | Cxcr4 | Jak3
15147562 | Association | Jak3 | Cxcl12
15147562 | Association | Il7r | Jak3
15147562 | Association | Ccr9 | Jak3
15147562 | Positive_Correlation | Jak3 | Ccl25
15548928 | Association | Developmental Defects of Enamel | IFNGR2
15548928 | Association | Developmental Defects of Enamel | IFNGR1
15548928 | Association | Infections | IL12B
15548928 | Association | Infections | JAK3
15548928 | Association | Infections | IFNGR2
15548928 | Association | Infections | IL7R
15548928 | Association | Infections | IL12RB1
15548928 | Association | Infections | IL2RA
15548928 | Association | Infections | IFNGR1
15611059 | Positive_Correlation | Jak2 | CXCR4
15611059 | Bind | CXCL12 | CXCR4
15611059 | Positive_Correlation | JAK3 | CXCL12
15611059 | Association | JAK3 | CXCR4
17521370 | Association | Jak3 | Ccl25
17521370 | Association | Cxcr4 | Jak3
17521370 | Association | Jak3 | Ccl19
17521370 | Association | Cxcr4 | Ccl25
17521370 | Association | Jak3 | Cxcl12
17521370 | Association | Cxcr4 | Cxcl12
17521370 | Association | Ccr9 | Jak3
17521370 | Association | Ccr7 | Jak3
17521370 | Positive_Correlation | Ccr9 | Ccl25
24498424 | Positive_Correlation | Rhoa | Jak3
24498424 | Association | Akt1 | Jak3
24498424 | Association | Cxcr4 | Jak3
24498424 | Association | Ccr7 | Jak3
24498424 | Association | Jak3 | Cxcl12
24498424 | Association | Ccr9 | Jak3
24498424 | Positive_Correlation | Jak3 | Rac1
24587342 | Negative_Correlation | R333 | JAK3
24587342 | Association | IFNG | STAT5A
24587342 | Positive_Correlation | JAK3 | TRBV20OR9-2
24587342 | Association | FOSL2 | STAT5A
24587342 | Negative_Correlation | R333 | TRBV20OR9-2
24587342 | Association | FOSL2 | CD4
24587342 | Association | Neoplasms | FOSL2
24587342 | Association | STAT5A | CD4
24587342 | Bind | STAT5A | PAGR1
24587342 | Negative_Correlation | Daclizumab | TRBV20OR9-2
24587342 | Association | IFNG | PAGR1
24587342 | Bind | FOS | FOSL2
24587342 | Positive_Correlation | FOSL2 | IL2
24587342 | Association | IL2 | STAT5A
24607275 | Association | Neoplasms | STAT3
24607275 | Association | SRC | STAT3
24607275 | Negative_Correlation | KT-18618 | STAT3
24607275 | Association | JAK3 | STAT3
24607275 | Association | KT-18618 | Neoplasms
24607275 | Association | Neoplasms | JAK3
24607275 | Association | KT-18618 | JAK3
26279433 | Negative_Correlation | Thapsigargin | Cxcl12
26279433 | Association | Inositol 1 4 5-Trisphosphate | Cxcl12
26279433 | Bind | Cxcr4 | Cxcl12
26279433 | Negative_Correlation | WHI P154 | Thapsigargin
27002119 | Association | ibrutinib | IL4
27002119 | Negative_Correlation | ibrutinib | Leukemia Lymphocytic Chronic B-Cell
27002119 | Association | Jak3 | IL4
27002119 | Association | idelalisib | IL4
27002119 | Negative_Correlation | idelalisib | Leukemia Lymphocytic Chronic B-Cell
27002119 | Association | Stat6 | IL4
27002119 | Positive_Correlation | Cd79b | IL4
27002119 | Negative_Correlation | IL4 | CXCR5
27002119 | Negative_Correlation | Cxcr4 | IL4
27002119 | Association | Leukemia Lymphocytic Chronic B-Cell | IL4
27002119 | Negative_Correlation | idelalisib | Lymphoma B-Cell
27002119 | Negative_Correlation | ibrutinib | Lymphoma B-Cell
31985363 | Association | Bronchitis | IL7
31985363 | Negative_Correlation | Bronchitis | TLR5
31985363 | Negative_Correlation | Bronchitis | TLR7
31985363 | Association | Bronchitis | IFNA3
35040417 | Association | COVID-19 | CXCR4
35866483 | Association | Cxcr4 | Pik3cg
35866483 | Association | Lung Injury | Ptpn1
35866483 | Association | Inflammation | Ptpn1
35866483 | Association | Akt1 | Cxcr4
35866483 | Association | Erythema elevatum diutinum | Ptpn1
35866483 | Association | Cxcr4 | Mtor
35866483 | Positive_Correlation | Mpo | Ptpn1
