26106076 | Association | Neoplasms | mic
16792726 | Negative_Correlation | Dyskinesias | CD4
35173763 | Association | Nitrogen | MTARC1
35173763 | Association | Neoplasms | MTARC2
35173763 | Association | Lipids | PPARA
35173763 | Association | Nitrogen | MTARC2
35173763 | Positive_Correlation | MTARC2 | B2M
35173763 | Positive_Correlation | HLA-C | MTARC2
35173763 | Association | Lipids | Neoplasms
35173763 | Association | PPARA | MTARC2
35173763 | Association | Nitrogen | CYB5A
35173763 | Negative_Correlation | Carcinoma Hepatocellular | MTARC2
35173763 | Association | Lipids | MTARC2
9842722 | Association | mica | polysulfone P 1700
33457075 | Association | Infections | KLRC1
33457075 | Association | Neoplasms | ERBB2
33457075 | Association | MICA | KLRK1
33457075 | Association | Neoplasms | KLRK1
33457075 | Bind | KLRK1 | KLRC1
33457075 | Bind | MICA | KLRC1
33457075 | Association | ERBB2 | KLRC1
33457075 | Association | ERBB2 | KLRK1
33457075 | Association | Infections | KLRK1
31611641 | Association | HIV Infections | TNPO1
37454198 | Association | Hematologic Neoplasms | HLA-B
37454198 | Negative_Correlation | Leukemia Myeloid Acute | KIR3DL2
37454198 | Positive_Correlation | Leukemia Myeloid Acute | KIR3DS1
37454198 | Association | Leukemia Myeloid Acute | KIR2DL1
34188163 | Association | Bevacizumab | Neoplasms
34188163 | Positive_Correlation | Bevacizumab | CD4
34188163 | Positive_Correlation | Bevacizumab | CD8A
34188163 | Negative_Correlation | Bevacizumab | ANGPT2
34188163 | Negative_Correlation | Bevacizumab | Triple Negative Breast Neoplasms
27004748 | Negative_Correlation | thiodigalactoside | Neoplasms
27004748 | Negative_Correlation | thiodigalactoside | IL10
27004748 | Negative_Correlation | thiodigalactoside | Mouth Neoplasms
27004748 | Negative_Correlation | thiodigalactoside | Squamous Cell Carcinoma of Head and Neck
35474089 | Negative_Correlation | IFNG | KIR2DL2
35474089 | Negative_Correlation | IFNG | KIR2DL1
35474089 | Association | IL2 | KIR2DL1
35474089 | Association | IL2 | KIR2DL2
35474089 | Association | Neoplasms | CD8A
35474089 | Association | IL2 | KIR2DL3
35474089 | Negative_Correlation | Glioblastoma | CD226
35474089 | Association | IL2 | CD4
35474089 | Association | Neoplasms | CD28
35474089 | Positive_Correlation | IL2 | CD28
35474089 | Negative_Correlation | Glioblastoma | NCR1
35474089 | Negative_Correlation | KIR2DL1 | KLRC2
35474089 | Negative_Correlation | Glioblastoma | KLRC2
35474089 | Association | Neoplasms | IL2
35474089 | Negative_Correlation | KIR2DL2 | KLRC2
35474089 | Association | Glioblastoma | KIR2DL1
35474089 | Association | Glioblastoma | IL2
35474089 | Negative_Correlation | IFNG | KIR2DL3
35474089 | Association | Glioblastoma | KIR2DL3
35474089 | Association | Neoplasms | PTPRC
35474089 | Negative_Correlation | KIR2DL3 | KLRC2
35474089 | Association | Glioblastoma | KIR2DL4
35474089 | Association | IL2 | CD8A
35474089 | Association | Neoplasms | CD4
35474089 | Association | Glioblastoma | IFNG
35474089 | Association | Glioblastoma | KIR2DL2
31597697 | Negative_Correlation | Foxp3 | Nlrp3
31597697 | Association | Inflammation | Nlrp3
31597697 | Association | Cd4 | Nlrp3
31597697 | Association | Kpna2 | Nlrp3
15888249 | Association | HIV Infections | KLRD1
15888249 | Positive_Correlation | HLA-E | CD4
15888249 | Negative_Correlation | HIV Infections | HLA-A
15888249 | Bind | HLA-E | KLRD1
15888249 | Positive_Correlation | HIV Infections | HLA-E
15888249 | Negative_Correlation | HIV Infections | HLA-C
15888249 | Negative_Correlation | HIV Infections | HLA-B
34791493 | Association | Heredodegenerative Disorders Nervous System | HLA-DRB1
34791493 | Association | Heredodegenerative Disorders Nervous System | HLA-A
26782362 | Negative_Correlation | Arthritis Rheumatoid | PIAS3
26782362 | Positive_Correlation | Arthritis Rheumatoid | STAT3
26782362 | Negative_Correlation | PIAS3 | STAT3
23417963 | Positive_Correlation | KLRK1 | IL15
23417963 | Association | Giant Cell Arteritis | KLRK1
23417963 | Association | Giant Cell Arteritis | CD28
23417963 | Positive_Correlation | KLRK1 | IFNG
23417963 | Association | Polymyalgia Rheumatica | KLRK1
23417963 | Association | KLRK1 | CD4
23417963 | Positive_Correlation | KLRK1 | TNF
23417963 | Positive_Correlation | KLRK1 | CD8A
23947399 | Positive_Correlation | Uterine Cervical Dysplasia | MICB
23947399 | Association | Virus Diseases | KLRK1
23947399 | Association | Chronic Disease | CD4
23947399 | Association | Chronic Disease | KLRK1
23947399 | Association | Uterine Cervical Dysplasia | CD4
23947399 | Negative_Correlation | Virus Diseases | CD4
23947399 | Association | Uterine Cervical Dysplasia | TNF
23947399 | Association | Uterine Cervical Dysplasia | KLRK1
23947399 | Association | KLRK1 | CD4
23947399 | Association | Uterine Cervical Dysplasia | CD8A
23947399 | Association | Uterine Cervical Dysplasia | IL15
23947399 | Association | Mouth Diseases | CD4
23947399 | Negative_Correlation | Uterine Cervical Dysplasia | TGFB1
32665270 | Association | Acquired Immunodeficiency Syndrome | HLA-C
32665270 | Association | HIV Infections | HLA-C
