24631022 | @CHEMICAL_galiellalactone | galiellalactone | 22 | 15 | Chemical | chemical | galiellalactone
24631022 | @GENE_NFKB1 | NFKB1 | 76 | 9 | Gene | gene | NF-kappaB
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 118 | 15 | Chemical | chemical | Galiellalactone
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 135 | 2 | Chemical | chemical | GL
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 249 | 2 | Chemical | chemical | GL
24631022 | @GENE_STAT3 | STAT3 | 290 | 57 | Gene | gene | signal transducer and activator of transcription (STAT)-3
24631022 | @GENE_NFKB1 | NFKB1 | 396 | 9 | Gene | gene | NF-kappaB
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 497 | 2 | Chemical | chemical | GL
24631022 | @GENE_NFKB1 | NFKB1 | 572 | 9 | Gene | gene | NF-kappaB
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 656 | 2 | Chemical | chemical | GL
24631022 | @GENE_NFKB1 | NFKB1 | 683 | 9 | Gene | gene | NF-kappaB
24631022 | @GENE_NFKB1 | NFKB1 | 759 | 9 | Gene | gene | NF-kappaB
24631022 | @GENE_NFKBIA | NFKBIA | 789 | 12 | Gene | gene | IkappaBalpha
24631022 | @GENE_RELA | RELA | 850 | 13 | Gene | gene | NF-kappaB p65
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 882 | 2 | Chemical | chemical | GL
24631022 | @GENE_RELA | RELA | 913 | 3 | Gene | gene | p65
24631022 | @GENE_KPNA3 | KPNA3 | 926 | 15 | Gene | gene | importin alpha3
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 1049 | 2 | Chemical | chemical | GL
24631022 | @GENE_RELA | RELA | 1061 | 3 | Gene | gene | p65
24631022 | @GENE_KPNA3 | KPNA3 | 1076 | 15 | Gene | gene | importin alpha3
24631022 | @CHEMICAL_galiellalactone | galiellalactone | 1104 | 2 | Chemical | chemical | GL
24631022 | @GENE_NFKB1 | NFKB1 | 1117 | 9 | Gene | gene | NF-kappaB
24631022 | @GENE_STAT3 | STAT3 | 1127 | 5 | Gene | gene | STAT3
24631022 | @DISEASE_Neoplasms | Neoplasms | 1229 | 6 | Disease | disease | cancer
24631022 | @DISEASE_Inflammation | Inflammation | 1240 | 21 | Disease | disease | inflammatory diseases
24695099 | @DISEASE_Tuberculosis | Tuberculosis | 103 | 12 | Disease | disease | Tuberculosis
24695099 | @DISEASE_Mycobacterium_Infections | Mycobacterium Infections | 485 | 23 | Disease | disease | Mycobacterium infection
24695099 | @DISEASE_Tuberculosis | Tuberculosis | 1125 | 12 | Disease | disease | tuberculosis
24814927 | @GENE_IFNA1 | IFNA1 | 19 | 3 | Gene | gene | IFN
24814927 | @GENE_IFNA1 | IFNA1 | 257 | 3 | Gene | gene | IFN
24814927 | @GENE_STAT1 | STAT1 | 405 | 57 | Gene | gene | signal transducer and activator of transcription (STAT) 1
24814927 | @GENE_STAT2 | STAT2 | 467 | 5 | Gene | gene | STAT2
24814927 | @GENE_STAT1 | STAT1 | 555 | 7 | Gene | gene | STAT1/2
24814927 | @GENE_KPNA1 | KPNA1 | 606 | 15 | Gene | gene | importin alpha5
24814927 | @GENE_STAT1 | STAT1 | 693 | 7 | Gene | gene | STAT1/2
24814927 | @GENE_IFNA1 | IFNA1 | 747 | 3 | Gene | gene | IFN
24814927 | @DISEASE_Infections | Infections | 769 | 9 | Disease | disease | infection
24814927 | @GENE_STAT1 | STAT1 | 818 | 7 | Gene | gene | STAT1/2
24814927 | @GENE_STAT1 | STAT1 | 871 | 5 | Gene | gene | STAT1
24814927 | @GENE_STAT1 | STAT1 | 935 | 7 | Gene | gene | STAT1/2
24814927 | @CHEMICAL_leptomycin_B | leptomycin B | 1044 | 12 | Chemical | chemical | Leptomycin B
24814927 | @GENE_STAT1 | STAT1 | 1120 | 7 | Gene | gene | STAT1/2
24814927 | @GENE_SH2D3A | SH2D3A | 1380 | 4 | Gene | gene | NSP1
24814927 | @GENE_IFNA1 | IFNA1 | 1512 | 3 | Gene | gene | IFN
24814927 | @GENE_STAT1 | STAT1 | 1527 | 5 | Gene | gene | STAT1
24814927 | @GENE_STAT1 | STAT1 | 1646 | 7 | Gene | gene | STAT1/2
24814927 | @GENE_KPNA1 | KPNA1 | 1660 | 15 | Gene | gene | importin alpha5
24814927 | @DISEASE_Rotavirus_Infections | Rotavirus Infections | 1695 | 19 | Disease | disease | rotavirus infection
24814927 | @GENE_IFNA1 | IFNA1 | 1803 | 3 | Gene | gene | IFN
25121743 | @DISEASE_Virus_Diseases | Virus Diseases | 83 | 15 | Disease | disease | viral infection
25121743 | @GENE_STAT1 | STAT1 | 104 | 5 | Gene | gene | STAT1
25121743 | @GENE_STAT1 | STAT1 | 344 | 5 | Gene | gene | STAT1
26000204 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 99 | 25 | Disease | disease | graft versus host disease
26000204 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 350 | 25 | Disease | disease | graft versus host disease
26000204 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 377 | 4 | Disease | disease | GVHD
26000204 | @GENE_CD4 | Cd4 | 544 | 3 | Gene | gene | CD4
26000204 | @GENE_EPHB2 | EPHB2 | 754 | 5 | Gene | gene | EphB2
26000204 | @GENE_EFNB2 | EFNB2 | 764 | 9 | Gene | gene | ephrin-B2
26000204 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 803 | 4 | Disease | disease | GVHD
26000204 | @GENE_CCR5 | Ccr5 | 977 | 4 | Gene | gene | CCR5
26000204 | @GENE_CXCR3 | Cxcr3 | 983 | 5 | Gene | gene | CXCR3
26000204 | @GENE_CCR7 | Ccr7 | 993 | 4 | Gene | gene | CCR7
26000204 | @GENE_CCL5 | Ccl5 | 1068 | 6 | Gene | gene | RANTES
26000204 | @GENE_CCL5 | Ccl5 | 1076 | 4 | Gene | gene | CCL5
26000204 | @GENE_STAT5A | Stat5a | 1101 | 10 | Gene | gene | STAT 5A/B.
26000204 | @GENE_CCL3 | Ccl3 | 1159 | 4 | Gene | gene | CCL3
26000204 | @GENE_CXCL9 | Cxcl9 | 1168 | 5 | Gene | gene | CXCL9
26000204 | @GENE_NOS2 | Nos2 | 1231 | 4 | Gene | gene | iNOS
26000204 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 1275 | 4 | Disease | disease | GVHD
