23926326 | Association | Meningococcal Infections | pJS-B_06
26320399 | Positive_Correlation | NPIPB3 | STAT1
26320399 | Positive_Correlation | NPIPB3 | IFNB1
27036372 | Association | Arthritis | MRAP
27036372 | Association | Spondylarthropathies | MRAP
27036372 | Association | Spondylitis Ankylosing | HLA-B
27036372 | Association | Spondylarthropathies | HLA-B
27036372 | Association | Spondylarthropathies | CYCSP25
27036372 | Association | Spondylitis Ankylosing | MRAP
28212352 | Association | Lipopolysaccharides | Tlr4
28212352 | Positive_Correlation | Lipopolysaccharides | MRGPRF
33037393 | Positive_Correlation | Obesity | SERPINE1
33037393 | Association | Hyaluronic Acid | COVID-19
33037393 | Association | Blood Coagulation Disorders | SERPINE1
33037393 | Association | COVID-19 | STAT3
33037393 | Association | COVID-19 | ORF6
33037393 | Association | COVID-19 | SERPINE1
33037393 | Association | SERPINE1 | STAT3
33037393 | Positive_Correlation | COVID-19 | SH2D3A
33037393 | Association | COVID-19 | STAT1
33037393 | Association | Hypertension | SERPINE1
33037393 | Association | Cardiovascular Diseases | SERPINE1
33037393 | Association | Infections | SERPINE1
33037393 | Positive_Correlation | Lung Injury | EGFR
33037393 | Association | SERPINE1 | TLR4
33037393 | Association | Brain Injuries Diffuse | SERPINE1
33037393 | Positive_Correlation | Hyaluronic Acid | SERPINE1
33037393 | Positive_Correlation | Diabetes Mellitus | SERPINE1
33037393 | Positive_Correlation | Hyaluronic Acid | Brain Injuries Diffuse
33037393 | Association | Lung Injury | STAT3
33124193 | Association | Steroids | COVID-19
33124193 | Association | pyrimidine | COVID-19
33124193 | Association | COVID-19 | ACE2
33980688 | Positive_Correlation | Respiratory Distress Syndrome | IL1B
33980688 | Positive_Correlation | Respiratory Distress Syndrome | IL6
33980688 | Association | Syndrome | ACE2
33980688 | Positive_Correlation | Respiratory Distress Syndrome | CXCL10
33980688 | Association | Cytokine Release Syndrome | ACE2
33980688 | Association | COVID-19 | ACE2
33980688 | Association | Syndrome | AGTR1
33980688 | Association | Cytokine Release Syndrome | AGT
33980688 | Positive_Correlation | COVID-19 | IL6
33980688 | Positive_Correlation | COVID-19 | IL1B
33980688 | Association | Syndrome | AGT
33980688 | Association | COVID-19 | CXCL10
33980688 | Positive_Correlation | AGT | ACE2
33980688 | Positive_Correlation | COVID-19 | TNF
33980688 | Association | Inflammation | IFNA1
33980688 | Association | Respiratory Distress Syndrome | CCL2
33980688 | Positive_Correlation | COVID-19 | CCL3
33980688 | Association | COVID-19 | IFNA1
33980688 | Association | Cytokine Release Syndrome | AGTR1
33980688 | Positive_Correlation | COVID-19 | AGTR1
33980688 | Positive_Correlation | COVID-19 | AGT
33980688 | Positive_Correlation | Respiratory Distress Syndrome | CCL3
33980688 | Association | AGTR1 | ACE2
33980688 | Positive_Correlation | Respiratory Distress Syndrome | TNF
33980688 | Association | COVID-19 | CCL2
34133899 | Association | Virus Diseases | ORF3a
34133899 | Association | ORF7a | ORF7b
34133899 | Association | ORF7a | ORF8
34133899 | Association | Virus Diseases | ORF6
34133899 | Association | ORF7b | ORF8
34484133 | Association | IRF3 | ORF7b
