28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 36 | 37 | Disease | disease | head and neck squamous cell carcinoma
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 204 | 37 | Disease | disease | head and neck squamous cell carcinoma
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 243 | 5 | Disease | disease | HNSCC
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 295 | 5 | Disease | disease | HNSCC
28559015 | @GENE_HLA_A | HLA-A | 421 | 20 | Gene | gene | HLA-A, B, Cw) and II
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 515 | 5 | Disease | disease | HNSCC
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 612 | 5 | Disease | disease | HNSCC
28559015 | @GENE_HLA_A | HLA-A | 775 | 8 | Gene | gene | HLA-A, B
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 962 | 5 | Disease | disease | HNSCC
28559015 | @GENE_HLA_B | HLA-B | 997 | 5 | Gene | gene | HLA-B
28559015 | @GENE_HLA_C | HLA-C | 1176 | 6 | Gene | gene | HLA-Cw
28559015 | @GENE_HLA_DRB4 | HLA-DRB4 | 1187 | 4 | Gene | gene | DRB4
28559015 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1521 | 10 | Disease | disease | metastasis
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1682 | 5 | Disease | disease | HNSCC
28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1760 | 5 | Disease | disease | HNSCC
34083274 | @GENE_CD74 | CD74 | 11 | 4 | Gene | gene | CD74
34083274 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 62 | 20 | Disease | disease | Renal Cell Carcinoma
34083274 | @GENE_CD74 | CD74 | 163 | 4 | Gene | gene | CD74
34083274 | @GENE_CD74 | CD74 | 337 | 4 | Gene | gene | CD74
34083274 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 402 | 20 | Disease | disease | renal cell carcinoma
34083274 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 424 | 3 | Disease | disease | RCC
34083274 | @GENE_HLA_A | HLA-A | 503 | 9 | Gene | gene | HLA-A/B/C
34083274 | @GENE_CD74 | CD74 | 526 | 4 | Gene | gene | CD74
34083274 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 560 | 3 | Disease | disease | RCC
34083274 | @DISEASE_Allan_Herndon_Dudley_syndrome | Allan-Herndon-Dudley syndrome | 565 | 2 | Disease | disease | T3
34083274 | @GENE_CD4 | CD4 | 611 | 3 | Gene | gene | CD4
34083274 | @GENE_CD8A | CD8A | 619 | 3 | Gene | gene | CD8
34083274 | @GENE_HLA_A | HLA-A | 707 | 9 | Gene | gene | HLA-A/B/C
34083274 | @GENE_CD74 | CD74 | 730 | 4 | Gene | gene | CD74
34083274 | @DISEASE_Neoplasms | Neoplasms | 738 | 6 | Disease | disease | cancer
34083274 | @GENE_CD8A | CD8A | 821 | 3 | Gene | gene | CD8
34083274 | @GENE_CD4 | CD4 | 830 | 3 | Gene | gene | CD4
34083274 | @GENE_CD4 | CD4 | 920 | 3 | Gene | gene | CD4
34083274 | @GENE_CD74 | CD74 | 979 | 4 | Gene | gene | CD74
34083274 | @GENE_CD74 | CD74 | 1046 | 4 | Gene | gene | CD74
34083274 | @DISEASE_Neoplasms | Neoplasms | 1055 | 6 | Disease | disease | cancer
34083274 | @DISEASE_Neoplasms | Neoplasms | 1109 | 6 | Disease | disease | cancer
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 14 | 40 | Gene | gene | killer cell immunoglobulin-like receptor
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 56 | 3 | Gene | gene | KIR
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 157 | 15 | Disease | disease | prostate cancer
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 380 | 3 | Gene | gene | KIR
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 408 | 3 | Gene | gene | KIR
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 468 | 15 | Disease | disease | prostate cancer
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 485 | 2 | Disease | disease | PC
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 521 | 3 | Gene | gene | KIR
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 638 | 2 | Disease | disease | PC
36599262 | @GENE_KIR2DL5A | KIR2DL5A | 682 | 7 | Gene | gene | KIR2DL5
36599262 | @GENE_KIR2DS5 | KIR2DS5 | 736 | 7 | Gene | gene | KIR2DS5
36599262 | @GENE_KIR2DS5 | KIR2DS5 | 938 | 7 | Gene | gene | KIR2DS5
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1043 | 2 | Disease | disease | PC
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 1153 | 3 | Gene | gene | KIR
