35408447 | @GENE_AGTR1 | AGTR1 | 32 | 4 | Gene | gene | AT1R
35408447 | @DISEASE_COVID_19 | COVID-19 | 56 | 28 | Disease | disease | COVID-19-Associated Diseases
35408447 | @GENE_ACE2 | ACE2 | 215 | 31 | Gene | gene | angiotensin-converting enzyme 2
35408447 | @GENE_ACE2 | ACE2 | 248 | 4 | Gene | gene | ACE2
35408447 | @GENE_REN | REN | 335 | 5 | Gene | gene | renin
35408447 | @GENE_AP2B1 | AP2B1 | 382 | 3 | Gene | gene | ACE
35408447 | @GENE_AGT | AGT | 386 | 14 | Gene | gene | angiotensin II
35408447 | @GENE_AGTR1 | AGTR1 | 442 | 4 | Gene | gene | AT1R
35408447 | @GENE_AGTR1 | AGTR1 | 454 | 4 | Gene | gene | AT1R
35408447 | @DISEASE_COVID_19 | COVID-19 | 601 | 20 | Disease | disease | SARS-CoV-2 infection
35408447 | @GENE_AGTR1 | AGTR1 | 752 | 4 | Gene | gene | AT1R
35408447 | @DISEASE_Cytokine_Release_Syndrome | Cytokine Release Syndrome | 819 | 14 | Disease | disease | cytokine storm
35408447 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 842 | 35 | Disease | disease | acute respiratory distress syndrome
35408447 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 879 | 4 | Disease | disease | ARDS
35408447 | @GENE_AGTR1 | AGTR1 | 886 | 4 | Gene | gene | AT1R
35408447 | @GENE_CXCR6 | CXCR6 | 908 | 26 | Gene | gene | G protein-coupled receptor
35408447 | @GENE_CXCR6 | CXCR6 | 936 | 4 | Gene | gene | GPCR
35408447 | @GENE_MAPK3 | MAPK3 | 1082 | 7 | Gene | gene | ERK 1/2
35408447 | @GENE_MAPK8 | MAPK8 | 1091 | 3 | Gene | gene | JNK
35408447 | @GENE_EGFR | EGFR | 1139 | 4 | Gene | gene | EGFR
35408447 | @GENE_INSR | INSR | 1145 | 16 | Gene | gene | insulin receptor
35408447 | @GENE_SRC | SRC | 1198 | 3 | Gene | gene | Src
35408447 | @GENE_PTK2 | PTK2 | 1213 | 21 | Gene | gene | focal adhesion kinase
35408447 | @GENE_PTK2 | PTK2 | 1236 | 3 | Gene | gene | FAK
35408447 | @GENE_DUOX2 | DUOX2 | 1247 | 59 | Gene | gene | nicotinamide adenine dinucleotide phosphate (NADPH) oxidase
35408447 | @DISEASE_COVID_19 | COVID-19 | 1308 | 8 | Disease | disease | COVID-19
35408447 | @GENE_ACE2 | ACE2 | 1380 | 4 | Gene | gene | ACE2
35408447 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 1489 | 20 | Disease | disease | neurologic disorders
35408447 | @DISEASE_Liver_Diseases | Liver Diseases | 1527 | 24 | Disease | disease | myocardial complications
35408447 | @DISEASE_Kidney_Diseases | Kidney Diseases | 1553 | 13 | Disease | disease | kidney injury
