28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-C
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-A
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-DRB4
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-B
34083274 | Association | Carcinoma Renal Cell | HLA-B
34083274 | Association | Carcinoma Renal Cell | HLA-C
34083274 | Association | Neoplasms | HLA-B
34083274 | Association | Carcinoma Renal Cell | HLA-A
34083274 | Association | Neoplasms | HLA-C
34083274 | Association | Carcinoma Renal Cell | CD74
34083274 | Association | CD4 | CD74
34083274 | Association | Neoplasms | HLA-A
34083274 | Association | Neoplasms | CD74
36599262 | Association | Prostatic Neoplasms | KIR3DS1
36599262 | Association | Prostatic Neoplasms | KIR3DL1
36599262 | Association | Prostatic Neoplasms | KIR2DS5
36599262 | Association | Neoplasms | KIR3DL1
36599262 | Association | Prostatic Neoplasms | KIR3DL2
36599262 | Association | Prostatic Neoplasms | KIR2DL5A
36969239 | Negative_Correlation | COVID-19 | Cd4
36969239 | Association | COVID-19 | S
36969239 | Negative_Correlation | Death | Nusap1
36969239 | Positive_Correlation | Nusap1 | Cd4
36969239 | Association | Infections | Nusap1
36996809 | Association | COVID-19 | CD8A
37047435 | Association | Axial Spondyloarthritis | TRBV20OR9-2
37074725 | Association | Stevens-Johnson Syndrome | CD4
37074725 | Positive_Correlation | Carbamazepine | Stevens-Johnson Syndrome
37074725 | Association | Carbamazepine | CD8A
37074725 | Association | GNLY | CD4
37074725 | Association | Carbamazepine | CD4
37074725 | Positive_Correlation | Carbamazepine | Hypersensitivity
37074725 | Association | Stevens-Johnson Syndrome | GNLY
37074725 | Association | Carbamazepine | GNLY
37074725 | Association | Hypersensitivity | CD4
37074725 | Positive_Correlation | Carbamazepine | Exanthema
37168557 | Association | Neoplasms | HLA-A
37177979 | Association | Carcinoma Squamous Cell | SOX21
37177979 | Association | Carcinoma Squamous Cell | CD4
37177979 | Association | Carcinoma Squamous Cell | HLA-DRB5
37177979 | Association | Carcinoma Squamous Cell | ICAM2
37177979 | Association | Carcinoma Squamous Cell | HLA-C
37177979 | Association | Carcinoma Squamous Cell | MIR4316
37177979 | Association | Carcinoma Squamous Cell | IL4
37177979 | Association | Carcinoma Squamous Cell | HLA-DQA1
37177979 | Association | Carcinoma Squamous Cell | CD40LG
37177979 | Association | Carcinoma Squamous Cell | HLA-A
