1788521 | @CHEMICAL_Soman | Soman | 62 | 5 | Chemical | chemical | soman
1788521 | @CHEMICAL_Soman | Soman | 191 | 5 | Chemical | chemical | soman
1788521 | @CHEMICAL_Pyridostigmine_Bromide | Pyridostigmine Bromide | 213 | 14 | Chemical | chemical | Pyridostigmine
1788521 | @CHEMICAL_Atropine | Atropine | 302 | 8 | Chemical | chemical | atropine
1788521 | @CHEMICAL_Obidoxime_Chloride | Obidoxime Chloride | 312 | 9 | Chemical | chemical | obidoxime
1788521 | @CHEMICAL_Trimedoxime | Trimedoxime | 329 | 11 | Chemical | chemical | trimedoxime
1788521 | @CHEMICAL_Diazepam | Diazepam | 346 | 8 | Chemical | chemical | diazepam
1788521 | @CHEMICAL_Soman | Soman | 399 | 5 | Chemical | chemical | soman
1788521 | @CHEMICAL_Pyridostigmine_Bromide | Pyridostigmine Bromide | 421 | 14 | Chemical | chemical | pyridostigmine
1788521 | @CHEMICAL_Trihexyphenidyl | Trihexyphenidyl | 441 | 15 | Chemical | chemical | trihexyphenidyl
1788521 | @CHEMICAL_Benactyzine | Benactyzine | 458 | 11 | Chemical | chemical | benactyzine
5071791 | @CHEMICAL_Obidoxime_Chloride | Obidoxime Chloride | 17 | 9 | Chemical | chemical | obidoxime
5071791 | @GENE_ACHE | Ache | 30 | 20 | Gene | gene | acetylcholinesterase
5071791 | @CHEMICAL_Sarin | Sarin | 108 | 35 | Chemical | chemical | isopropylmethyl phosphonofluoridate
5110203 | @CHEMICAL_Atropine | Atropine | 11 | 8 | Chemical | chemical | atropine
5110203 | @CHEMICAL_Trimedoxime | Trimedoxime | 24 | 11 | Chemical | chemical | trimedoxime
5110203 | @GENE_ACHE | Ache | 43 | 20 | Gene | gene | acetylcholinesterase
5132126 | @CHEMICAL_Trimedoxime | Trimedoxime | 13 | 11 | Chemical | chemical | trimedoxime
5132126 | @CHEMICAL_Atropine | Atropine | 29 | 8 | Chemical | chemical | atropine
5132126 | @GENE_ACHE | Ache | 41 | 20 | Gene | gene | acetylcholinesterase
5132126 | @CHEMICAL_Sarin | Sarin | 118 | 35 | Chemical | chemical | isopropylmethyl phosphonofluoridate
9572990 | @GENE_STAT3 | STAT3 | 14 | 6 | Gene | gene | Stat-3
9572990 | @GENE_TYK2 | TYK2 | 421 | 4 | Gene | gene | Tyk2
9572990 | @GENE_JAK1 | JAK1 | 435 | 4 | Gene | gene | Jak1
9572990 | @GENE_JAK2 | JAK2 | 441 | 4 | Gene | gene | Jak2
9572990 | @GENE_JAK3 | JAK3 | 451 | 4 | Gene | gene | Jak3
9572990 | @GENE_STAT3 | STAT3 | 495 | 6 | Gene | gene | Stat-3
9572990 | @GENE_STAT3 | STAT3 | 681 | 6 | Gene | gene | Stat-3
9572990 | @GENE_IFNG | IFNG | 780 | 16 | Gene | gene | interferon-gamma
9572990 | @GENE_FOS | FOS | 825 | 5 | Gene | gene | c-fos
9572990 | @GENE_STAT3 | STAT3 | 921 | 6 | Gene | gene | Stat-3
9572990 | @GENE_STAT3 | STAT3 | 992 | 6 | Gene | gene | Stat-3
9572990 | @CHEMICAL_Sepharose | Sepharose | 1069 | 7 | Chemical | chemical | agarose
9572990 | @GENE_STAT3 | STAT3 | 1123 | 6 | Gene | gene | Stat-3
9572990 | @GENE_STAT3 | STAT3 | 1182 | 6 | Gene | gene | Stat-3
9572990 | @GENE_STAT3 | STAT3 | 1263 | 6 | Gene | gene | Stat-3
10477719 | @GENE_JAK3 | Jak3 | 70 | 4 | Gene | gene | Jak3
10477719 | @GENE_IL3 | Il3 | 93 | 13 | Gene | gene | interleukin-3
10477719 | @GENE_IL7 | Il7 | 157 | 13 | Gene | gene | interleukin-7
10477719 | @GENE_IL7 | Il7 | 172 | 4 | Gene | gene | IL-7
10477719 | @GENE_JAK3 | Jak3 | 244 | 4 | Gene | gene | Jak3
10477719 | @DISEASE_Immunologic_Deficiency_Syndromes | Immunologic Deficiency Syndromes | 250 | 15 | Disease | disease | Jak3 deficiency
10477719 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 280 | 32 | Disease | disease | severe combined immunodeficiency
10477719 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 314 | 4 | Disease | disease | SCID
10477719 | @GENE_IL3 | IL3 | 340 | 4 | Gene | gene | IL-3
10477719 | @GENE_IL7 | IL7 | 394 | 4 | Gene | gene | IL-7
10477719 | @GENE_STAT5A | STAT5A | 408 | 5 | Gene | gene | Stat5
10477719 | @GENE_JAK2 | Jak2 | 466 | 4 | Gene | gene | Jak2
10477719 | @GENE_JAK3 | Jak3 | 483 | 4 | Gene | gene | Jak3
10477719 | @GENE_IL7 | Il7 | 526 | 4 | Gene | gene | IL-7
10477719 | @GENE_JAK3 | Jak3 | 573 | 4 | Gene | gene | Jak3
10477719 | @GENE_IL3 | Il3 | 604 | 4 | Gene | gene | IL-3
10477719 | @GENE_JAK3 | Jak3 | 679 | 4 | Gene | gene | Jak3
10477719 | @GENE_JAK3 | Jak3 | 703 | 4 | Gene | gene | Jak3
10477719 | @GENE_IL3 | Il3 | 742 | 4 | Gene | gene | IL-3
10477719 | @GENE_CD4 | Cd4 | 874 | 3 | Gene | gene | CD4
10477719 | @GENE_PTPRC | Ptprc | 894 | 4 | Gene | gene | B220
10477719 | @GENE_IGHM | Ighm | 902 | 3 | Gene | gene | IgM
10477719 | @GENE_IL3 | Il3 | 1031 | 4 | Gene | gene | IL-3
10477719 | @GENE_JAK3 | Jak3 | 1044 | 4 | Gene | gene | Jak3
10477719 | @DISEASE_Neoplasms | Neoplasms | 1145 | 5 | Disease | disease | tumor
10477719 | @GENE_IL3 | Il3 | 1230 | 4 | Gene | gene | IL-3
10477719 | @DISEASE_Influenza_Human | Influenza Human | 1261 | 9 | Disease | disease | influenza
10477719 | @GENE_IL3 | Il3 | 1348 | 4 | Gene | gene | IL-3
10477719 | @GENE_IL7R | Il7r | 1434 | 10 | Gene | gene | IL-7Ralpha
10477719 | @GENE_IL3RA | IL3RA | 1448 | 10 | Gene | gene | IL-3Ralpha
10477719 | @GENE_IL7R | IL7R | 1545 | 5 | Gene | gene | IL-7R
10477719 | @GENE_IL3RA | IL3RA | 1595 | 5 | Gene | gene | IL-3R
10477719 | @GENE_IL3 | Il3 | 1633 | 4 | Gene | gene | IL-3
10477719 | @GENE_IL3 | Il3 | 1647 | 4 | Gene | gene | IL-3
10477719 | @GENE_STAT5A | Stat5a | 1662 | 5 | Gene | gene | Stat5
10477719 | @GENE_IL7 | Il7 | 1682 | 4 | Gene | gene | IL-7
10477719 | @GENE_IL3 | Il3 | 1700 | 4 | Gene | gene | IL-3
10477719 | @DISEASE_X_Linked_Combined_Immunodeficiency_Diseases | X-Linked Combined Immunodeficiency Diseases | 1743 | 32 | Disease | disease | X-linked and Jak3-deficient SCID
10993288 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 43 | 32 | Disease | disease | severe combined immunodeficiency
10993288 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 77 | 32 | Disease | disease | Severe Combined Immunodeficiency
10993288 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 111 | 4 | Disease | disease | SCID
10993288 | @DISEASE_Immunologic_Deficiency_Syndromes | Immunologic Deficiency Syndromes | 130 | 16 | Disease | disease | immunodeficiency
10993288 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 288 | 4 | Disease | disease | SCID
10993288 | @GENE_IL4 | IL4 | 481 | 4 | Gene | gene | IL-4
