2784466 | @GENE_CD8B1 | Cd8b1 | 44 | 9 | Gene | gene | CD8 beta-
2784466 | @GENE_CD8B1 | Cd8b1 | 60 | 4 | Gene | gene | Ly-3
2784466 | @GENE_LY31 | Ly31 | 248 | 6 | Gene | gene | Ly-3.1
2784466 | @GENE_CD72 | Cd72 | 259 | 6 | Gene | gene | Ly-3.2
2784466 | @GENE_CD8B1 | Cd8b1 | 716 | 4 | Gene | gene | Ly-3
2784466 | @GENE_CD8A | Cd8a | 948 | 4 | Gene | gene | Ly-2
2784466 | @GENE_IGH | IGH | 1066 | 4 | Gene | gene | Ig H
2784466 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1081 | 3 | Gene | gene | TCR
2784466 | @GENE_LY31 | Ly31 | 1181 | 6 | Gene | gene | Ly-3.1
2784466 | @GENE_CD72 | Cd72 | 1192 | 6 | Gene | gene | Ly-3.2
2784466 | @GENE_CD8B1 | Cd8b1 | 1375 | 4 | Gene | gene | Ly-3
2896072 | @GENE_THY1 | THY1 | 25 | 5 | Gene | gene | Thy-1
2896072 | @GENE_CD8A | CD8A | 167 | 3 | Gene | gene | CD8
2896072 | @GENE_THY1 | THY1 | 312 | 5 | Gene | gene | Thy-1
2896072 | @GENE_THY1 | THY1 | 362 | 5 | Gene | gene | Thy-1
2896072 | @GENE_IFNG | IFNG | 431 | 16 | Gene | gene | interferon-gamma
2896072 | @GENE_IFNG | IFNG | 449 | 9 | Gene | gene | IFN-gamma
2896072 | @GENE_THY1 | THY1 | 498 | 5 | Gene | gene | Thy-1
2896072 | @GENE_THY1 | THY1 | 559 | 5 | Gene | gene | Thy-1
2896072 | @GENE_IFNG | IFNG | 740 | 9 | Gene | gene | IFN-gamma
2896072 | @GENE_THY1 | THY1 | 782 | 5 | Gene | gene | Thy-1
2896072 | @GENE_THY1 | THY1 | 984 | 5 | Gene | gene | Thy-1
2896072 | @GENE_CD8B | CD8B | 1117 | 7 | Gene | gene | Lyt-2/3
2896072 | @GENE_THY1 | THY1 | 1284 | 5 | Gene | gene | Thy-1
2896072 | @GENE_CD8B | CD8B | 1358 | 7 | Gene | gene | Lyt-2/3
2896072 | @GENE_THY1 | THY1 | 1409 | 5 | Gene | gene | Thy-1
2896072 | @GENE_CD8B | CD8B | 1448 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 21 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 180 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B | CD8B | 312 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8A | CD8A | 422 | 5 | Gene | gene | Leu-2
3035575 | @GENE_CD8A | CD8A | 432 | 3 | Gene | gene | CD8
3035575 | @GENE_CD8B1 | Cd8b1 | 582 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 702 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 1048 | 5 | Gene | gene | Lyt-3
3035575 | @GENE_CD8B1 | Cd8b1 | 1286 | 5 | Gene | gene | Lyt-3
3084649 | @GENE_CD2 | CD2 | 39 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 57 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 182 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 318 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 442 | 3 | Gene | gene | CD2
3084649 | @GENE_HLA_C | HLA-C | 480 | 3 | Gene | gene | MHC
3084649 | @GENE_CD2 | CD2 | 539 | 3 | Gene | gene | CD2
3084649 | @GENE_CD8A | CD8A | 664 | 3 | Gene | gene | CD8
3084649 | @GENE_CD2 | CD2 | 688 | 3 | Gene | gene | CD2
3084649 | @GENE_HLA_C | HLA-C | 738 | 3 | Gene | gene | MHC
3084649 | @GENE_CD2 | CD2 | 786 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 836 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 919 | 3 | Gene | gene | CD2
3084649 | @GENE_CD8B | CD8B | 1055 | 5 | Gene | gene | Lyt-3
3084649 | @GENE_CD8B | CD8B | 1129 | 5 | Gene | gene | Lyt-3
3084649 | @GENE_CD2 | CD2 | 1258 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1272 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1355 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1423 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1479 | 3 | Gene | gene | CD2
