37403086 | @CHEMICAL_demethylzeylasteral | demethylzeylasteral | 30 | 19 | Chemical | chemical | demethylzeylasteral
37403086 | @DISEASE_Vitiligo | Vitiligo | 84 | 8 | Disease | disease | vitiligo
37403086 | @GENE_CD8A | CD8A | 124 | 3 | Gene | gene | CD8
37403086 | @DISEASE_Vitiligo | Vitiligo | 240 | 8 | Disease | disease | vitiligo
37403086 | @DISEASE_Vitiligo | Vitiligo | 351 | 8 | Disease | disease | vitiligo
37403086 | @CHEMICAL_demethylzeylasteral | demethylzeylasteral | 451 | 19 | Chemical | chemical | Demethylzeylasteral
37403086 | @DISEASE_Inflammation | Inflammation | 562 | 12 | Disease | disease | inflammatory
37403086 | @DISEASE_Vitiligo | Vitiligo | 650 | 8 | Disease | disease | vitiligo
37403086 | @GENE_CD8A | CD8A | 679 | 3 | Gene | gene | CD8
37403086 | @GENE_CD8A | CD8A | 826 | 3 | Gene | gene | CD8
37403086 | @GENE_CD8A | CD8A | 1032 | 3 | Gene | gene | CD8
37403086 | @GENE_CD8A | CD8A | 1106 | 3 | Gene | gene | CD8
37403086 | @CHEMICAL_tofacitinib | tofacitinib | 1250 | 11 | Chemical | chemical | tofacitinib
37403086 | @CHEMICAL_tofacitinib | tofacitinib | 1263 | 4 | Chemical | chemical | Tofa
37403086 | @DISEASE_Vitiligo | Vitiligo | 1276 | 8 | Disease | disease | vitiligo
37403086 | @GENE_CD69 | Cd69 | 1342 | 4 | Gene | gene | CD69
37403086 | @GENE_IFNG | Ifng | 1372 | 9 | Gene | gene | IFN-gamma
37403086 | @GENE_GZMB | Gzmb | 1383 | 10 | Gene | gene | granzyme B
37403086 | @GENE_CD8A | CD8A | 1432 | 3 | Gene | gene | CD8
37403086 | @DISEASE_Vitiligo | Vitiligo | 1473 | 8 | Disease | disease | vitiligo
37403086 | @GENE_JAK3 | Jak3 | 1592 | 4 | Gene | gene | JAK3
37403086 | @GENE_CD8A | CD8A | 1600 | 3 | Gene | gene | CD8
37403086 | @GENE_JAK3 | JAK3 | 1647 | 4 | Gene | gene | JAK3
37403086 | @GENE_STAT5A | STAT5A | 1656 | 5 | Gene | gene | STAT5
37403086 | @GENE_IL2 | IL2 | 1688 | 4 | Gene | gene | IL-2
37403086 | @GENE_IFNG | Ifng | 1734 | 9 | Gene | gene | IFN-gamma
37403086 | @GENE_JAK3 | Jak3 | 1779 | 4 | Gene | gene | JAK3
37403086 | @GENE_JAK3 | JAK3 | 1848 | 4 | Gene | gene | JAK3
37403086 | @GENE_JAK2 | Jak2 | 1904 | 4 | Gene | gene | JAK2
37403086 | @GENE_IFNG | Ifng | 1912 | 9 | Gene | gene | IFN-gamma
37403086 | @GENE_JAK2 | Jak2 | 1977 | 4 | Gene | gene | JAK2
37403086 | @GENE_STAT1 | Stat1 | 2041 | 5 | Gene | gene | STAT1
37403086 | @GENE_CXCL9 | Cxcl9 | 2093 | 5 | Gene | gene | CXCL9
37403086 | @GENE_CXCL10 | Cxcl10 | 2103 | 6 | Gene | gene | CXCL10
37403086 | @GENE_STAT1 | Stat1 | 2146 | 5 | Gene | gene | STAT1
37403086 | @GENE_CXCL9 | Cxcl9 | 2156 | 8 | Gene | gene | CXCL9/10
37403086 | @GENE_JAK2 | Jak2 | 2186 | 4 | Gene | gene | JAK2
37403086 | @GENE_STAT1 | Stat1 | 2234 | 5 | Gene | gene | STAT1
37403086 | @GENE_CXCL9 | Cxcl9 | 2240 | 8 | Gene | gene | CXCL9/10
37403086 | @GENE_JAK2 | Jak2 | 2264 | 4 | Gene | gene | JAK2
37403086 | @GENE_CXCR3 | Cxcr3 | 2334 | 5 | Gene | gene | CXCR3
37403086 | @GENE_IFNG | Ifng | 2397 | 9 | Gene | gene | IFN-gamma
37403086 | @GENE_CXCR3 | Cxcr3 | 2464 | 5 | Gene | gene | CXCR3
37403086 | @GENE_CD8A | CD8A | 2470 | 3 | Gene | gene | CD8
37403086 | @CHEMICAL_tofacitinib | tofacitinib | 2497 | 4 | Chemical | chemical | Tofa
37403086 | @DISEASE_Vitiligo | Vitiligo | 2605 | 8 | Disease | disease | vitiligo
37403086 | @GENE_CD8A | CD8A | 2693 | 3 | Gene | gene | CD8
37601789 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 69 | 22 | Disease | disease | coronavirus infections
37601789 | @DISEASE_COVID_19 | COVID-19 | 110 | 8 | Disease | disease | COVID-19
37601789 | @DISEASE_COVID_19 | COVID-19 | 202 | 8 | Disease | disease | COVID-19
37601789 | @DISEASE_Infections | Infections | 230 | 9 | Disease | disease | infection
37601789 | @GENE_KIR2DS2 | KIR2DS2 | 683 | 7 | Gene | gene | KIR2DS2
37601789 | @GENE_HLA_G | HLA-G | 770 | 5 | Gene | gene | HLA-G
37601789 | @GENE_KIR2DS5 | KIR2DS5 | 794 | 7 | Gene | gene | KIR2DS5
37601789 | @GENE_KIR2DL4 | KIR2DL4 | 824 | 3 | Gene | gene | KIR
37601789 | @DISEASE_COVID_19 | COVID-19 | 1309 | 8 | Disease | disease | COVID-19
37850268 | @GENE_HLA_DPB1 | HLA-DPB1 | 0 | 8 | Gene | gene | HLA-DPB1
37850268 | @GENE_KIR2DS4 | KIR2DS4 | 46 | 7 | Gene | gene | KIR2DS4
37850268 | @DISEASE_COVID_19 | COVID-19 | 108 | 8 | Disease | disease | COVID-19
37850268 | @GENE_HLA_A | HLA-A | 142 | 3 | Gene | gene | HLA
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 150 | 41 | Gene | gene | killer-cell immunoglobulin-like receptors
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 193 | 3 | Gene | gene | KIR
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 362 | 3 | Gene | gene | KIR
37850268 | @GENE_HLA_A | HLA-A | 467 | 3 | Gene | gene | HLA
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 475 | 3 | Gene | gene | KIR
37850268 | @DISEASE_COVID_19 | COVID-19 | 511 | 8 | Disease | disease | COVID-19
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 560 | 3 | Gene | gene | KIR
37850268 | @DISEASE_COVID_19 | COVID-19 | 638 | 19 | Disease | disease | SARS-CoV-2 infected
37850268 | @GENE_KIR2DS4 | KIR2DS4 | 743 | 7 | Gene | gene | KIR2DS4
37850268 | @GENE_KIR2DS4 | KIR2DS4 | 926 | 7 | Gene | gene | KIR2DS4
37850268 | @GENE_HLA_DPB1 | HLA-DPB1 | 1026 | 8 | Gene | gene | HLA-DPB1
37850268 | @DISEASE_COVID_19 | COVID-19 | 1050 | 19 | Disease | disease | SARS-CoV-2 infected
37850268 | @GENE_IFNA1 | IFNA1 | 1267 | 9 | Gene | gene | IFN-alpha
37850268 | @DISEASE_COVID_19 | COVID-19 | 1293 | 8 | Disease | disease | COVID-19
37850268 | @GENE_IFNA1 | IFNA1 | 1416 | 9 | Gene | gene | IFN-alpha
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 1465 | 7 | Gene | gene | KIR3DL1
37850268 | @GENE_IFNA1 | IFNA1 | 1516 | 9 | Gene | gene | IFN-alpha
37850268 | @GENE_KIR3DL1 | KIR3DL1 | 1566 | 3 | Gene | gene | KIR
37850268 | @GENE_HLA_A | HLA-A | 1574 | 3 | Gene | gene | HLA
37850268 | @DISEASE_COVID_19 | COVID-19 | 1649 | 20 | Disease | disease | SARS-CoV-2 infection
38155025 | @DISEASE_Meningioma | Meningioma | 84 | 10 | Disease | disease | Meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 161 | 10 | Disease | disease | meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 333 | 10 | Disease | disease | meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 563 | 10 | Disease | disease | meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 743 | 11 | Disease | disease | meningiomas
38155025 | @DISEASE_Neoplasms | Neoplasms | 911 | 5 | Disease | disease | tumor
38155025 | @DISEASE_Meningioma | Meningioma | 1113 | 11 | Disease | disease | meningiomas
38155025 | @DISEASE_Neoplasms | Neoplasms | 1304 | 5 | Disease | disease | Tumor
38155025 | @DISEASE_Meningioma | Meningioma | 1415 | 11 | Disease | disease | meningiomas
38155025 | @DISEASE_Meningioma | Meningioma | 1643 | 11 | Disease | disease | meningiomas
38155025 | @DISEASE_Meningioma | Meningioma | 1758 | 10 | Disease | disease | meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 2040 | 10 | Disease | disease | meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 2134 | 10 | Disease | disease | meningioma
38155025 | @DISEASE_Meningioma | Meningioma | 2247 | 10 | Disease | disease | meningioma
38237587 | @DISEASE_Inflammation | Inflammation | 887 | 12 | Disease | disease | inflammatory
38237587 | @DISEASE_Pregnancy_in_Diabetics | Pregnancy in Diabetics | 974 | 22 | Disease | disease | disorders of pregnancy
38237587 | @DISEASE_Pre_Eclampsia | Pre-Eclampsia | 1005 | 13 | Disease | disease | pre-eclampsia
38273454 | @DISEASE_COVID_19 | COVID-19 | 56 | 8 | Disease | disease | COVID-19
38380743 | @GENE_HLA_A | HLA-A | 0 | 3 | Gene | gene | HLA
38380743 | @DISEASE_Precursor_T_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | 106 | 15 | Disease | disease | acute leukaemia
38380743 | @GENE_HLA_A | HLA-A | 171 | 3 | Gene | gene | HLA
38380743 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 305 | 25 | Disease | disease | graft-versus-host disease
38380743 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 332 | 4 | Disease | disease | GVHD
38380743 | @DISEASE_Precursor_T_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | 448 | 15 | Disease | disease | acute leukaemia
38380743 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 528 | 4 | Disease | disease | GVHD
38380743 | @GENE_HLA_C | HLA-C | 573 | 5 | Gene | gene | HLA-C
38380743 | @GENE_HLA_A | HLA-A | 664 | 5 | Gene | gene | HLA-A
38380743 | @GENE_HLA_C | HLA-C | 739 | 5 | Gene | gene | HLA-C
38380743 | @GENE_HLA_DQB1 | HLA-DQB1 | 922 | 8 | Gene | gene | HLA-DQB1
38380743 | @DISEASE_Bronchiolitis_Obliterans_Syndrome | Bronchiolitis Obliterans Syndrome | 944 | 12 | Disease | disease | chronic GVHD
38380743 | @GENE_HLA_DRB1 | HLA-DRB1 | 1088 | 8 | Gene | gene | HLA-DRB1
38380743 | @GENE_HLA_A | HLA-A | 1373 | 3 | Gene | gene | HLA
38380743 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 1445 | 4 | Disease | disease | GVHD
38400850 | @DISEASE_COVID_19 | COVID-19 | 18 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 31 | 16 | Disease | disease | multiple myeloma
38400850 | @DISEASE_Infections | Infections | 122 | 9 | Disease | disease | Infection
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 197 | 16 | Disease | disease | multiple myeloma
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 215 | 2 | Disease | disease | MM
38400850 | @DISEASE_COVID_19 | COVID-19 | 274 | 16 | Disease | disease | Coronavirus 2019
38400850 | @DISEASE_COVID_19 | COVID-19 | 292 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 306 | 2 | Disease | disease | MM
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 357 | 2 | Disease | disease | MM
