38516860 | Bind | KIR2DS2 | HLA-C
38516860 | Association | Stomach Neoplasms | HLA-C
38590523 | Association | Parkinson Disease | HLA-DRB4
38590523 | Association | Parkinson Disease | HLA-A
38590523 | Association | HLA-DPA1 | HLA-DPB1
38590523 | Association | Parkinson Disease | HLA-DPB1
38590523 | Association | Parkinson Disease | HLA-DQA1
38590523 | Association | Parkinson Disease | HLA-DPA1
8995188 | Association | Diabetes Mellitus Type 1 | HLA-C
8995188 | Association | Diabetes Mellitus Type 1 | MICA
8995188 | Association | Acquired Immunodeficiency Syndrome | HLA-C
8995188 | Association | HIV Infections | MICA
8995188 | Association | HIV Infections | HLA-C
8995188 | Association | Acquired Immunodeficiency Syndrome | MICB
8995188 | Association | Acquired Immunodeficiency Syndrome | MICA
8995188 | Association | Diabetes Mellitus Type 1 | FCGRT
8995188 | Association | Autoimmune Diseases | HLA-C
8995188 | Association | Diabetes Mellitus Type 1 | MICB
9420468 | Association | HLA-B | MICB
9420468 | Association | MICA | HLA-B
10691930 | Association | Psoriasis | HLA-C
10691930 | Association | Psoriasis | MICA
10795827 | Bind | MICA | HLA-B
11029610 | Association | HLA-A | HLA-C
11029610 | Association | HFE | HLA-C
11696220 | Association | MICA | HCST
11696220 | Association | MICA | APP
11696220 | Association | MICA | HLA-B
11696220 | Association | MICA | HLA-DQB1
11696220 | Association | MICA | CD8A
11696220 | Association | MICA | KLRK1
36384391 | Positive_Correlation | Adalimumab | COVID-19
36384391 | Negative_Correlation | Adalimumab | Arthritis Psoriatic
36384391 | Positive_Correlation | Adalimumab | COVID-19 reinfection
36384391 | Negative_Correlation | Adalimumab | Psoriasis
36436710 | Association | (11C)UCB-J | Sv2a
36930702 | Positive_Correlation | Platinum | Il4
37403715 | Association | KLRC1 | MICB
37403715 | Association | Neoplasms | MICB
37403715 | Association | KLRK1 | CD247
37403715 | Association | MICA | KLRC1
37403715 | Association | Neoplasms | KLRK1
37403715 | Negative_Correlation | Histamine | Neoplasms
37403715 | Bind | KLRK1 | TNFRSF9
37403715 | Association | TNFRSF9 | CD247
37425790 | Association | Teratoma | HLA-E
37425790 | Association | Teratoma | CD55
37425790 | Association | Teratoma | CD59
37480753 | Negative_Correlation | oridonin | Lung Neoplasms
37480753 | Negative_Correlation | oridonin | Neoplasms
37480753 | Negative_Correlation | oridonin | STAT3
37480753 | Positive_Correlation | oridonin | LAMP1
37480753 | Positive_Correlation | oridonin | IFNG
37591356 | Association | Neoplasms | PLEK2
37591356 | Association | Stomach Neoplasms | MMP14
37591356 | Association | AKT1 | PLEK2
37591356 | Association | Stomach Neoplasms | PLEK2
37591356 | Positive_Correlation | MMP14 | 1300017J02Rik
