34625540 | Association | Klf4 | Ipo13
34649567 | Association | Carcinoma Hepatocellular | GLI1
34649567 | Association | Neoplasm Metastasis | TOP1
34649567 | Cotreatment | Camptothecin | Oligonucleotides Antisense
34649567 | Negative_Correlation | Camptothecin | TOP1
34649567 | Negative_Correlation | Oligonucleotides Antisense | TOP1
34649567 | Negative_Correlation | Camptothecin | Neoplasms
34649567 | Association | GLI1 | TOP1
34660566 | Association | Pancreatic Neoplasms | TP53
34660566 | Positive_Correlation | IPO7 | TP53
34660566 | Association | Pancreatic Neoplasms | MALAT1
34660566 | Positive_Correlation | Neoplasm Metastasis | IPO7
34660566 | Positive_Correlation | Pancreatic Neoplasms | IPO7
34660566 | Association | MIR1295A | IPO7
34660566 | Association | Pancreatic Neoplasms | MIR1295A
34660566 | Association | MIR1295A | MALAT1
34660566 | Association | IPO7 | MALAT1
34995814 | Association | Smad5 | Msx1
34995814 | Association | Msx1 | Ipo7
34995814 | Positive_Correlation | Bmp4 | Msx1
34995814 | Positive_Correlation | Smad1 | Msx1
34995814 | Association | Bmp4 | Ipo7
35588577 | Association | Precancerous Conditions | IPO7
35588577 | Association | IPO7 | EGFR
35588577 | Association | Pancreatic Neoplasms | EGFR
35588577 | Association | Neoplasms | IPO7
35588577 | Negative_Correlation | Neoplasm Metastasis | IPO7
35588577 | Association | Pyruvate Carboxylase Deficiency Disease | EGFR
35588577 | Positive_Correlation | Pancreatic Neoplasms | IPO7
35588577 | Positive_Correlation | Pyruvate Carboxylase Deficiency Disease | IPO7
35588577 | Association | Pyruvate Carboxylase Deficiency Disease | ERBB2
35588577 | Positive_Correlation | IPO7 | ERBB2
35922041 | Association | Runx2 | Hdac6
35922041 | Positive_Correlation | Hdac6 | Ipo7
35922041 | Negative_Correlation | Runx2 | Ipo7
36792961 | Positive_Correlation | Reactive Oxygen Species | Mapk14
36792961 | Negative_Correlation | Trp53-ps | Ipo7
36792961 | Association | Ipo7 | Mapk14
36792961 | Negative_Correlation | Reactive Oxygen Species | Ipo7
37048077 | Positive_Correlation | TGFB1 | INHBE
37048077 | Association | BMP1 | INHBE
37048077 | Association | Neoplasms Germ Cell and Embryonal | INHBE
37048077 | Association | Neoplasms Germ Cell and Embryonal | IPO5
37048077 | Association | IPO5 | BMP4
37048077 | Association | Testicular Germ Cell Tumor | BMP1
37048077 | Association | Testicular Germ Cell Tumor | INHBE
37048077 | Association | BMP4 | TGFB1
37048077 | Association | IPO5 | TGFB1
37048077 | Positive_Correlation | TP53 | INHBE
37048077 | Association | Bmp4 | Ipo5
37048077 | Association | Neoplasms Germ Cell and Embryonal | BMP1
37048077 | Association | Neoplasms | BMP1
37048077 | Positive_Correlation | Neoplasms | INHBE
1528302 | Association | Lymphoma | IPO4
3026773 | Association | Leukemia Lymphocytic Chronic B-Cell | IPO8
3026773 | Association | Hodgkin Disease | IPO8
3026773 | Association | HLA-A | IPO5
12364547 | Association | 1-(carboxymethylthio)tetradecane | Mapk1
12364547 | Negative_Correlation | 1-(carboxymethylthio)tetradecane | Fos
12364547 | Association | 1-(carboxymethylthio)tetradecane | Fatty Acids
12364547 | Association | 1-(carboxymethylthio)tetradecane | Mapk3
12364547 | Negative_Correlation | 1-(carboxymethylthio)tetradecane | Prkca
17276916 | Association | KPNA1 | NUSAP1
17276916 | Association | IMPA1 | NUSAP1
17276916 | Association | IPO7 | NUSAP1
17276916 | Association | TPX2 | RAN
17276916 | Association | NUSAP1 | RAN
17276916 | Association | NUMA1 | RAN
17682055 | Association | Adenosine Triphosphate | TNP2
17682055 | Association | TNP2 | IPO4
17682055 | Bind | GSTK1 | TNP2
17682055 | Association | PHGDH | IPO4
20805509 | Association | Cebpd | Ipo4
20805509 | Association | Breast Neoplasms | Cebpd
20805509 | Negative_Correlation | Neoplasms | Cebpd
