2840678 | @GENE_CXCR4 | CXCR4 | 150 | 5 | Gene | gene | LCR-1
2840678 | @GENE_CD248 | CD248 | 251 | 5 | Gene | gene | TEM-1
2840678 | @GENE_OXA1L | OXA1L | 258 | 5 | Gene | gene | OXA-1
2840678 | @GENE_IPO5 | IPO5 | 265 | 5 | Gene | gene | PSE-1
2840678 | @CHEMICAL_Streptomycin | Streptomycin | 407 | 12 | Chemical | chemical | streptomycin
2840678 | @CHEMICAL_Sulfonamides | Sulfonamides | 424 | 11 | Chemical | chemical | sulfonamide
2840678 | @CHEMICAL_Chloramphenicol | Chloramphenicol | 445 | 15 | Chemical | chemical | chloramphenicol
2840678 | @CHEMICAL_Gentamicins | Gentamicins | 479 | 10 | Chemical | chemical | gentamicin
2840678 | @CHEMICAL_Kanamycin | Kanamycin | 491 | 9 | Chemical | chemical | kanamycin
2840678 | @CHEMICAL_Tobramycin | Tobramycin | 506 | 10 | Chemical | chemical | tobramycin
3035334 | @GENE_CD248 | CD248 | 239 | 5 | Gene | gene | TEM-1
3035334 | @GENE_OXA1L | OXA1L | 253 | 5 | Gene | gene | OXA-1
3035334 | @GENE_IPO5 | IPO5 | 281 | 5 | Gene | gene | PSE-1
3035334 | @GENE_CXCR4 | CXCR4 | 336 | 5 | Gene | gene | LCR-1
3035334 | @CHEMICAL_Ampicillin | Ampicillin | 359 | 10 | Chemical | chemical | Ampicillin
3035334 | @GENE_CD248 | CD248 | 745 | 5 | Gene | gene | TEM-1
3035334 | @GENE_OXA1L | OXA1L | 759 | 5 | Gene | gene | OXA-1
3035334 | @GENE_IPO5 | IPO5 | 770 | 5 | Gene | gene | PSE-1
3035334 | @GENE_CD248 | CD248 | 869 | 5 | Gene | gene | TEM-1
3035334 | @GENE_RASD2 | RASD2 | 879 | 5 | Gene | gene | TEM-2
3035334 | @GENE_TLE1 | TLE1 | 888 | 5 | Gene | gene | TLE-1
3035334 | @GENE_OXA1L | OXA1L | 895 | 5 | Gene | gene | OXA-1
3035334 | @GENE_IPO5 | IPO5 | 916 | 5 | Gene | gene | PSE-1
8089068 | @CHEMICAL_biapenem | biapenem | 21 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Imipenem | Imipenem | 45 | 8 | Chemical | chemical | imipenem
8089068 | @CHEMICAL_Meropenem | Meropenem | 58 | 9 | Chemical | chemical | meropenem
8089068 | @CHEMICAL_biapenem | biapenem | 170 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_biapenem | biapenem | 180 | 5 | Chemical | chemical | L-627
8089068 | @CHEMICAL_biapenem | biapenem | 187 | 9 | Chemical | chemical | LJC-10627
8089068 | @CHEMICAL_Carbapenems | Carbapenems | 205 | 10 | Chemical | chemical | carbapenem
8089068 | @CHEMICAL_beta_Lactams | beta-Lactams | 337 | 12 | Chemical | chemical | beta-lactams
8089068 | @CHEMICAL_biapenem | biapenem | 368 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Imipenem | Imipenem | 403 | 8 | Chemical | chemical | imipenem
8089068 | @CHEMICAL_Meropenem | Meropenem | 464 | 9 | Chemical | chemical | meropenem
8089068 | @GENE_BLA | bla | 526 | 14 | Gene | gene | beta-lactamase
8089068 | @CHEMICAL_biapenem | biapenem | 583 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Imipenem | Imipenem | 596 | 8 | Chemical | chemical | imipenem
8089068 | @GENE_BLA | bla | 812 | 14 | Gene | gene | beta-lactamase
8089068 | @CHEMICAL_Meropenem | Meropenem | 897 | 9 | Chemical | chemical | meropenem
8089068 | @CHEMICAL_biapenem | biapenem | 989 | 8 | Chemical | chemical | Biapenem
8089068 | @CHEMICAL_biapenem | biapenem | 1245 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Carbapenems | Carbapenems | 1263 | 11 | Chemical | chemical | carbapenems
8089068 | @CHEMICAL_Carbapenems | Carbapenems | 1328 | 10 | Chemical | chemical | carbapenem
8089068 | @CHEMICAL_biapenem | biapenem | 1385 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Imipenem | Imipenem | 1408 | 8 | Chemical | chemical | imipenem
8089068 | @CHEMICAL_Meropenem | Meropenem | 1421 | 9 | Chemical | chemical | meropenem
8089068 | @CHEMICAL_biapenem | biapenem | 1432 | 8 | Chemical | chemical | Biapenem
8089068 | @CHEMICAL_Imipenem | Imipenem | 1445 | 8 | Chemical | chemical | imipenem
8089068 | @GENE_BLA | bla | 1556 | 14 | Gene | gene | beta-lactamase
8089068 | @CHEMICAL_Meropenem | Meropenem | 1603 | 9 | Chemical | chemical | meropenem
8089068 | @CHEMICAL_Penicillins | Penicillins | 1714 | 11 | Chemical | chemical | penicillins
8089068 | @CHEMICAL_Cephalosporins | Cephalosporins | 1727 | 14 | Chemical | chemical | cephalosporins
8089068 | @CHEMICAL_biapenem | biapenem | 1792 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Imipenem | Imipenem | 1805 | 8 | Chemical | chemical | imipenem
8089068 | @CHEMICAL_Meropenem | Meropenem | 1865 | 9 | Chemical | chemical | meropenem
8089068 | @CHEMICAL_biapenem | biapenem | 1913 | 8 | Chemical | chemical | biapenem
8089068 | @CHEMICAL_Carbapenems | Carbapenems | 1940 | 11 | Chemical | chemical | carbapenems
8089068 | @CHEMICAL_beta_Lactams | beta-Lactams | 2098 | 12 | Chemical | chemical | beta-lactams
17991743 | @GENE_CXCR4 | CXCR4 | 30 | 5 | Gene | gene | CXCR4
17991743 | @GENE_MAPK3 | MAPK3 | 147 | 6 | Gene | gene | ERK1/2
17991743 | @GENE_CXCR4 | CXCR4 | 210 | 5 | Gene | gene | CXCR4
17991743 | @GENE_CXCR4 | CXCR4 | 437 | 5 | Gene | gene | CXCR4
17991743 | @GENE_CXCR4 | CXCR4 | 545 | 5 | Gene | gene | CXCR4
17991743 | @GENE_GSTK1 | GSTK1 | 570 | 25 | Gene | gene | glutathione S-transferase
17991743 | @GENE_CXCR4 | CXCR4 | 596 | 5 | Gene | gene | CXCR4
17991743 | @GENE_CXCR4 | CXCR4 | 715 | 5 | Gene | gene | CXCR4
17991743 | @GENE_CXCR4 | CXCR4 | 908 | 5 | Gene | gene | CXCR4
17991743 | @GENE_CXCR4 | CXCR4 | 1041 | 5 | Gene | gene | CXCR4
17991743 | @GENE_TNPO1 | TNPO1 | 1073 | 13 | Gene | gene | transportin 1
17991743 | @GENE_TNPO1 | TNPO1 | 1105 | 13 | Gene | gene | transportin 1
17991743 | @GENE_CXCL12 | CXCL12 | 1154 | 6 | Gene | gene | CXCL12
17991743 | @GENE_TNPO1 | TNPO1 | 1221 | 13 | Gene | gene | transportin 1
17991743 | @GENE_HNRNPA2B1 | HNRNPA2B1 | 1295 | 50 | Gene | gene | heterogeneous nuclear ribonucleoprotein (hnRNP) A2
17991743 | @GENE_CXCR4 | CXCR4 | 1407 | 5 | Gene | gene | CXCR4
17991743 | @GENE_CXCR4 | CXCR4 | 1433 | 5 | Gene | gene | CXCR4
17991743 | @GENE_HNRNPA2B1 | HNRNPA2B1 | 1466 | 8 | Gene | gene | hnRNP A2
17991743 | @GENE_CXCR4 | CXCR4 | 1514 | 5 | Gene | gene | CXCR4
17991743 | @GENE_MAPK1 | MAPK1 | 1541 | 41 | Gene | gene | extracellular signal-regulated kinase 1/2
17991743 | @GENE_MAPK3 | MAPK3 | 1584 | 6 | Gene | gene | ERK1/2
17991743 | @GENE_FKBP1B | FKBP1B | 1644 | 6 | Gene | gene | PPIase
