36423071 | Positive_Correlation | Ustekinumab | rs12189871
36423071 | Positive_Correlation | Ustekinumab | rs9348862
36423071 | Association | Ustekinumab | MICA
36423071 | Positive_Correlation | Ustekinumab | rs12030223
36423071 | Association | Ustekinumab | rs2073719
36423071 | Association | Psoriasis | HLA-C
36423071 | Positive_Correlation | Ustekinumab | rs2523497
36423071 | Positive_Correlation | Ustekinumab | rs4713436
36423071 | Association | Ustekinumab | TNF
36423071 | Positive_Correlation | Ustekinumab | rs4406273
36423071 | Negative_Correlation | Ustekinumab | IL23A
36423071 | Negative_Correlation | Ustekinumab | rs1800610
36423071 | Positive_Correlation | Ustekinumab | rs6701730
36423071 | Positive_Correlation | Ustekinumab | rs9368670
36423071 | Positive_Correlation | Ustekinumab | rs1042127
36423071 | Association | IL9 | IL23A
36423071 | Association | Ustekinumab | CDSN
36423071 | Positive_Correlation | Ustekinumab | rs1265181
36423071 | Association | Ustekinumab | HLA-C
36423071 | Association | Psoriasis | TNF
36423071 | Negative_Correlation | Ustekinumab | IL9
36423071 | Negative_Correlation | Ustekinumab | Psoriasis
36423071 | Negative_Correlation | Ustekinumab | IL12B
36423071 | Association | Psoriasis | MICA
36423071 | Association | Ustekinumab | CCHCR1
36423071 | Association | Psoriasis | PSORS1C3
36423071 | Association | IL9 | IL12B
36423071 | Association | Ustekinumab | PSORS1C3
36977960 | Negative_Correlation | PF-06651600 | Carcinoma Hepatocellular
36977960 | Negative_Correlation | PF-06651600 | JAK3
36977960 | Association | PF-06651600 | Cognitive Dysfunction
36977960 | Negative_Correlation | PF-06651600 | Tyrosine Kinase 2 Deficiency
36977960 | Association | PF-06651600 | Liver Diseases
37062298 | Negative_Correlation | PF-06651600 | Alopecia
37062298 | Negative_Correlation | PF-06651600 | JAK3
37062298 | Negative_Correlation | PF-06651600 | Alopecia Areata
37062298 | Negative_Correlation | PF-06651600 | TEC
37267285 | Association | Quinolones | p.T57S
37267285 | Association | Quinolones | p.D87N
37267285 | Association | Quinolones | p.D87Y
37267285 | Association | Quinolones | p.S80I
37271218 | Association | Eye Infections Fungal | HLA-B
37271218 | Association | Behcet Syndrome | rs6062789
37271218 | Association | Behcet Syndrome | p.X60L
37271218 | Association | Muscular dystrophy congenital with central nervous system involvement | DDX60L
37271218 | Association | Behcet Syndrome | rs76546355
37271218 | Association | Muscular dystrophy congenital with central nervous system involvement | p.X60L
37271218 | Positive_Correlation | Eye Infections Fungal | rs76546355
37271218 | Association | Dyskinesia Familial with Facial Myokymia | SLCO4A1
37271218 | Association | Muscular dystrophy congenital with central nervous system involvement | rs62334264
37271218 | Association | Behcet Syndrome | DDX60L
37271218 | Association | Dyskinesia Familial with Facial Myokymia | rs6062789
37271218 | Association | Behcet Syndrome | rs62334264
37271218 | Association | Behcet Syndrome | MICA
37271218 | Association | Eye Infections Fungal | MICA
37271218 | Association | Behcet Syndrome | HLA-B
37271218 | Association | Behcet Syndrome | HLA-A
37271218 | Association | Eye Infections Fungal | HLA-A
37271218 | Association | Muscular dystrophy congenital with central nervous system involvement | rs6062789
37271218 | Association | Behcet Syndrome | SLCO4A1
37271218 | Association | Behcet Syndrome | PALLD
37271218 | Association | Muscular dystrophy congenital with central nervous system involvement | PALLD
37271218 | Association | Muscular dystrophy congenital with central nervous system involvement | SLCO4A1
11581171 | Bind | ITK | TEC
11581171 | Positive_Correlation | IL2 | TRBV20OR9-2
11581171 | Positive_Correlation | ITK | TRBV20OR9-2
15191522 | Negative_Correlation | Psoriasis | MIB1
15191522 | Association | Psoriasis | HLA-C
15191522 | Association | Encephalitis Herpes Simplex | HLA-C
16415017 | Association | Infections | NUP37
16415017 | Association | NUP37 | CRM1
16866882 | Association | Skin Neoplasms | HLA-C
17580096 | Association | Infections | NUP37
19100459 | Positive_Correlation | mic | Cxcl12
19100459 | Association | Primary Graft Dysfunction | Cxcl12
19100459 | Association | Heart Diseases | Cxcl12
19115949 | Association | Acquired Immunodeficiency Syndrome | HLA-A
19115949 | Association | Acquired Immunodeficiency Syndrome | HLA-C
19115949 | Association | Infections | HLA-A
19234348 | Association | Uveal melanoma | KIR2DL2
19234348 | Association | HLA-C | KIR2DL1
19234348 | Association | Neoplasm Metastasis | HLA-C
19234348 | Association | Uveal melanoma | KIR2DL1
19234348 | Bind | HLA-C | KIR2DL3
19234348 | Association | KIR2DL4 | ULBP2
19234348 | Positive_Correlation | Neoplasm Metastasis | KIR2DL1
19234348 | Bind | HLA-C | KIR2DL4
19234348 | Bind | HLA-C | KIR2DL2
19234348 | Association | Uveal melanoma | KIR2DL3
19234348 | Association | Neoplasm Metastasis | KIR2DL2
19234348 | Association | KIR2DL4 | ULBP1
19234348 | Association | Uveal melanoma | HLA-C
19234348 | Association | KIR2DL4 | PVR
19234348 | Association | Neoplasm Metastasis | KIR2DL3
19234348 | Association | KIR2DL4 | ULBP3
22286212 | Association | Hodgkin Disease | MICB
22286212 | Association | Hodgkin Disease | rs6903608
22286212 | Association | Lymphoma Follicular | rs6903608
22286212 | Association | Psoriasis | ERAP1
22286212 | Association | Hodgkin Disease | rs2395185
22286212 | Positive_Correlation | Hodgkin Disease | rs6904029
22286212 | Positive_Correlation | Hodgkin Disease | rs2248462
22286212 | Association | Hodgkin Disease | rs27524
22286212 | Positive_Correlation | Hodgkin Disease | rs2734986
22286212 | Association | Hodgkin Disease | IL13
22286212 | Association | Hodgkin Disease | HLA-A
22286212 | Association | Hodgkin Disease | rs20541
22286212 | Association | Asthma | ERAP1
22286212 | Association | Hodgkin Disease | HCG9
22286212 | Association | Hodgkin Disease | HLA-DRA
22286212 | Association | Hodgkin Disease | ERAP1
22448298 | Negative_Correlation | Chagas Disease | NDUFA6
22448298 | Association | Chagas Disease | HLA-DRB1
22448298 | Association | Chagas Disease | HLA-A
22448298 | Association | Megacolon | HLA-DRB1
22448298 | Association | Megacolon | HLA-A
22609444 | Association | HLA-B | MICB
23084292 | Association | Lupus Erythematosus Systemic | MICB
23084292 | Association | Lupus Erythematosus Systemic | rs2246618
23084292 | Association | Lupus Erythematosus Systemic | HLA-C
23084292 | Association | Lupus Erythematosus Systemic | HLA-A
23084292 | Association | Lupus Erythematosus Systemic | HLA-DQA1
23084292 | Association | Lupus Erythematosus Systemic | rs8192591
23084292 | Association | Lupus Erythematosus Systemic | HLA-DRB1
23084292 | Association | Lupus Erythematosus Systemic | NOTCH4
23549730 | Association | HLA-B | MICB
24278027 | Association | Multiple Sclerosis | TNFRSF1A
24278027 | Association | Multiple Sclerosis | HLA-A
24278027 | Association | Multiple Sclerosis | HLA-C
24278027 | Association | Multiple Sclerosis | TNF
24278027 | Bind | TNF | TNFRSF1A
24278027 | Association | Multiple Sclerosis | HLA-DRB1
24556715 | Positive_Correlation | IL15 | MICB
24556715 | Positive_Correlation | MICA | IL15
24556715 | Association | MICB | CD8A
24556715 | Negative_Correlation | Asthma | IL15
24556715 | Association | MICA | CD8A
25061499 | Negative_Correlation | Resveratrol | Uterine Cervical Neoplasms
25061499 | Negative_Correlation | Resveratrol | Adenocarcinoma
25061499 | Negative_Correlation | Resveratrol | STAT3
25061499 | Association | Uterine Cervical Neoplasms | STAT3
25061499 | Negative_Correlation | Neoplasms | PIAS3
25061499 | Negative_Correlation | Resveratrol | Carcinoma Squamous Cell
25061499 | Negative_Correlation | AG 490 | STAT3
25061499 | Negative_Correlation | AG 490 | JAK3
25484218 | Association | HSPA4 | HIKESHI
25990310 | Association | #4277# | p.S102R
25990310 | Association | #4277# | #4277#
27028549 | Association | HLA-B | MICB
27028549 | Association | MICA | MICB
28379387 | Association | Neoplasms | MICA
28379387 | Association | Sjogren's Syndrome | rs3131619
28379387 | Bind | MICA | KLRK1
28379387 | Association | Sjogren's Syndrome | MICA
28379387 | Association | Immuno-hemolytic anemia | MICA
28379387 | Association | Sjogren's Syndrome | HLA-C
28379387 | Association | Sjogren's Syndrome | KLRK1
28560257 | Association | Arthritis Rheumatoid | HLA-A
28560257 | Association | Arthritis Rheumatoid | HLA-C
28560257 | Association | Arthritis Rheumatoid | MICB
28560257 | Association | Arthritis Rheumatoid | TNXB
28560257 | Association | Schizophrenia | TNXB
28560257 | Association | Schizophrenia | NOTCH4
28560257 | Association | Arthritis Rheumatoid | HCP5
28560257 | Association | Schizophrenia | TSBP1
28560257 | Association | Schizophrenia | HCP5
28560257 | Association | Arthritis Rheumatoid | PSORS1C1
28560257 | Association | Schizophrenia | HLA-A
28560257 | Association | Schizophrenia | MICB
28560257 | Association | Arthritis Rheumatoid | NOTCH4
28560257 | Association | Schizophrenia | HLA-C
28560257 | Association | Arthritis Rheumatoid | HLA-B
28560257 | Association | Schizophrenia | PSORS1C1
28560257 | Association | Schizophrenia | HLA-B
28560257 | Association | Arthritis Rheumatoid | TSBP1
29781763 | Association | Infections | KPNA1
29781763 | Association | KPNA1 | NUP37
29781763 | Association | Infections | NUP37
29781763 | Association | p37 | KPNA1
29781763 | Association | Infections | p37
30498034 | Positive_Correlation | Takayasu Arteritis | rs2322599
30498034 | Positive_Correlation | Takayasu Arteritis | rs17133698
30498034 | Bind | KLRD1 | MICB
30498034 | Association | Takayasu Arteritis | DUSP22
30498034 | Association | HLA-B | MICB
30498034 | Association | Takayasu Arteritis | HLA-A
30498034 | Positive_Correlation | Takayasu Arteritis | rs103294
30498034 | Association | Takayasu Arteritis | KLHL33
30498034 | Association | Takayasu Arteritis | LILRB2
30498034 | Association | Takayasu Arteritis | LILRA3
30498034 | Association | Takayasu Arteritis | PTK2B
31137555 | Association | MICA | HCP5
31137555 | Association | HCP5 | HLA-B
31137555 | Association | HCP5 | MICB
31137555 | Association | Neoplasms | HCP5
