24631022 | Negative_Correlation | galiellalactone | NFKB1
24631022 | Association | Neoplasms | STAT3
24631022 | Negative_Correlation | galiellalactone | Inflammation
24631022 | Negative_Correlation | galiellalactone | STAT3
24631022 | Negative_Correlation | NFKB1 | NFKBIA
24631022 | Association | galiellalactone | KPNA3
24631022 | Bind | KPNA3 | RELA
24631022 | Association | Inflammation | STAT3
24631022 | Negative_Correlation | galiellalactone | Neoplasms
24631022 | Bind | galiellalactone | RELA
24814927 | Association | KPNA1 | STAT1
24814927 | Association | IFNA1 | STAT2
24814927 | Association | Rotavirus Infections | KPNA1
24814927 | Association | IFNA1 | STAT1
24814927 | Association | Infections | STAT1
24814927 | Association | Infections | STAT2
24814927 | Association | KPNA1 | STAT2
24814927 | Association | Rotavirus Infections | STAT1
25121743 | Association | Virus Diseases | STAT1
26000204 | Association | Graft vs Host Disease | Ccr5
26000204 | Association | Graft vs Host Disease | Cxcr3
26000204 | Negative_Correlation | Inflammation | Cxcr3
26000204 | Association | Graft vs Host Disease | Cxcl9
26331426 | Association | Glioma | STAT3
26745853 | Association | Drug Hypersensitivity | RUNX1
26745853 | Association | Runx1 | Pias3
26745853 | Association | Runx1 | Stat3
26745853 | Association | Platelet Disorder Familial with Associated Myeloid Malignancy | RUNX1
26745853 | Association | Neoplasms | RUNX1
26745853 | Association | Platelet Disorder Familial with Associated Myeloid Malignancy | Runx1
26745853 | Negative_Correlation | Stat3 | Pias3
26745853 | Association | Leukemia | RUNX1
26819451 | Association | Lymphoma B-Cell | MFHAS1
26819451 | Association | Lymphoma Large B-Cell Diffuse | KRT20
26819451 | Association | Lymphoma Large B-Cell Diffuse | GNA13
26819451 | Association | Lymphoma B-Cell | XPO1
26819451 | Association | Lymphoma B-Cell | ITPKB
26819451 | Association | Lymphoma B-Cell | NFKB1
26819451 | Association | Lymphoma Large B-Cell Diffuse | TNFAIP3
28455446 | Association | Infections | KPNA1
28455446 | Positive_Correlation | IFNB1 | STAT1
28455446 | Association | Infections | CASP3
28455446 | Association | KPNA1 | CASP3
28455446 | Positive_Correlation | IFNB1 | STAT2
28863947 | Positive_Correlation | icaritin | Calcium
28863947 | Positive_Correlation | STAT3 | CXCR4
28863947 | Positive_Correlation | icaritin | CXCR4
28863947 | Positive_Correlation | icaritin | ATHS
28863947 | Positive_Correlation | icaritin | STAT3
28863947 | Negative_Correlation | icaritin | Osteoporosis
28863947 | Association | icaritin | Cxcr4
29162878 | Association | Hippocampal Sclerosis | JUN
29162878 | Negative_Correlation | Focal Cortical Dysplasia | MIR21
29162878 | Negative_Correlation | Focal Cortical Dysplasia | MIR223
29162878 | Positive_Correlation | Focal Cortical Dysplasia | MIR155
29162878 | Association | Inflammation | VEGFA
29162878 | Association | Hippocampal Sclerosis | MIR155
29162878 | Positive_Correlation | Focal Cortical Dysplasia | IL6
29162878 | Association | Inflammation | IL6
29162878 | Association | Hippocampal Sclerosis | STAT3
29162878 | Association | Hippocampal Sclerosis | CCR5
29162878 | Association | Hippocampal Sclerosis | CCL3
29162878 | Negative_Correlation | Focal Cortical Dysplasia | IL10
29162878 | Association | Hippocampal Sclerosis | IL1B
29162878 | Positive_Correlation | Focal Cortical Dysplasia | STAT3
29162878 | Association | Hippocampal Sclerosis | CCL4
29162878 | Association | Hippocampal Sclerosis | MIR21
29162878 | Association | Focal Cortical Dysplasia | JUN
29162878 | Association | Inflammation | CCL3
29162878 | Negative_Correlation | Hippocampal Sclerosis | IL10
29162878 | Association | Inflammation | CCL4
29162878 | Association | Inflammation | TNF
29162878 | Association | Inflammation | IL1RN
29162878 | Association | Focal Cortical Dysplasia | CCL3
29162878 | Association | Hippocampal Sclerosis | MIR223
29162878 | Association | Hippocampal Sclerosis | IL6
29162878 | Association | Focal Cortical Dysplasia | CCL4
29162878 | Association | Focal Cortical Dysplasia | IL1B
29162878 | Positive_Correlation | Focal Cortical Dysplasia | CCR5
29171984 | Positive_Correlation | MIR1246 | ZEB1
29171984 | Association | Lung Neoplasms | CXCR4
29171984 | Association | Lung Neoplasms | AKT1
29171984 | Positive_Correlation | MIR1246 | CDH1
29171984 | Association | AKT1 | CXCR4
